,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0.0,1260506.0,681717.0,360259.0,899846.0,1648649.0,1962440.0,614235.0,591705.0,521843.0,378409.0,478748.0,937267.0,957702.0,480906.0,418764.0,4820417.0,2882929.0,3175021.0,1284693.0,1009131.0,985546.0,417538.0,507768.0,979068.0,456936.0,386813.0,339643.0,15476267.0,16134945.0,16275866.0,13411737.0,13250814.0,13875417.0,340259.0,407052.0,516660.0,1782696.0,602844.0,383880.0,7175409.0,23876564.0,22947846.0,19997893.0,21933499.0,13632562.0,388240.0,585094.0,1122333.0,404781.0,391415.0,391433.0,338315.0,394259.0,4697685.0,396434.0,332822.0,352009.0,511798.0,1071048.0,399464.0,5212270.0,5322939.0,5317439.0,5339216.0,5313549.0,5343439.0,4071175.0,4141541.0,4142709.0,4209668.0,4208437.0,4170790.0,2135404.0,2133558.0,2104263.0,2088352.0,2117346.0,2058448.0,257861.0,261524.0,261396.0,257065.0,245968.0,225438.0,272816.0,267459.0,270982.0,390858.0,383996.0,396802.0,391380.0,391893.0,362209.0,390605.0,350027.0,343953.0
0.5,1275203,700325,367860,885736,1631506,1906947,610311,585072,518274,388198,469498,957638,962887,480304,424564,4716372,2670239,2860833,1423434,976416,968883,417386,502221,961443,444605,389518,344385,16528317,15598226,15756532,12987407,12739515,13617382,343764,404231,506775,1676108,565677,383390,6938832,24665657,23276307,20642479,23063004,13283638,384008,556452,1071204,405360,396357,400483,332908,401226,4607761,404959,328683,341397,478113,850927,402744,5477082,5195908,5292829,5395264,5583823,5590009,4049073,4276191,4226421,4185718,4082216,3850657,2215742,2259306,2259130,2249014,2313474,2282377,262022,267393,269216,262612,254291,232375,273520,270123,273878,398581,393854,403337,399843,397168,367547,396518,357882,349855
1.0,1298855,738616,375991,898874,1607043,1916268,613116,586985,520989,390706,479437,978467,953000,482384,429187,4728233,2507371,2952513,1460230,963937,966199,419551,504586,968237,445668,389265,352149,15986519,15583426,15708038,12918674,12746236,14159433,349122,404114,503187,1659290,553871,376679,6845261,24898778,23922592,21558099,23446760,13162671,382138,546183,1038424,404700,397550,401332,338267,401722,4608579,403760,330369,344224,453914,760491,403135,5951383,5794745,5554485,5732848,6071872,6005902,4416504,4471005,4398005,4454403,4466696,4240499,2404967,2557364,2487857,2394112,2431313,2440342,265616,269200,270986,268622,255422,233214,276222,274302,276354,401428,397157,403097,399880,403002,374195,399746,361212,355715
1.5,1333334.0,765053.0,372808.0,897526.0,1606672.0,1931331.0,617095.0,591403.0,528004.0,391301.0,485056.0,983693.0,958833.0,488796.0,427014.0,4697675.0,2343272.0,2695152.0,1479087.0,955803.0,965997.0,420388.0,506076.0,970170.0,448631.0,390624.0,344401.0,15329611.0,15522488.0,15684330.0,12957289.0,12640633.0,14326351.0,344129.0,403713.0,497308.0,1608263.0,537692.0,380902.0,6819562.0,25161643.0,24163281.0,22253069.0,23582001.0,13107060.0,383796.0,534382.0,1024334.0,405427.0,399499.0,405050.0,339185.0,401894.0,4605087.0,408168.0,331643.0,342314.0,443592.0,677085.0,404341.0,6208501.0,6189527.0,6027759.0,6061355.0,6342779.0,6180851.0,4585372.0,4808520.0,4665936.0,4741422.0,4778973.0,4601021.0,2473547.0,2609542.0,2535192.0,2507806.0,2534906.0,2444913.0,263942.0,268101.0,268348.0,272292.0,256422.0,234403.0,276902.0,270850.0,275394.0,398008.0,401268.0,407807.0,407018.0,406403.0,369483.0,397681.0,362343.0,356506.0
2.0,1337554.0,783049.0,378195.0,898764.0,1634140.0,1950589.0,617400.0,593675.0,528599.0,393675.0,484484.0,967889.0,967673.0,494242.0,433265.0,4696743.0,2209438.0,2835300.0,1486505.0,952250.0,966091.0,421790.0,506840.0,972963.0,455880.0,391908.0,345082.0,14221852.0,15497913.0,15679203.0,12905887.0,12685632.0,14888967.0,348592.0,409458.0,504330.0,1495253.0,534086.0,373734.0,6815685.0,25315675.0,24205184.0,22896538.0,23637517.0,13112093.0,377404.0,529887.0,1010484.0,412818.0,395488.0,404903.0,343449.0,408616.0,4592154.0,409822.0,333506.0,336753.0,436930.0,630630.0,405862.0,6056808.0,6105565.0,6078328.0,5984786.0,6101718.0,6086573.0,4505496.0,4746192.0,4653732.0,4726173.0,4717587.0,4623529.0,2340640.0,2380997.0,2374255.0,2362896.0,2399469.0,2381764.0,270951.0,270672.0,268887.0,273769.0,258424.0,237665.0,277389.0,276410.0,282958.0,401643.0,399659.0,400937.0,402496.0,410899.0,370694.0,405136.0,364041.0,352901.0
2.5,1333899.0,800594.0,382072.0,910575.0,1644245.0,1929279.0,621152.0,593779.0,525051.0,395096.0,483305.0,967039.0,971968.0,489389.0,431342.0,4670157.0,2085458.0,2827662.0,1484277.0,935626.0,967168.0,422187.0,511028.0,971060.0,453262.0,389584.0,346761.0,16211165.0,15375627.0,15568601.0,12895750.0,12630570.0,14756970.0,348174.0,408691.0,499659.0,1431969.0,525612.0,371867.0,6774318.0,25270421.0,24127953.0,23080620.0,23740136.0,13007313.0,373546.0,522889.0,991241.0,407097.0,400074.0,407736.0,336155.0,409616.0,4566379.0,408076.0,330796.0,339131.0,426544.0,606694.0,408515.0,5840112.0,5852791.0,5773507.0,5754899.0,5872831.0,5849802.0,4413593.0,4540219.0,4570798.0,4628527.0,4659139.0,4552023.0,2257090.0,2276241.0,2267455.0,2277670.0,2285741.0,2295916.0,271542.0,272882.0,270385.0,272546.0,257615.0,236697.0,279296.0,276700.0,279392.0,406157.0,398437.0,404347.0,403680.0,401803.0,372761.0,402525.0,365549.0,357957.0
3.0,1339968.0,817692.0,385462.0,904734.0,1651977.0,1915231.0,613317.0,590451.0,529214.0,396570.0,489573.0,985080.0,970250.0,492057.0,432784.0,4695106.0,1996604.0,2853002.0,1473384.0,917362.0,969346.0,425075.0,511363.0,971867.0,453519.0,386709.0,346929.0,13795182.0,15391901.0,15559900.0,12866172.0,12652048.0,14865971.0,347568.0,403278.0,492819.0,1395429.0,513843.0,370518.0,6754885.0,25377749.0,24179050.0,23196449.0,23867101.0,12907790.0,372380.0,510562.0,976236.0,411283.0,398643.0,403851.0,336928.0,408969.0,4542527.0,403766.0,326958.0,345444.0,416836.0,585383.0,405675.0,5916303.0,5949765.0,5838504.0,5907791.0,5961062.0,5972471.0,4526195.0,4565004.0,4591258.0,4696593.0,4671700.0,4509801.0,2203469.0,2280520.0,2288396.0,2263805.0,2324244.0,2244424.0,268812.0,274697.0,272199.0,272901.0,258204.0,238192.0,275428.0,273317.0,278340.0,399422.0,396805.0,407869.0,403569.0,406013.0,377899.0,402263.0,363394.0,356593.0
3.5,1340606.0,820598.0,381672.0,905707.0,1617117.0,1899597.0,620417.0,593866.0,527850.0,394889.0,482605.0,988125.0,971708.0,492632.0,432290.0,4674365.0,1916249.0,2481280.0,1458120.0,913850.0,967222.0,425626.0,507142.0,978445.0,456951.0,384839.0,346485.0,13089416.0,15310560.0,15509573.0,12763241.0,12554968.0,14594787.0,345272.0,403114.0,498012.0,1365619.0,502464.0,366615.0,6730961.0,25450170.0,23952398.0,23329885.0,24006764.0,12864335.0,372495.0,509702.0,962487.0,408757.0,396034.0,399527.0,335513.0,401909.0,4547731.0,408467.0,329030.0,345443.0,411643.0,577874.0,401345.0,6393494.0,6202662.0,6190738.0,6096539.0,6168140.0,6189985.0,4763161.0,4840277.0,4953720.0,5082562.0,5021441.0,4713364.0,2281402.0,2331253.0,2328792.0,2292245.0,2387510.0,2267504.0,270882.0,275666.0,271395.0,268898.0,259177.0,238299.0,282902.0,272617.0,279640.0,401222.0,401147.0,402056.0,404370.0,409323.0,373090.0,403803.0,359856.0,355730.0
4.0,1337960.0,835906.0,381865.0,903071.0,1625643.0,1937929.0,622714.0,592702.0,526484.0,398022.0,489648.0,976811.0,966506.0,491517.0,440406.0,4658932.0,1863312.0,2631629.0,1452019.0,900955.0,960588.0,423341.0,510141.0,977924.0,453517.0,383083.0,346567.0,12512586.0,15308762.0,15454522.0,12785174.0,12679193.0,14284139.0,346924.0,401880.0,498677.0,1312988.0,501250.0,367433.0,6695177.0,25553208.0,23922945.0,23279175.0,23993242.0,12865090.0,371053.0,504476.0,952922.0,403932.0,402522.0,400119.0,337023.0,404473.0,4550317.0,403996.0,330729.0,345004.0,406800.0,559643.0,399250.0,6860606.0,6622065.0,6685596.0,6502707.0,6527773.0,6501525.0,5054660.0,5171669.0,5286795.0,5370863.0,5337765.0,5148749.0,2416449.0,2494546.0,2520093.0,2405268.0,2507005.0,2392798.0,272082.0,269224.0,274901.0,271390.0,256134.0,235482.0,277588.0,275323.0,277855.0,402347.0,400189.0,404881.0,401489.0,406406.0,370321.0,408415.0,366157.0,354275.0
4.5,1337124.0,845001.0,386728.0,901545.0,1639078.0,1937393.0,620944.0,595264.0,530922.0,396476.0,487764.0,973502.0,973524.0,491043.0,440109.0,4637070.0,1805583.0,2578840.0,1440710.0,901879.0,960608.0,422519.0,507027.0,974630.0,460430.0,384994.0,346908.0,13207395.0,15268379.0,15434209.0,12725226.0,12585006.0,14342923.0,347890.0,399812.0,494077.0,1232111.0,494672.0,365221.0,6690335.0,25652594.0,23880511.0,23438351.0,24072478.0,12837479.0,367850.0,501556.0,930023.0,406273.0,397459.0,398408.0,333001.0,401400.0,4551129.0,406708.0,325508.0,349882.0,400252.0,542290.0,399713.0,7466864.0,7177580.0,7417587.0,7073392.0,7116150.0,7260997.0,5594092.0,5687648.0,5762132.0,5870508.0,5839621.0,5856208.0,2691263.0,2744286.0,2778421.0,2601219.0,2672253.0,2614125.0,265552.0,268555.0,268754.0,268098.0,253334.0,231765.0,277983.0,274225.0,277086.0,406883.0,397725.0,406572.0,405200.0,403908.0,370155.0,405542.0,361632.0,355187.0
