,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12
0.0,0.225,0.226,0.226,0.227,0.226,0.226,0.211,0.21,0.207,0.209,0.21,0.211,0.21,0.21,0.207,0.213,0.207,0.209,0.22,0.226,0.225,0.228,0.224,0.232
0.5,0.209,0.208,0.209,0.211,0.214,0.213,0.191,0.196,0.196,0.196,0.193,0.185,0.203,0.204,0.202,0.2,0.204,0.205,0.22,0.216,0.216,0.211,0.215,0.219
1.0,0.197,0.201,0.197,0.2,0.201,0.204,0.181,0.18,0.177,0.177,0.179,0.173,0.191,0.194,0.197,0.195,0.193,0.195,0.205,0.205,0.206,0.206,0.209,0.206
1.5,0.193,0.19,0.187,0.19,0.192,0.193,0.173,0.172,0.172,0.174,0.171,0.172,0.184,0.188,0.187,0.187,0.182,0.185,0.195,0.197,0.195,0.204,0.222,0.207
2.0,0.185,0.189,0.19,0.19,0.189,0.191,0.173,0.171,0.17,0.173,0.17,0.169,0.175,0.184,0.181,0.18,0.178,0.18,0.189,0.192,0.19,0.192,0.229,0.209
2.5,0.179,0.182,0.182,0.185,0.185,0.186,0.17,0.167,0.167,0.169,0.169,0.167,0.173,0.174,0.172,0.171,0.172,0.176,0.185,0.191,0.187,0.192,0.23,0.203
3.0,0.185,0.182,0.182,0.185,0.186,0.187,0.174,0.168,0.169,0.171,0.171,0.167,0.174,0.172,0.17,0.171,0.172,0.177,0.186,0.192,0.189,0.194,0.232,0.209
3.5,0.198,0.188,0.188,0.189,0.189,0.191,0.178,0.175,0.177,0.179,0.179,0.174,0.18,0.178,0.177,0.174,0.178,0.176,0.197,0.207,0.2,0.207,0.249,0.219
4.0,0.216,0.202,0.203,0.204,0.204,0.205,0.192,0.187,0.191,0.193,0.193,0.188,0.199,0.194,0.194,0.188,0.193,0.191,0.215,0.224,0.219,0.224,0.267,0.236
4.5,0.24,0.225,0.227,0.225,0.225,0.229,0.215,0.209,0.212,0.215,0.215,0.212,0.223,0.218,0.218,0.211,0.213,0.213,0.238,0.247,0.24,0.247,0.289,0.258
5.0,0.268,0.25,0.254,0.251,0.253,0.261,0.245,0.239,0.244,0.244,0.243,0.237,0.253,0.249,0.25,0.237,0.239,0.248,0.264,0.274,0.268,0.272,0.317,0.282
