,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12
0.0,5212270.0,5322939.0,5317439.0,5339216.0,5313549.0,5343439.0,4071175.0,4141541.0,4142709.0,4209668.0,4208437.0,4170790.0,2135404.0,2133558.0,2104263.0,2088352.0,2117346.0,2058448.0,257861.0,261524.0,261396.0,257065.0,245968.0,225438.0
0.5,5477082,5195908,5292829,5395264,5583823,5590009,4049073,4276191,4226421,4185718,4082216,3850657,2215742,2259306,2259130,2249014,2313474,2282377,262022,267393,269216,262612,254291,232375
1.0,5951383,5794745,5554485,5732848,6071872,6005902,4416504,4471005,4398005,4454403,4466696,4240499,2404967,2557364,2487857,2394112,2431313,2440342,265616,269200,270986,268622,255422,233214
1.5,6208501.0,6189527.0,6027759.0,6061355.0,6342779.0,6180851.0,4585372.0,4808520.0,4665936.0,4741422.0,4778973.0,4601021.0,2473547.0,2609542.0,2535192.0,2507806.0,2534906.0,2444913.0,263942.0,268101.0,268348.0,272292.0,256422.0,234403.0
2.0,6056808.0,6105565.0,6078328.0,5984786.0,6101718.0,6086573.0,4505496.0,4746192.0,4653732.0,4726173.0,4717587.0,4623529.0,2340640.0,2380997.0,2374255.0,2362896.0,2399469.0,2381764.0,270951.0,270672.0,268887.0,273769.0,258424.0,237665.0
2.5,5840112.0,5852791.0,5773507.0,5754899.0,5872831.0,5849802.0,4413593.0,4540219.0,4570798.0,4628527.0,4659139.0,4552023.0,2257090.0,2276241.0,2267455.0,2277670.0,2285741.0,2295916.0,271542.0,272882.0,270385.0,272546.0,257615.0,236697.0
3.0,5916303.0,5949765.0,5838504.0,5907791.0,5961062.0,5972471.0,4526195.0,4565004.0,4591258.0,4696593.0,4671700.0,4509801.0,2203469.0,2280520.0,2288396.0,2263805.0,2324244.0,2244424.0,268812.0,274697.0,272199.0,272901.0,258204.0,238192.0
3.5,6393494.0,6202662.0,6190738.0,6096539.0,6168140.0,6189985.0,4763161.0,4840277.0,4953720.0,5082562.0,5021441.0,4713364.0,2281402.0,2331253.0,2328792.0,2292245.0,2387510.0,2267504.0,270882.0,275666.0,271395.0,268898.0,259177.0,238299.0
4.0,6860606.0,6622065.0,6685596.0,6502707.0,6527773.0,6501525.0,5054660.0,5171669.0,5286795.0,5370863.0,5337765.0,5148749.0,2416449.0,2494546.0,2520093.0,2405268.0,2507005.0,2392798.0,272082.0,269224.0,274901.0,271390.0,256134.0,235482.0
4.5,7466864.0,7177580.0,7417587.0,7073392.0,7116150.0,7260997.0,5594092.0,5687648.0,5762132.0,5870508.0,5839621.0,5856208.0,2691263.0,2744286.0,2778421.0,2601219.0,2672253.0,2614125.0,265552.0,268555.0,268754.0,268098.0,253334.0,231765.0
5.0,8259061.0,7974528.0,8426978.0,7941818.0,7953799.0,8123617.0,6431361.0,6472032.0,6615766.0,6598516.0,6516343.0,6617171.0,2983698.0,3072171.0,3191974.0,2915962.0,2911400.0,2920856.0,266760.0,267147.0,266736.0,266046.0,252000.0,231546.0
5.5,9371362.0,8968239.0,9733048.0,8998122.0,9044219.0,9246221.0,7432154.0,7471453.0,7523764.0,7535123.0,7384768.0,7572691.0,3397646.0,3487113.0,3525526.0,3276416.0,3273000.0,3304353.0,261700.0,260315.0,271532.0,265302.0,253637.0,232571.0
6.0,10857894.0,10369971.0,11264051.0,10278743.0,10336193.0,10492384.0,8549783.0,8520722.0,8687848.0,8693274.0,8586065.0,8696372.0,3929452.0,3998667.0,4030908.0,3725733.0,3664058.0,3745467.0,258243.0,263149.0,263070.0,264064.0,249285.0,228503.0
6.5,12650833.0,12021336.0,13014319.0,11810205.0,11978635.0,12143962.0,9999098.0,9890055.0,10291675.0,10134493.0,9964066.0,10144713.0,4711246.0,4651390.0,4733025.0,4366448.0,4291090.0,4292295.0,259214.0,261678.0,264194.0,260801.0,247856.0,229592.0
7.0,14921935.0,14153959.0,15259237.0,13836465.0,13859012.0,14071930.0,11959704.0,11624617.0,12006874.0,12022776.0,11827224.0,11921140.0,5504172.0,5474875.0,5630127.0,5269403.0,5038302.0,5024674.0,257258.0,261608.0,262284.0,265319.0,248189.0,228768.0
7.5,17422216.0,16641402.0,17835161.0,16236897.0,16406961.0,16435805.0,14300336.0,13759554.0,14133304.0,13967405.0,14086859.0,14008526.0,6356790.0,6467466.0,6516766.0,6059423.0,5914729.0,5773387.0,254486.0,257024.0,259378.0,260968.0,242372.0,225724.0
8.0,20336640.0,19522145.0,20694778.0,18832088.0,19016916.0,18889160.0,16805167.0,15945350.0,16508270.0,16362151.0,16273149.0,16721768.0,7471968.0,7623408.0,7737103.0,6992386.0,6903694.0,6666993.0,256557.0,254199.0,259796.0,257927.0,246355.0,222714.0
8.5,24239655.0,22867226.0,24060613.0,22355748.0,22211414.0,22101949.0,19632170.0,18670094.0,19012658.0,18975578.0,19050548.0,19550725.0,8834043.0,8766171.0,8784032.0,7965104.0,7962837.0,7576816.0,255707.0,255819.0,254356.0,256637.0,244384.0,219779.0
9.0,28611487.0,25848492.0,27485297.0,25154650.0,25928066.0,25667929.0,22900961.0,20878669.0,21682078.0,21451962.0,22619342.0,23069775.0,10021336.0,9858123.0,9946942.0,8867547.0,8851055.0,8598151.0,251901.0,254025.0,257760.0,255479.0,240717.0,221307.0
9.5,32124960.0,30074337.0,30894371.0,27649561.0,28721053.0,28546032.0,24932891.0,23626697.0,23652027.0,24454514.0,25894883.0,26455188.0,11033410.0,11149858.0,10867922.0,9901780.0,9437598.0,9580585.0,251329.0,255612.0,253646.0,255116.0,242413.0,222036.0
10.0,34718199.0,34136815.0,34172263.0,29737503.0,31123557.0,31188339.0,27731982.0,25775582.0,26668326.0,28741152.0,28684970.0,29522668.0,12161005.0,12303841.0,11844561.0,11073941.0,10508756.0,10795216.0,253572.0,252049.0,256115.0,254868.0,237499.0,221127.0
10.5,34364975.0,36943204.0,37147946.0,32516246.0,34966028.0,34509297.0,30188754.0,28238504.0,29972624.0,31573179.0,31946105.0,30731759.0,12162619.0,13442361.0,12675947.0,12348207.0,12151174.0,12087071.0,250714.0,254640.0,254136.0,255784.0,241667.0,219218.0
11.0,36448982.0,39995807.0,40754316.0,35935270.0,38822059.0,38011086.0,34587184.0,31887161.0,33017056.0,33896650.0,34356098.0,32655582.0,12830811.0,14315332.0,13745443.0,13075414.0,13222824.0,12555646.0,252871.0,255039.0,252533.0,256447.0,239580.0,220069.0
11.5,39051763.0,38140670.0,42945029.0,39810976.0,42802618.0,41579611.0,37940046.0,35762405.0,36792369.0,37019074.0,33328786.0,35231402.0,13726359.0,15003899.0,14353849.0,13232283.0,13039213.0,12771190.0,251406.0,254566.0,257715.0,257912.0,241809.0,220875.0
12.0,41740924.0,37833040.0,41107737.0,42195032.0,46742246.0,45683026.0,41197525.0,39431480.0,40376295.0,38891650.0,34438768.0,37904850.0,14587882.0,15417903.0,13789907.0,12994998.0,13255415.0,13494744.0,254726.0,259534.0,255592.0,257044.0,247200.0,222174.0
12.5,44446257.0,39557731.0,39851959.0,38400857.0,50148276.0,48859265.0,43888551.0,43573324.0,40906015.0,36977728.0,35892626.0,40695755.0,15479322.0,14690636.0,13848244.0,13537119.0,13878357.0,14222274.0,253985.0,258191.0,257043.0,255174.0,245495.0,222745.0
13.0,46853986.0,41316194.0,40965740.0,38575740.0,49409189.0,49788332.0,43271139.0,43813571.0,39043107.0,36548842.0,37560299.0,42937295.0,16383209.0,14662242.0,14452898.0,14159461.0,14586603.0,15023758.0,258443.0,256142.0,253939.0,255302.0,247782.0,222066.0
13.5,48865009.0,43295752.0,42258323.0,39739561.0,45889090.0,48215468.0,41231211.0,41759890.0,38100306.0,37754470.0,39175066.0,44937726.0,17297408.0,15236253.0,15075080.0,14728685.0,15167180.0,15672488.0,256271.0,260731.0,260562.0,258756.0,243550.0,225383.0
14.0,50693548.0,45385104.0,43662147.0,41025228.0,43911892.0,44736981.0,39478744.0,40017242.0,38320515.0,39066819.0,40869095.0,46611374.0,18120511.0,15954214.0,15625008.0,15353698.0,15836602.0,16417127.0,262503.0,257826.0,260177.0,257977.0,246620.0,224293.0
