,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C3,C4
0.0,0.187,0.182,0.185,0.185,0.185,0.183,0.202,0.202,0.202,0.201,0.199,0.205,0.213,0.208,0.219,0.211,0.217,0.214,0.205,0.205,0.207,0.208,0.206,0.209,0.083,0.087,0.084
0.5,0.179,0.177,0.179,0.178,0.18,0.178,0.195,0.195,0.195,0.196,0.194,0.196,0.201,0.201,0.213,0.205,0.213,0.206,0.198,0.199,0.197,0.202,0.203,0.194,0.084,0.087,0.084
1.0,0.171,0.167,0.168,0.166,0.164,0.164,0.185,0.185,0.185,0.185,0.182,0.182,0.192,0.193,0.205,0.196,0.205,0.201,0.189,0.192,0.192,0.196,0.196,0.184,0.088,0.087,0.084
1.5,0.164,0.162,0.164,0.161,0.165,0.163,0.176,0.179,0.179,0.18,0.177,0.18,0.185,0.19,0.202,0.191,0.197,0.192,0.19,0.193,0.195,0.196,0.187,0.183,0.085,0.087,0.084
2.0,0.156,0.157,0.158,0.158,0.16,0.159,0.17,0.171,0.171,0.171,0.169,0.172,0.175,0.181,0.189,0.181,0.189,0.186,0.174,0.177,0.178,0.177,0.18,0.176,0.085,0.089,0.085
2.5,0.153,0.154,0.155,0.156,0.158,0.156,0.167,0.167,0.165,0.166,0.165,0.17,0.175,0.179,0.188,0.179,0.188,0.189,0.174,0.176,0.177,0.178,0.179,0.176,0.085,0.09,0.085
3.0,0.156,0.155,0.154,0.158,0.16,0.157,0.17,0.168,0.169,0.17,0.169,0.174,0.183,0.181,0.193,0.183,0.195,0.195,0.18,0.181,0.183,0.185,0.188,0.181,0.085,0.086,0.085
3.5,0.16,0.16,0.159,0.164,0.165,0.162,0.18,0.178,0.178,0.18,0.178,0.183,0.195,0.187,0.197,0.19,0.202,0.205,0.188,0.19,0.192,0.195,0.2,0.19,0.083,0.087,0.084
4.0,0.172,0.172,0.168,0.174,0.176,0.174,0.191,0.191,0.194,0.196,0.195,0.2,0.209,0.197,0.208,0.2,0.215,0.217,0.197,0.199,0.201,0.204,0.211,0.203,0.084,0.089,0.085
4.5,0.195,0.191,0.185,0.191,0.194,0.191,0.209,0.204,0.206,0.206,0.209,0.215,0.226,0.214,0.224,0.216,0.232,0.236,0.208,0.207,0.209,0.213,0.222,0.221,0.085,0.089,0.086
5.0,0.22,0.216,0.209,0.216,0.219,0.216,0.231,0.222,0.222,0.221,0.222,0.237,0.246,0.235,0.246,0.237,0.256,0.258,0.222,0.223,0.222,0.225,0.236,0.241,0.085,0.089,0.085
5.5,0.244,0.241,0.232,0.239,0.24,0.238,0.25,0.24,0.241,0.236,0.239,0.258,0.267,0.254,0.265,0.257,0.28,0.278,0.236,0.237,0.236,0.241,0.253,0.257,0.084,0.087,0.084
6.0,0.272,0.267,0.258,0.265,0.265,0.262,0.271,0.262,0.26,0.263,0.261,0.279,0.291,0.278,0.283,0.283,0.312,0.302,0.257,0.257,0.256,0.26,0.276,0.277,0.084,0.083,0.085
6.5,0.302,0.302,0.291,0.298,0.297,0.293,0.297,0.286,0.284,0.289,0.288,0.307,0.319,0.304,0.305,0.31,0.342,0.327,0.283,0.283,0.277,0.281,0.3,0.303,0.083,0.083,0.085
7.0,0.34,0.343,0.328,0.336,0.335,0.331,0.325,0.315,0.315,0.315,0.314,0.343,0.362,0.336,0.335,0.345,0.382,0.36,0.319,0.312,0.306,0.32,0.334,0.331,0.085,0.084,0.084
7.5,0.394,0.394,0.378,0.386,0.383,0.383,0.379,0.377,0.363,0.35,0.36,0.386,0.413,0.385,0.382,0.393,0.435,0.408,0.369,0.35,0.347,0.37,0.362,0.375,0.085,0.088,0.085
8.0,0.458,0.463,0.432,0.442,0.443,0.448,0.456,0.446,0.438,0.417,0.411,0.437,0.468,0.454,0.441,0.454,0.487,0.466,0.426,0.405,0.411,0.437,0.416,0.426,0.084,0.083,0.084
8.5,0.541,0.547,0.504,0.507,0.513,0.53,0.529,0.511,0.506,0.483,0.502,0.506,0.534,0.515,0.518,0.512,0.548,0.537,0.491,0.475,0.469,0.497,0.493,0.489,0.084,0.083,0.084
9.0,0.621,0.641,0.583,0.588,0.59,0.615,0.615,0.599,0.586,0.568,0.578,0.584,0.625,0.591,0.589,0.582,0.61,0.616,0.569,0.546,0.541,0.56,0.56,0.547,0.084,0.084,0.084
9.5,0.709,0.715,0.652,0.644,0.657,0.686,0.678,0.671,0.658,0.643,0.647,0.677,0.691,0.651,0.648,0.631,0.662,0.677,0.622,0.612,0.611,0.62,0.632,0.616,0.085,0.083,0.083
10.0,0.794,0.803,0.731,0.716,0.743,0.763,0.742,0.739,0.728,0.7,0.73,0.775,0.752,0.711,0.692,0.675,0.707,0.712,0.668,0.659,0.657,0.669,0.673,0.694,0.084,0.087,0.085
10.5,0.815,0.863,0.799,0.783,0.815,0.83,0.814,0.805,0.797,0.764,0.795,0.799,0.786,0.764,0.743,0.702,0.753,0.759,0.706,0.706,0.701,0.715,0.716,0.727,0.084,0.083,0.085
11.0,0.829,0.879,0.831,0.777,0.831,0.861,0.831,0.839,0.831,0.807,0.824,0.801,0.791,0.824,0.771,0.726,0.793,0.783,0.736,0.743,0.742,0.748,0.748,0.71,0.084,0.083,0.084
11.5,0.841,0.852,0.802,0.784,0.8,0.81,0.812,0.825,0.823,0.81,0.809,0.824,0.759,0.866,0.79,0.736,0.816,0.794,0.745,0.75,0.744,0.756,0.758,0.706,0.085,0.083,0.085
