,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12
0.0,4248651.0,4174034.0,4231088.0,4276884.0,4224670.0,4254845.0,4646642.0,4636247.0,4660671.0,4683588.0,4732053.0,4871719.0,2206378.0,2214140.0,2184161.0,2182899.0,2249128.0,2201489.0,268858.0,270932.0,270130.0,267491.0,275247.0,268255.0
0.5,4387828,4340304,4447794,4308338,4475431,4571698,4907522,4991743,5003028,4939091,5047777,5009986,2233866,2353650,2240344,2085373,2372821,2371833,267877,267678,268777,268713,273692,271411
1.0,4584444,4750535,4676077,4439314,4328835,4593999,5005718,5063556,5134681,5206391,5277463,5171790,2474949,2567162,2428339,2428162,2611227,2538165,267299,273731,270843,269204,276106,269207
1.5,4539379.0,4847112.0,4635409.0,4472313.0,4563230.0,4662580.0,5003499.0,5029879.0,5105631.0,5162245.0,5215528.0,5353433.0,2347345.0,2503653.0,2364951.0,2417299.0,2540765.0,2506973.0,271707.0,270844.0,272744.0,269753.0,278305.0,274266.0
2.0,4553948.0,4680002.0,4513012.0,4378586.0,4475489.0,4627087.0,4750146.0,4880887.0,4908240.0,4922273.0,5044891.0,5238131.0,2306700.0,2420876.0,2378091.0,2377450.0,2484083.0,2482030.0,269687.0,273661.0,275228.0,269033.0,278940.0,274384.0
2.5,4524541.0,4692507.0,4432740.0,4392086.0,4464792.0,4601617.0,4765509.0,4860894.0,4784338.0,4857135.0,5036674.0,5295062.0,2355519.0,2458644.0,2417890.0,2429840.0,2565022.0,2588971.0,273145.0,273926.0,279714.0,271755.0,282473.0,276294.0
3.0,4714054.0,4836367.0,4582271.0,4567276.0,4660486.0,4769281.0,5015551.0,5021243.0,5006792.0,5095225.0,5197717.0,5489116.0,2494670.0,2574246.0,2554908.0,2540499.0,2754895.0,2741587.0,272469.0,276238.0,276482.0,272367.0,279529.0,275313.0
3.5,5025806.0,5109590.0,4827737.0,4852741.0,4941910.0,5077970.0,5473809.0,5388840.0,5292463.0,5384795.0,5471802.0,5789287.0,2674539.0,2720503.0,2662225.0,2702216.0,2927625.0,2950704.0,274094.0,275501.0,277514.0,273116.0,281643.0,272603.0
4.0,5337322.0,5522432.0,5231024.0,5297917.0,5434799.0,5573439.0,6027813.0,5942845.0,5837742.0,5806405.0,5857521.0,6258269.0,2858425.0,2840303.0,2775080.0,2832384.0,3044468.0,3073010.0,269701.0,273498.0,273397.0,269156.0,281319.0,270896.0
4.5,5886137.0,6063209.0,5798410.0,5928325.0,6073989.0,6232432.0,6546296.0,6420890.0,6353889.0,6358991.0,6463589.0,6993928.0,3064496.0,2971224.0,2956797.0,2976541.0,3161247.0,3181674.0,270123.0,270527.0,271938.0,272704.0,272303.0,274841.0
5.0,6595603.0,6814122.0,6523292.0,6620504.0,6705312.0,6875957.0,7054232.0,6875515.0,6729433.0,6878148.0,7029275.0,7757359.0,3259757.0,3165998.0,3202425.0,3140842.0,3370687.0,3349320.0,270371.0,273944.0,273677.0,267947.0,276492.0,273423.0
5.5,7495333.0,7553048.0,7259823.0,7357775.0,7377992.0,7576313.0,7733738.0,7462261.0,7283126.0,7406471.0,7661937.0,8397650.0,3466903.0,3379200.0,3455547.0,3380471.0,3665541.0,3534550.0,270341.0,269052.0,271694.0,271137.0,274304.0,272042.0
6.0,8378757.0,8485828.0,8138582.0,8266558.0,8229228.0,8355821.0,8423176.0,7995325.0,7906227.0,8121211.0,8400371.0,9068724.0,3726694.0,3645707.0,3665206.0,3702989.0,4029502.0,3754172.0,266220.0,271922.0,268994.0,271001.0,274658.0,268927.0
6.5,9490523.0,9600038.0,9114781.0,9344215.0,9316194.0,9388739.0,9202033.0,8936296.0,8852156.0,8960096.0,9130287.0,9844547.0,4111787.0,3940532.0,3871714.0,3977112.0,4407890.0,3949022.0,263683.0,265658.0,264954.0,265596.0,270321.0,264024.0
7.0,10811177.0,10885807.0,10390401.0,10594511.0,10486845.0,10593964.0,10298425.0,9845778.0,10021448.0,9968800.0,10138871.0,10970859.0,4657466.0,4334028.0,4212502.0,4378593.0,4885902.0,4312478.0,265143.0,265036.0,269884.0,262334.0,271689.0,263585.0
7.5,12328839.0,12396613.0,11901092.0,12084599.0,11990735.0,12161002.0,11961433.0,11335604.0,11329978.0,11203597.0,11561960.0,12502773.0,5234574.0,4849466.0,4664409.0,4856269.0,5457761.0,4877122.0,259662.0,266315.0,263427.0,265698.0,267032.0,264999.0
8.0,14420945.0,14559806.0,13834425.0,14081083.0,13933908.0,14413777.0,14335406.0,13451814.0,13852048.0,13184749.0,13236203.0,14209016.0,5870541.0,5522835.0,5360653.0,5453927.0,5977046.0,5616350.0,259697.0,260319.0,262285.0,256601.0,263942.0,263668.0
8.5,17249513.0,17153704.0,16290849.0,16483208.0,16291927.0,17105949.0,16793034.0,16012900.0,16452941.0,15520804.0,15998513.0,16124462.0,6814169.0,6204727.0,6270686.0,6221198.0,6924409.0,6567146.0,256023.0,259228.0,258278.0,256641.0,260610.0,258788.0
