,A10,A11,A12,B10,B11,B12,C10,C11,C12,D10,D11,D12,E10,E11,E12,F10,F11,F12,G10,G11,G12,H10,H11,H12
0.0,327489.0,967803.0,1059793.0,330360.0,948217.0,1073993.0,318315.0,960205.0,1059380.0,318470.0,910974.0,1038694.0,316349.0,917952.0,1034619.0,318961.0,935015.0,1036756.0,224171.0,230086.0,220886.0,212623.0,206150.0,225349.0
0.5,336312,1016497,1035947,341047,1009554,1071606,335042,1060830,1067831,328031,1029638,1066033,330733,1037573,1031948,328760,1035112,1060742,231311,230206,224063,212223,214223,227281
1.0,342394,1056188,1029258,345075,1112741,1048046,329330,1009462,1078660,324321,1050794,1067587,329976,996809,1055407,336145,937797,1043881,233263,227289,228610,213032,210738,226454
1.5,350091.0,1110555.0,1069816.0,358830.0,1216824.0,1058130.0,354741.0,1165938.0,1055440.0,341410.0,1190206.0,1060172.0,337575.0,1157587.0,1049713.0,343031.0,1120634.0,1053117.0,229887.0,229196.0,230421.0,212649.0,211821.0,227587.0
2.0,352017.0,1102813.0,1136447.0,348245.0,1103218.0,1120858.0,346787.0,1133864.0,1086638.0,341712.0,1131790.0,1095999.0,345008.0,1069112.0,1090815.0,346152.0,1098481.0,1080192.0,228554.0,231624.0,228018.0,213597.0,210757.0,229210.0
2.5,367662.0,1238312.0,1228740.0,362585.0,1131707.0,1195857.0,354765.0,1129877.0,1168822.0,351330.0,1127383.0,1152587.0,355402.0,1110377.0,1154516.0,351217.0,1120947.0,1147033.0,236562.0,233506.0,231169.0,219709.0,215390.0,229592.0
3.0,378260.0,1386499.0,1305083.0,376703.0,1232436.0,1280952.0,363855.0,1199391.0,1263579.0,360367.0,1179477.0,1245060.0,359540.0,1180058.0,1251337.0,364106.0,1171869.0,1230012.0,231412.0,234333.0,231933.0,216832.0,215690.0,226793.0
3.5,393411.0,1527703.0,1404309.0,388709.0,1371940.0,1373159.0,377706.0,1329570.0,1349920.0,372721.0,1312476.0,1331160.0,376063.0,1310203.0,1345794.0,380349.0,1345782.0,1312709.0,239190.0,234372.0,229853.0,215792.0,215014.0,228502.0
4.0,409692.0,1668463.0,1497829.0,404704.0,1571913.0,1489563.0,394429.0,1597877.0,1479388.0,394501.0,1533026.0,1455580.0,388637.0,1557422.0,1446654.0,402526.0,1583418.0,1421539.0,233170.0,232762.0,231124.0,217097.0,214926.0,230898.0
4.5,433002.0,1887681.0,1632631.0,429267.0,1770840.0,1627876.0,419552.0,1809127.0,1600823.0,414633.0,1770822.0,1567554.0,418205.0,1766177.0,1572904.0,421304.0,1783338.0,1527760.0,236304.0,236388.0,229408.0,215298.0,215619.0,225644.0
5.0,460212.0,2138441.0,1773457.0,455011.0,1976675.0,1740294.0,440309.0,2017551.0,1702106.0,443086.0,1971332.0,1660340.0,433944.0,2007182.0,1664688.0,447051.0,1967178.0,1632275.0,233899.0,233714.0,228761.0,218622.0,214500.0,227161.0
5.5,489548.0,2425855.0,1893393.0,478726.0,2243217.0,1872347.0,464512.0,2266623.0,1828974.0,466994.0,2190871.0,1795192.0,461290.0,2248951.0,1789031.0,470235.0,2184110.0,1756778.0,233983.0,229217.0,229197.0,216464.0,213526.0,226888.0
6.0,515269.0,2667479.0,2026513.0,501479.0,2478096.0,2001135.0,486074.0,2486152.0,1943946.0,485745.0,2448374.0,1929091.0,482937.0,2453851.0,1917644.0,487849.0,2429568.0,1884313.0,239244.0,227894.0,229802.0,215936.0,216048.0,227393.0
6.5,553709.0,2969668.0,2144773.0,525793.0,2771720.0,2131520.0,509872.0,2727466.0,2092442.0,511958.0,2637811.0,2043387.0,511049.0,2718494.0,2047020.0,510524.0,2663847.0,1992052.0,232775.0,231183.0,227721.0,216910.0,215599.0,231075.0
7.0,573325.0,3308353.0,2273078.0,546902.0,3040323.0,2313357.0,542059.0,3046354.0,2252828.0,536023.0,2951314.0,2203043.0,536194.0,3040258.0,2186531.0,531753.0,2935390.0,2132490.0,235068.0,233481.0,224208.0,217530.0,215417.0,230017.0
7.5,605901.0,3674380.0,2450426.0,579791.0,3381905.0,2497182.0,567683.0,3321275.0,2417171.0,566645.0,3221060.0,2393292.0,562937.0,3339229.0,2334750.0,561052.0,3271094.0,2278448.0,229893.0,232140.0,226982.0,217369.0,213109.0,224008.0
8.0,641089.0,3951151.0,2681155.0,603966.0,3682055.0,2681338.0,602224.0,3685751.0,2576126.0,598361.0,3598717.0,2606527.0,594876.0,3669752.0,2477123.0,596944.0,3584085.0,2421312.0,233779.0,231299.0,228169.0,216699.0,215487.0,228406.0
8.5,680884.0,4314934.0,2908689.0,640383.0,4149660.0,2855254.0,642618.0,4106165.0,2701878.0,634578.0,3914283.0,2781353.0,624087.0,4006257.0,2598663.0,628000.0,3935790.0,2529746.0,238003.0,228869.0,227490.0,216841.0,212683.0,226995.0
9.0,709285.0,4869184.0,3208601.0,669150.0,4580820.0,3082109.0,670971.0,4478645.0,2899664.0,655728.0,4256023.0,2919333.0,654162.0,4400650.0,2764296.0,656040.0,4270779.0,2686680.0,235196.0,231000.0,230868.0,219766.0,218227.0,230266.0
9.5,768612.0,5810941.0,3481568.0,708590.0,5256165.0,3379466.0,710739.0,4976017.0,3152391.0,699705.0,4552947.0,3103522.0,699046.0,4789795.0,3009145.0,697856.0,4498103.0,2926557.0,239420.0,232064.0,231099.0,219838.0,217362.0,230226.0
10.0,858204.0,6976527.0,3845038.0,751809.0,6564001.0,3880439.0,743234.0,5506037.0,3693710.0,741012.0,4987906.0,3453511.0,735515.0,5213146.0,3223374.0,736419.0,4755267.0,3150681.0,239186.0,235269.0,231222.0,224883.0,222898.0,237059.0
10.5,953156.0,8461456.0,4251817.0,818457.0,8035780.0,4836981.0,796470.0,6510981.0,4277731.0,782321.0,5434058.0,4079150.0,776999.0,5773747.0,3796453.0,779276.0,5050093.0,3661718.0,237500.0,238749.0,233713.0,229914.0,225704.0,240488.0
11.0,1109797.0,9236954.0,4334793.0,974580.0,9623192.0,5883328.0,874014.0,7567128.0,5212006.0,828348.0,5841198.0,4607771.0,822888.0,6367315.0,4377736.0,806593.0,5536790.0,4305492.0,247472.0,238834.0,236189.0,231802.0,230617.0,240866.0
11.5,1111036.0,8538560.0,4981704.0,1174161.0,10704547.0,6613619.0,992659.0,8731818.0,6049314.0,895170.0,6833112.0,5228313.0,885095.0,7138450.0,5015957.0,867205.0,6502512.0,4997777.0,251525.0,241058.0,240070.0,234696.0,233341.0,248693.0
12.0,1042898.0,7805982.0,5827004.0,1318021.0,11176662.0,7099942.0,1092533.0,9657087.0,6596100.0,1000768.0,7749884.0,5743983.0,989134.0,7779276.0,5508912.0,958368.0,7421658.0,5561743.0,249613.0,249928.0,244328.0,236200.0,234610.0,251932.0
12.5,1081630.0,8438198.0,6852787.0,1451649.0,10881523.0,7133428.0,1170354.0,10498303.0,7013697.0,1049760.0,8491795.0,5974239.0,1056339.0,8113169.0,5862132.0,1023911.0,8127877.0,5852296.0,248937.0,257879.0,242860.0,239782.0,237350.0,253034.0
13.0,1164186.0,9194090.0,8073144.0,1553169.0,10246339.0,6835112.0,1270864.0,10949835.0,7006198.0,1111477.0,8947585.0,6080597.0,1109651.0,8357437.0,5932316.0,1075569.0,8570311.0,5736259.0,248762.0,255231.0,248597.0,241522.0,240111.0,256128.0
13.5,1256159.0,9969386.0,9399330.0,1597868.0,10115092.0,6997745.0,1324558.0,11076467.0,6826854.0,1180492.0,8941667.0,6066426.0,1152288.0,8273906.0,6085510.0,1119940.0,8522751.0,5789503.0,256241.0,256474.0,250906.0,245505.0,242102.0,257463.0
14.0,1325530.0,10581369.0,10737116.0,1641930.0,10457495.0,7560642.0,1358853.0,11189072.0,6884527.0,1219580.0,8627114.0,6281118.0,1179616.0,8013305.0,6445622.0,1168260.0,8323598.0,6025070.0,252557.0,253503.0,254547.0,247670.0,243353.0,260387.0
14.5,1404085.0,11144887.0,12171979.0,1685079.0,10558667.0,8208695.0,1388663.0,11148225.0,7359350.0,1255142.0,8200807.0,6702433.0,1219079.0,7810552.0,6838695.0,1191545.0,8057101.0,6453033.0,259098.0,255315.0,256737.0,250230.0,247072.0,262596.0
15.0,1456760.0,11823289.0,13587943.0,1717793.0,10983064.0,8983015.0,1428085.0,11103145.0,8002100.0,1276814.0,8054492.0,7321240.0,1255804.0,7938633.0,7213185.0,1205265.0,7877192.0,6962751.0,260066.0,260912.0,259498.0,251669.0,246885.0,262975.0
15.5,1512543.0,12442758.0,14994366.0,1729142.0,11782534.0,9642586.0,1422264.0,10962061.0,8705934.0,1307993.0,8077952.0,7915151.0,1276294.0,8066973.0,7815746.0,1218292.0,7971229.0,7560367.0,260542.0,259792.0,262349.0,250432.0,251876.0,260881.0
16.0,1567828.0,13321274.0,16359952.0,1717951.0,12591927.0,10377863.0,1390094.0,10613459.0,9458023.0,1299758.0,8268524.0,8541104.0,1299686.0,8417192.0,8557542.0,1213303.0,8215071.0,8308468.0,265957.0,257128.0,263010.0,254811.0,252343.0,266459.0
16.5,1629139.0,14213609.0,17647653.0,1720374.0,13271775.0,11165242.0,1364942.0,10191446.0,10144791.0,1279972.0,8692213.0,9316209.0,1294885.0,8959015.0,9494441.0,1187446.0,8554542.0,9355826.0,263431.0,263683.0,264306.0,253697.0,256117.0,265910.0
17.0,1690262.0,15119923.0,18971354.0,1710203.0,13855978.0,12202046.0,1333921.0,10592506.0,10961072.0,1239209.0,9265622.0,10276573.0,1265352.0,9326368.0,10473607.0,1166001.0,8935748.0,10449278.0,265168.0,265296.0,269616.0,254645.0,254382.0,265701.0
17.5,1792227.0,16044552.0,20227785.0,1720024.0,14414655.0,13363410.0,1324596.0,11295782.0,12002802.0,1211516.0,9819800.0,11291180.0,1233352.0,9703192.0,11494955.0,1157732.0,9467534.0,11515618.0,268999.0,268712.0,270212.0,256488.0,255700.0,264326.0
18.0,1873926.0,17083128.0,21415886.0,1737106.0,15002169.0,14893910.0,1346060.0,11938891.0,13239716.0,1218534.0,10214606.0,12486729.0,1204614.0,10161809.0,12635700.0,1183885.0,9917835.0,12640856.0,273548.0,270681.0,272078.0,254510.0,256190.0,267935.0
18.5,1968683.0,18063244.0,22644731.0,1750837.0,15591440.0,16336999.0,1398286.0,12461454.0,14494533.0,1251557.0,10562986.0,13800066.0,1212668.0,10685497.0,13841663.0,1229007.0,10232516.0,13723544.0,275536.0,269955.0,275916.0,257541.0,259744.0,269552.0
19.0,2059987.0,18966057.0,23764679.0,1765185.0,16165179.0,18035771.0,1431922.0,12906358.0,15951417.0,1280360.0,10947026.0,15059035.0,1247255.0,11214152.0,14965939.0,1257060.0,10639433.0,14646398.0,273629.0,275417.0,277969.0,257660.0,258804.0,270323.0
19.5,2149967.0,19826463.0,24987937.0,1788295.0,16913665.0,19640622.0,1481755.0,13234892.0,17448909.0,1334691.0,11336207.0,16275048.0,1280506.0,11752678.0,16167424.0,1291796.0,11068795.0,15530082.0,273836.0,275754.0,277940.0,261396.0,258925.0,271881.0
20.0,2229944.0,20693024.0,26149801.0,1809410.0,17801722.0,21217646.0,1507001.0,13557199.0,18881801.0,1367993.0,11873265.0,17442869.0,1315436.0,12330238.0,17205917.0,1324885.0,11538791.0,16409393.0,276434.0,276229.0,278188.0,261669.0,261865.0,272001.0
