,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0.0,0.082,0.083,0.083,0.205,0.209,0.208,0.21,0.212,0.208,0.214,0.215,0.218,0.221,0.223,0.218,0.223,0.219,0.22,0.217,0.223,0.221,0.228,0.258,0.232,0.233,0.226,0.23
0.5,0.082,0.083,0.083,0.194,0.203,0.202,0.205,0.207,0.205,0.2,0.207,0.202,0.208,0.208,0.208,0.206,0.204,0.208,0.205,0.21,0.205,0.205,0.217,0.208,0.209,0.204,0.208
1.0,0.083,0.083,0.083,0.187,0.196,0.195,0.201,0.201,0.2,0.186,0.205,0.186,0.198,0.195,0.192,0.193,0.19,0.195,0.194,0.199,0.195,0.191,0.189,0.193,0.193,0.186,0.191
1.5,0.081,0.083,0.082,0.185,0.188,0.185,0.196,0.192,0.189,0.176,0.182,0.177,0.181,0.183,0.182,0.188,0.186,0.191,0.186,0.187,0.189,0.181,0.21,0.183,0.187,0.182,0.186
2.0,0.082,0.083,0.083,0.176,0.18,0.181,0.179,0.179,0.176,0.173,0.177,0.175,0.175,0.179,0.177,0.182,0.181,0.184,0.18,0.183,0.183,0.18,0.208,0.182,0.182,0.176,0.183
2.5,0.081,0.084,0.084,0.179,0.177,0.178,0.179,0.179,0.176,0.173,0.175,0.175,0.176,0.18,0.179,0.187,0.186,0.189,0.184,0.188,0.186,0.186,0.213,0.187,0.186,0.181,0.188
3.0,0.081,0.082,0.082,0.186,0.181,0.182,0.184,0.183,0.182,0.183,0.182,0.183,0.184,0.188,0.186,0.198,0.199,0.2,0.195,0.196,0.196,0.198,0.224,0.197,0.197,0.193,0.197
3.5,0.081,0.082,0.083,0.201,0.191,0.196,0.198,0.2,0.201,0.209,0.203,0.208,0.201,0.203,0.199,0.219,0.215,0.216,0.211,0.211,0.213,0.216,0.239,0.213,0.214,0.21,0.215
4.0,0.081,0.082,0.083,0.219,0.211,0.22,0.218,0.221,0.219,0.229,0.224,0.227,0.219,0.221,0.215,0.24,0.235,0.236,0.231,0.232,0.231,0.236,0.259,0.235,0.235,0.231,0.234
4.5,0.082,0.081,0.083,0.241,0.233,0.243,0.242,0.242,0.239,0.249,0.247,0.247,0.241,0.242,0.235,0.261,0.258,0.26,0.254,0.253,0.254,0.257,0.279,0.255,0.255,0.251,0.256
5.0,0.082,0.083,0.084,0.262,0.255,0.268,0.265,0.263,0.261,0.27,0.265,0.269,0.26,0.261,0.254,0.286,0.283,0.285,0.277,0.276,0.275,0.278,0.299,0.276,0.275,0.271,0.274
5.5,0.082,0.083,0.083,0.287,0.28,0.293,0.291,0.289,0.282,0.295,0.29,0.295,0.283,0.285,0.277,0.312,0.313,0.313,0.303,0.302,0.301,0.303,0.322,0.298,0.296,0.292,0.291
6.0,0.082,0.082,0.082,0.312,0.303,0.317,0.315,0.313,0.305,0.319,0.314,0.32,0.308,0.306,0.3,0.339,0.338,0.339,0.329,0.329,0.328,0.327,0.348,0.322,0.318,0.315,0.316
