,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0.0,307561.0,308422.0,303073.0,1719160.0,1723183.0,1733117.0,1742918.0,1781422.0,1724678.0,440805.0,439585.0,446675.0,447834.0,454816.0,453153.0,1815583.0,1717499.0,1720439.0,1713349.0,1750444.0,1755707.0,287111.0,281504.0,286820.0,287360.0,292903.0,285745.0
0.5,313460,318437,308653,1699155,1725064,1741593,1723410,1838369,1771973,436246,455271,451707,451034,464494,467082,1707717,1660364,1668700,1665652,1678788,1636076,296781,293489,296906,295395,305535,295962
1.0,307782,312864,310100,1761851,1813615,1825969,1882624,1890433,1887220,448136,467792,458892,473832,466251,467601,1671695,1622584,1624003,1597389,1676858,1607243,295474,297167,297467,292961,301518,298218
1.5,314657.0,318746.0,311745.0,1852726.0,1845018.0,1858031.0,1848526.0,1872534.0,1875444.0,460676.0,463048.0,471874.0,471200.0,478639.0,474680.0,1715041.0,1698233.0,1729014.0,1678427.0,1697530.0,1682714.0,300739.0,293558.0,301771.0,298823.0,307665.0,300858.0
2.0,314086.0,314816.0,311344.0,1814785.0,1797139.0,1811143.0,1824084.0,1827040.0,1805669.0,461783.0,465294.0,474282.0,470474.0,477987.0,481581.0,1683939.0,1680711.0,1693527.0,1655161.0,1681928.0,1664991.0,299950.0,294298.0,298361.0,300448.0,307196.0,304455.0
2.5,312946.0,317893.0,308304.0,1946798.0,1910602.0,1900188.0,1907040.0,1909838.0,1883651.0,480694.0,476251.0,486355.0,490667.0,497939.0,494044.0,1750038.0,1738485.0,1783611.0,1753391.0,1792272.0,1743427.0,305253.0,299765.0,306193.0,303200.0,308414.0,305434.0
3.0,311115.0,312868.0,306884.0,2053453.0,1995867.0,2002742.0,2011421.0,1986216.0,1979022.0,489809.0,489089.0,501174.0,493653.0,502736.0,504223.0,1830304.0,1822772.0,1868879.0,1853889.0,1864488.0,1846563.0,305128.0,297583.0,303661.0,302482.0,313204.0,303549.0
3.5,312014.0,315188.0,311099.0,2241138.0,2153317.0,2169875.0,2189149.0,2160683.0,2140668.0,515131.0,512347.0,520187.0,514546.0,520248.0,521954.0,1942234.0,1949447.0,1995047.0,1961443.0,1977612.0,1948875.0,303368.0,306035.0,307387.0,308071.0,311856.0,308212.0
4.0,311425.0,314996.0,309996.0,2391124.0,2306156.0,2327523.0,2371868.0,2317965.0,2264881.0,528368.0,527640.0,538065.0,528400.0,528559.0,525877.0,2015012.0,2042100.0,2066294.0,2065991.0,2060916.0,2027336.0,302409.0,303466.0,304481.0,302265.0,311990.0,305556.0
4.5,312796.0,317423.0,311924.0,2589284.0,2558093.0,2588332.0,2600593.0,2562451.0,2495160.0,555051.0,551584.0,561949.0,546343.0,562128.0,551490.0,2153083.0,2165085.0,2219768.0,2191730.0,2199829.0,2182290.0,303948.0,306809.0,309359.0,306033.0,312467.0,306529.0
5.0,305142.0,310950.0,307148.0,2836548.0,2756195.0,2789171.0,2806796.0,2745049.0,2702014.0,565066.0,561297.0,577168.0,562621.0,572692.0,569880.0,2270492.0,2274389.0,2352114.0,2320235.0,2316317.0,2284273.0,300363.0,299355.0,300446.0,305464.0,307370.0,301886.0
5.5,308162.0,309857.0,307973.0,3138926.0,3016829.0,3135657.0,3067015.0,3017735.0,2963558.0,593882.0,595408.0,611180.0,594396.0,597901.0,595986.0,2463100.0,2474469.0,2565483.0,2504735.0,2516182.0,2460937.0,303155.0,303975.0,306009.0,300995.0,308411.0,301934.0
6.0,307121.0,308714.0,310880.0,3413063.0,3283154.0,3386574.0,3322581.0,3240890.0,3168900.0,622756.0,622917.0,637292.0,617462.0,625536.0,620967.0,2661395.0,2660036.0,2748904.0,2695893.0,2678251.0,2609703.0,303429.0,298023.0,301636.0,302145.0,311799.0,304253.0
6.5,311772.0,315807.0,308826.0,3767594.0,3587778.0,3760128.0,3625072.0,3572268.0,3497489.0,660778.0,660828.0,672891.0,656278.0,666200.0,658769.0,2919952.0,2917153.0,2999533.0,2887443.0,2882817.0,2780280.0,309771.0,302861.0,303283.0,306111.0,314555.0,307340.0
7.0,304698.0,310978.0,307110.0,4047965.0,3873494.0,4008852.0,3915094.0,3839129.0,3742445.0,693079.0,687060.0,695322.0,685106.0,696213.0,683503.0,3100791.0,3133995.0,3146108.0,3022444.0,3046459.0,2909118.0,304527.0,301766.0,305531.0,305467.0,312129.0,308782.0
7.5,313750.0,314755.0,308723.0,4435128.0,4292190.0,4346705.0,4322857.0,4219950.0,4149939.0,734156.0,726397.0,740982.0,726788.0,748235.0,731219.0,3404667.0,3357620.0,3379029.0,3253045.0,3296835.0,3167060.0,307015.0,306393.0,310186.0,313799.0,315245.0,305759.0
8.0,311674.0,315453.0,310296.0,4697797.0,4643365.0,4650422.0,4663319.0,4576963.0,4458368.0,761962.0,769106.0,756517.0,752799.0,768360.0,770754.0,3632277.0,3566673.0,3582927.0,3435452.0,3516207.0,3403758.0,307091.0,304268.0,308287.0,306420.0,315015.0,308266.0
8.5,309020.0,316422.0,309183.0,5222264.0,5131285.0,5171070.0,5184777.0,5179416.0,4993402.0,825780.0,818168.0,819780.0,795396.0,806363.0,827667.0,3985292.0,3814904.0,3841917.0,3683643.0,3809201.0,3725264.0,310946.0,310619.0,316383.0,310092.0,319223.0,309667.0
9.0,310527.0,312441.0,309439.0,5593145.0,5370151.0,5551754.0,5563504.0,5536910.0,5415697.0,868446.0,838775.0,832457.0,822604.0,832536.0,847129.0,4062418.0,3990033.0,3996309.0,3922697.0,3983512.0,3932651.0,312788.0,310530.0,314894.0,317486.0,319946.0,313308.0
9.5,306167.0,308003.0,304242.0,6092215.0,5627865.0,6023260.0,5924718.0,5884987.0,5796512.0,891053.0,873548.0,877849.0,869566.0,876892.0,905692.0,4392719.0,4263984.0,4216193.0,4285324.0,4259917.0,4172725.0,312373.0,309634.0,312839.0,309479.0,323169.0,314676.0
10.0,302096.0,305874.0,301574.0,6218796.0,5871861.0,6437309.0,6341942.0,6228177.0,6195926.0,921138.0,919607.0,913780.0,902364.0,898474.0,933659.0,4812230.0,4517821.0,4460114.0,4490211.0,4562499.0,4433408.0,316607.0,314455.0,318098.0,312018.0,321352.0,317951.0
10.5,306532.0,306592.0,305847.0,6589386.0,6223159.0,6850444.0,6756118.0,6771291.0,6646229.0,992391.0,986207.0,973948.0,974257.0,974633.0,1012302.0,5414773.0,4954403.0,4888001.0,4824801.0,4944680.0,4921009.0,321849.0,320298.0,322791.0,317144.0,323534.0,322960.0
11.0,307708.0,311762.0,306791.0,7276979.0,6502032.0,7109662.0,6922719.0,6936349.0,6906199.0,1043538.0,1019977.0,1018702.0,1003453.0,1023166.0,1053501.0,6185276.0,5268347.0,5214411.0,5261602.0,5340972.0,5411286.0,320211.0,323424.0,326159.0,324466.0,329032.0,331519.0
11.5,309719.0,312910.0,305995.0,7788544.0,7145287.0,7383601.0,7309526.0,7353651.0,7262702.0,1093184.0,1070256.0,1075600.0,1057871.0,1082515.0,1107287.0,7181355.0,5903657.0,5793606.0,5826769.0,5979107.0,6091560.0,328038.0,331508.0,330439.0,326297.0,337656.0,333580.0
12.0,308535.0,312968.0,305276.0,8169186.0,7654616.0,7705962.0,7720340.0,7751115.0,7587717.0,1125303.0,1110512.0,1120247.0,1104956.0,1124110.0,1124847.0,8212367.0,6563978.0,6415404.0,6451079.0,6639900.0,6897127.0,330790.0,329174.0,337293.0,329890.0,339451.0,338808.0
12.5,309505.0,310766.0,303795.0,8582523.0,8230307.0,8107752.0,8180187.0,8177047.0,8085893.0,1136565.0,1151431.0,1165636.0,1161904.0,1214429.0,1152584.0,9383636.0,7446301.0,7264748.0,7337854.0,7560007.0,7987173.0,335204.0,336186.0,336567.0,336543.0,345326.0,341111.0
13.0,308368.0,309791.0,307500.0,8884986.0,8589057.0,8420645.0,8425186.0,8502540.0,8334470.0,1135156.0,1141030.0,1173429.0,1162407.0,1249124.0,1170567.0,10452288.0,8287006.0,8051122.0,8175097.0,8486960.0,9035243.0,343612.0,338945.0,341683.0,339172.0,345848.0,344054.0
13.5,306569.0,311364.0,304789.0,9159210.0,9146568.0,8808907.0,8750252.0,8761347.0,8407946.0,1163123.0,1141712.0,1159964.0,1147028.0,1289177.0,1235353.0,11504549.0,9225955.0,9016759.0,9192924.0,9558720.0,10173134.0,341011.0,343502.0,346697.0,342584.0,347502.0,352813.0
14.0,302487.0,306112.0,307207.0,9325029.0,9278711.0,8927359.0,8667771.0,8820541.0,8328004.0,1176718.0,1150662.0,1156180.0,1135711.0,1254930.0,1274669.0,12353284.0,10040699.0,9911508.0,10136973.0,10493415.0,11147534.0,342349.0,342693.0,342732.0,340209.0,352740.0,348582.0
14.5,303349.0,312157.0,306947.0,9375370.0,9443210.0,9052838.0,8818058.0,9046136.0,8287355.0,1225000.0,1194077.0,1180847.0,1176912.0,1239436.0,1329075.0,13296657.0,10966217.0,10850722.0,11189707.0,11537879.0,12097190.0,343685.0,346482.0,349173.0,348843.0,352236.0,351640.0
15.0,305895.0,309049.0,303499.0,8987859.0,9616699.0,9226171.0,8950455.0,8535857.0,8443434.0,1260889.0,1249542.0,1217677.0,1214723.0,1228929.0,1393862.0,14111091.0,11817102.0,11939794.0,12079985.0,12436165.0,12960301.0,345117.0,349299.0,349784.0,345151.0,359895.0,354611.0
15.5,306502.0,314419.0,306710.0,9338000.0,9895359.0,9438280.0,8890654.0,8528191.0,8925143.0,1308865.0,1314208.0,1288908.0,1257326.0,1269267.0,1442281.0,15136917.0,12786324.0,12876888.0,12921985.0,13322712.0,13795975.0,351331.0,351510.0,351497.0,348488.0,355218.0,354601.0
16.0,306718.0,308404.0,307582.0,9823596.0,10040206.0,9438318.0,8894093.0,8763584.0,9304217.0,1346814.0,1354742.0,1335030.0,1290694.0,1299912.0,1506154.0,16077451.0,13742205.0,13788387.0,13807017.0,14130138.0,14566669.0,352908.0,352875.0,348716.0,352861.0,354734.0,357852.0
16.5,309600.0,315201.0,309244.0,10401329.0,9976111.0,9360700.0,8947778.0,9189656.0,9782108.0,1416952.0,1416081.0,1381636.0,1344102.0,1366609.0,1587350.0,17027058.0,14707715.0,14757402.0,14619172.0,15032065.0,15334331.0,356356.0,352878.0,353306.0,355680.0,366411.0,360848.0
17.0,300826.0,311239.0,305679.0,10793871.0,9721156.0,9262369.0,8955426.0,9465131.0,10086400.0,1443287.0,1455793.0,1418306.0,1375862.0,1386539.0,1610566.0,17622333.0,15399494.0,15518949.0,15214919.0,15709495.0,15786505.0,352168.0,352839.0,355124.0,354173.0,362266.0,364595.0
17.5,308139.0,312336.0,311998.0,11405407.0,9838453.0,9508015.0,9212277.0,9894401.0,10603212.0,1510388.0,1527166.0,1474675.0,1440728.0,1454056.0,1665860.0,18559263.0,16389367.0,16577288.0,16005107.0,16565038.0,16457068.0,358430.0,357482.0,359348.0,358619.0,366565.0,364826.0
18.0,307214.0,311542.0,305417.0,11870964.0,9986651.0,9680982.0,9506419.0,10184669.0,10994211.0,1544957.0,1565932.0,1506088.0,1486400.0,1490915.0,1718530.0,19274949.0,17216737.0,17471791.0,16594995.0,17227461.0,17022050.0,356974.0,355570.0,361471.0,358924.0,360404.0,364063.0
18.5,308750.0,316872.0,308787.0,12407199.0,10368707.0,9958925.0,9955159.0,10575535.0,11533833.0,1600179.0,1631451.0,1565502.0,1550034.0,1550760.0,1762174.0,20039287.0,18224372.0,18316367.0,17376368.0,18042868.0,17678937.0,361793.0,357229.0,364686.0,362629.0,370772.0,370901.0
19.0,305868.0,311255.0,306591.0,12690473.0,10639149.0,10230306.0,10157649.0,10820197.0,11761296.0,1615960.0,1668581.0,1603884.0,1586372.0,1583833.0,1774366.0,20693478.0,18845086.0,18960232.0,17754697.0,18575836.0,18033114.0,360417.0,357413.0,359369.0,359589.0,364378.0,365361.0
19.5,306601.0,314084.0,304898.0,13074603.0,11104481.0,10697683.0,10422849.0,11294194.0,12121232.0,1662413.0,1705927.0,1628389.0,1634347.0,1640499.0,1817319.0,21363308.0,19601037.0,19614148.0,18358004.0,19234448.0,18607407.0,360144.0,356765.0,355023.0,359670.0,367241.0,364181.0
20.0,304760.0,312087.0,305901.0,13359915.0,11449140.0,10930590.0,10748766.0,11714377.0,12445405.0,1685619.0,1739816.0,1668413.0,1662651.0,1686747.0,1853747.0,22129882.0,20378366.0,20355081.0,18899678.0,19988298.0,19226214.0,360851.0,356252.0,361923.0,357764.0,369855.0,366123.0
20.5,310182.0,312395.0,310501.0,13753981.0,11795374.0,11248498.0,11153608.0,12259722.0,12842965.0,1717129.0,1782534.0,1706365.0,1723420.0,1749139.0,1894297.0,22796712.0,21273503.0,21126311.0,19539947.0,20746502.0,19759135.0,363741.0,363983.0,365818.0,361431.0,367245.0,369301.0
21.0,305007.0,316861.0,307237.0,14071029.0,12209352.0,11565007.0,11606688.0,12672795.0,13131764.0,1748008.0,1807957.0,1752185.0,1760788.0,1798745.0,1917363.0,23493750.0,22065744.0,21749401.0,20048415.0,21331149.0,20252823.0,360758.0,360207.0,364421.0,365468.0,373334.0,367425.0
