,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0.0,281947.0,282189.0,281758.0,289193.0,287819.0,288660.0,286527.0,289666.0,287720.0,291026.0,296924.0,290210.0,291064.0,296307.0,290448.0,291837.0,292164.0,295332.0,290087.0,292771.0,290596.0,289126.0,294690.0,293520.0,296405.0,294568.0,294071.0
0.5,286247,288017,283344,291909,298989,290236,294899,295130,296875,298962,306243,295941,297801,300556,300607,298307,297633,295597,297507,301661,298148,298712,296645,300270,297863,304698,302860
1.0,291021,290658,292600,309241,305254,309508,303217,308159,309723,305433,311246,304117,304406,311457,311322,311180,311697,308085,307211,310752,310558,305192,311857,311707,316112,319138,314597
1.5,286119.0,288050.0,291081.0,314823.0,305073.0,308593.0,306213.0,308537.0,306901.0,312229.0,318704.0,306629.0,309063.0,315274.0,314072.0,312450.0,316008.0,314474.0,309311.0,313852.0,317940.0,315069.0,312308.0,315938.0,316577.0,320340.0,315573.0
2.0,294609.0,293286.0,290905.0,321444.0,314196.0,321239.0,314344.0,320521.0,321847.0,325582.0,324165.0,322984.0,319363.0,327894.0,323591.0,325456.0,328981.0,327366.0,324693.0,324969.0,323341.0,324866.0,329666.0,324836.0,327284.0,334442.0,328653.0
2.5,292753.0,291330.0,288279.0,325446.0,318236.0,318065.0,319919.0,325049.0,319432.0,324460.0,324618.0,324937.0,326008.0,334243.0,327716.0,333479.0,333895.0,332256.0,329431.0,331234.0,334821.0,332969.0,333352.0,328784.0,335702.0,338540.0,337241.0
3.0,293862.0,293518.0,289096.0,340034.0,330323.0,331012.0,331679.0,333847.0,331461.0,336372.0,339699.0,336044.0,334138.0,346955.0,339104.0,349385.0,347860.0,350803.0,342743.0,347898.0,341269.0,343187.0,346747.0,351495.0,353963.0,354066.0,350017.0
3.5,289338.0,285294.0,291021.0,342805.0,340678.0,338828.0,338604.0,338448.0,337854.0,345755.0,347074.0,341236.0,341083.0,352052.0,351298.0,354717.0,355677.0,353995.0,351314.0,354409.0,352210.0,350902.0,355311.0,357659.0,355610.0,362686.0,357717.0
4.0,291885.0,292697.0,286985.0,356750.0,353753.0,353705.0,350062.0,351708.0,352151.0,361263.0,361350.0,354336.0,352432.0,362908.0,362471.0,369557.0,368664.0,368993.0,367470.0,365417.0,366117.0,369619.0,372728.0,369650.0,371260.0,375426.0,371022.0
4.5,284154.0,288584.0,284206.0,363149.0,352313.0,353409.0,354286.0,354954.0,355003.0,362015.0,368120.0,362628.0,356914.0,368273.0,366856.0,380754.0,375754.0,374141.0,367948.0,374397.0,377483.0,375651.0,377736.0,371908.0,379299.0,381860.0,379866.0
5.0,289070.0,292946.0,286468.0,379551.0,368544.0,372820.0,367239.0,370547.0,369801.0,376843.0,377485.0,373743.0,371469.0,380475.0,380998.0,400968.0,395568.0,396087.0,389513.0,393329.0,392077.0,396192.0,399728.0,393473.0,399482.0,396403.0,398979.0
5.5,279758.0,283864.0,281011.0,387144.0,372403.0,378727.0,374415.0,378738.0,379202.0,382326.0,383191.0,376944.0,379722.0,386237.0,394786.0,405217.0,403078.0,397505.0,403125.0,401454.0,399260.0,402327.0,404542.0,402364.0,401531.0,413471.0,408114.0
6.0,287772.0,289740.0,287866.0,406738.0,393820.0,403184.0,394866.0,398720.0,394629.0,404547.0,406192.0,401560.0,398474.0,405825.0,419898.0,436477.0,426141.0,425496.0,421138.0,423003.0,429906.0,425259.0,428640.0,426004.0,425757.0,435370.0,429278.0
