,D2,D3,D4,D5,D6,D7,D9,E2,E3,E4,E5,E6,E7,E8,F2,F3,F4,F5,F6,F7,F9,G2,G3,G4,G5,G6,G7,G8
0.0,978728.0,983856.0,974030.0,995254.0,988645.0,961872.0,307730.0,1227575.0,1310868.0,1309110.0,1326738.0,1296474.0,1290245.0,299750.0,1304549.0,1293733.0,1337981.0,1339945.0,1321728.0,1289150.0,297210.0,278085.0,285470.0,283121.0,281511.0,279933.0,274499.0,288947.0
0.5,910615,951802,955749,961442,948875,932321,310818,1204264,1312048,1368018,1365640,1327649,1319339,298722,1198265,1252405,1320263,1296237,1286727,1341374,305575,285401,292884,286707,294134,288479,291739,286728
1.0,827575,842659,845595,847099,836161,845662,302399,1198792,1281923,1288484,1321553,1309964,1303835,293897,1226484,1200958,1184647,1200060,1229167,1261944,302148,286322,290577,280970,287763,286406,281365,286700
1.5,842150.0,854552.0,856911.0,860189.0,862436.0,858106.0,311688.0,1284683.0,1347788.0,1375143.0,1357561.0,1346389.0,1336237.0,299360.0,1225556.0,1211823.0,1206792.0,1209715.0,1235969.0,1266514.0,307928.0,285742.0,301683.0,293712.0,296824.0,294936.0,299720.0,292530.0
2.0,857251.0,850828.0,878145.0,873673.0,870234.0,879569.0,303167.0,1367994.0,1448213.0,1447893.0,1446590.0,1441532.0,1399013.0,293315.0,1283642.0,1216656.0,1197794.0,1225973.0,1265797.0,1285578.0,302853.0,288305.0,296835.0,292231.0,293618.0,291405.0,294434.0,291082.0
2.5,895811.0,884496.0,908898.0,915701.0,912529.0,923780.0,311934.0,1503932.0,1604181.0,1586463.0,1588718.0,1614332.0,1529881.0,297847.0,1371509.0,1318533.0,1305019.0,1324788.0,1361739.0,1372237.0,309490.0,295639.0,299775.0,289783.0,297715.0,294209.0,301377.0,292866.0
3.0,915862.0,908157.0,927900.0,924578.0,922430.0,931683.0,307691.0,1621340.0,1721035.0,1715620.0,1726788.0,1713627.0,1642456.0,295612.0,1431130.0,1405724.0,1406064.0,1381581.0,1411439.0,1416657.0,302712.0,288784.0,294177.0,293735.0,289134.0,289949.0,295397.0,291009.0
3.5,962383.0,942547.0,966406.0,971225.0,964702.0,973943.0,302412.0,1791533.0,1929580.0,1932746.0,1917921.0,1864166.0,1800826.0,293215.0,1577708.0,1541595.0,1550516.0,1521183.0,1509409.0,1537273.0,300729.0,290348.0,296275.0,287304.0,295306.0,292720.0,295581.0,289920.0
4.0,1008457.0,995246.0,1016233.0,998870.0,997767.0,1000875.0,306695.0,1963262.0,2104109.0,2069093.0,2009208.0,1989298.0,1969153.0,295781.0,1724428.0,1669914.0,1680378.0,1655586.0,1654787.0,1658408.0,302334.0,288349.0,296226.0,290429.0,294025.0,291446.0,292355.0,285380.0
4.5,1091401.0,1065393.0,1081146.0,1079326.0,1062293.0,1069623.0,306298.0,2173386.0,2362961.0,2301972.0,2187705.0,2200532.0,2154354.0,295489.0,1939644.0,1844076.0,1857293.0,1840418.0,1843130.0,1848340.0,303763.0,295660.0,298610.0,288736.0,295725.0,293627.0,294756.0,288203.0
