,D2,D3,D4,D5,D6,D7,D9,E2,E3,E4,E5,E6,E7,E8,F2,F3,F4,F5,F6,F7,F9,G2,G3,G4,G5,G6,G7,G8
0.0,0.205,0.226,0.219,0.22,0.222,0.219,0.083,0.205,0.212,0.215,0.217,0.213,0.222,0.09,0.194,0.205,0.204,0.202,0.201,0.202,0.085,0.218,0.22,0.215,0.221,0.216,0.217,0.084
0.5,0.198,0.224,0.203,0.204,0.208,0.203,0.083,0.19,0.199,0.203,0.205,0.203,0.207,0.09,0.179,0.19,0.19,0.189,0.191,0.187,0.085,0.195,0.2,0.198,0.203,0.199,0.2,0.084
1.0,0.187,0.199,0.19,0.193,0.197,0.193,0.083,0.18,0.185,0.182,0.185,0.186,0.191,0.091,0.173,0.179,0.179,0.177,0.179,0.178,0.085,0.185,0.191,0.189,0.193,0.185,0.188,0.085
1.5,0.181,0.188,0.185,0.186,0.189,0.188,0.082,0.17,0.171,0.173,0.174,0.173,0.176,0.089,0.167,0.17,0.168,0.168,0.17,0.176,0.084,0.184,0.182,0.18,0.186,0.182,0.183,0.083
2.0,0.176,0.179,0.18,0.183,0.189,0.186,0.082,0.173,0.171,0.171,0.174,0.174,0.178,0.089,0.166,0.165,0.159,0.162,0.167,0.172,0.083,0.193,0.187,0.185,0.19,0.183,0.186,0.083
2.5,0.185,0.184,0.184,0.187,0.195,0.192,0.083,0.183,0.175,0.175,0.178,0.177,0.184,0.09,0.175,0.172,0.165,0.17,0.173,0.177,0.083,0.204,0.196,0.195,0.2,0.194,0.196,0.083
3.0,0.195,0.194,0.193,0.195,0.201,0.2,0.082,0.197,0.186,0.186,0.188,0.188,0.199,0.089,0.19,0.183,0.181,0.181,0.183,0.188,0.084,0.219,0.207,0.208,0.212,0.206,0.207,0.084
3.5,0.208,0.207,0.205,0.206,0.211,0.212,0.082,0.212,0.207,0.203,0.208,0.211,0.212,0.09,0.205,0.197,0.196,0.197,0.198,0.203,0.085,0.235,0.224,0.222,0.227,0.22,0.221,0.083
4.0,0.225,0.222,0.221,0.22,0.226,0.228,0.083,0.229,0.224,0.222,0.224,0.227,0.228,0.09,0.224,0.215,0.213,0.214,0.215,0.22,0.085,0.252,0.239,0.239,0.244,0.236,0.239,0.084
4.5,0.242,0.238,0.237,0.236,0.243,0.242,0.083,0.25,0.24,0.24,0.241,0.243,0.243,0.09,0.242,0.233,0.231,0.233,0.232,0.239,0.085,0.268,0.255,0.255,0.259,0.254,0.254,0.085
