,D2,D3,D4,D5,D6,D7,D9,E2,E3,E4,E5,E6,E7,E8,F2,F3,F4,F5,F6,F7,F9,G2,G3,G4,G5,G6,G7,G8
0.0,294095.0,295729.0,290137.0,295939.0,291735.0,293053.0,281410.0,299645.0,297103.0,299095.0,300183.0,297478.0,295931.0,280363.0,293250.0,298339.0,290412.0,291124.0,294291.0,292668.0,282601.0,287434.0,300329.0,301761.0,291322.0,287545.0,285718.0,277615.0
0.5,296514,296650,293818,296204,295153,296216,279538,305476,301576,296161,299257,298185,294789,274112,294438,297897,290408,291418,289915,292026,280218,293822,304672,304084,294319,290925,290665,275312
1.0,307765,301212,304177,304555,305087,303718,278239,313139,308501,304351,303888,307249,302626,275078,303530,301914,299454,299208,297524,300796,279547,305857,314953,316273,308262,302245,300191,274861
1.5,316236.0,312084.0,309389.0,312642.0,312923.0,311860.0,274932.0,322063.0,315791.0,310336.0,309324.0,314756.0,315201.0,273357.0,311648.0,309765.0,303862.0,309984.0,304964.0,307765.0,275239.0,311343.0,320386.0,323583.0,312285.0,308449.0,309116.0,275489.0
2.0,330552.0,326623.0,325665.0,328229.0,324593.0,321977.0,280552.0,337276.0,326439.0,324222.0,326561.0,323836.0,331543.0,276002.0,320890.0,319235.0,316860.0,318452.0,322042.0,323239.0,278614.0,323447.0,336487.0,338679.0,332316.0,323839.0,322477.0,276061.0
2.5,335629.0,330912.0,329461.0,335273.0,337579.0,331125.0,277728.0,344314.0,332348.0,327475.0,329529.0,335297.0,333033.0,272407.0,332375.0,330055.0,324121.0,327847.0,327153.0,327872.0,278863.0,337523.0,346282.0,343248.0,340462.0,330796.0,330110.0,274553.0
3.0,350045.0,343811.0,340925.0,343772.0,343428.0,343925.0,279877.0,358911.0,348079.0,341002.0,343550.0,346715.0,349699.0,278365.0,339048.0,336872.0,333160.0,336875.0,341891.0,341000.0,276326.0,351690.0,363239.0,360378.0,357084.0,343414.0,344840.0,273433.0
3.5,355144.0,349225.0,348903.0,351539.0,351280.0,356306.0,271363.0,369011.0,355139.0,344553.0,352663.0,352736.0,353496.0,266332.0,347892.0,346986.0,338355.0,341814.0,348333.0,346327.0,271191.0,359883.0,369483.0,366560.0,357352.0,356668.0,354970.0,270726.0
4.0,372411.0,365556.0,362024.0,366843.0,368790.0,366941.0,277897.0,385086.0,369937.0,366245.0,368956.0,374765.0,369108.0,272175.0,361984.0,363329.0,358492.0,361560.0,357987.0,361306.0,278603.0,379470.0,388852.0,384379.0,381274.0,378009.0,372381.0,275188.0
4.5,380106.0,375397.0,376581.0,376880.0,379050.0,375804.0,273277.0,395656.0,379636.0,377117.0,375089.0,381750.0,379946.0,269959.0,374002.0,366147.0,362360.0,365837.0,369266.0,370803.0,275387.0,390325.0,398486.0,395265.0,390368.0,386951.0,385164.0,272273.0
5.0,403847.0,393125.0,393857.0,397416.0,394917.0,397397.0,280026.0,411620.0,397485.0,392363.0,398492.0,398290.0,398479.0,275285.0,397464.0,390314.0,378994.0,387312.0,389138.0,392602.0,276204.0,415363.0,419605.0,418950.0,411511.0,408226.0,408224.0,274529.0
5.5,411898.0,398470.0,398707.0,402222.0,400065.0,408133.0,274344.0,422758.0,404628.0,397492.0,409726.0,411409.0,408179.0,269389.0,406796.0,394026.0,393253.0,392274.0,394167.0,400213.0,276311.0,430065.0,428392.0,431739.0,424010.0,419078.0,416505.0,272100.0
6.0,429930.0,419070.0,415487.0,420797.0,416483.0,422519.0,279425.0,443290.0,429527.0,415812.0,422353.0,427185.0,425507.0,275973.0,429003.0,415299.0,407223.0,414089.0,412889.0,424001.0,282700.0,446304.0,451930.0,449829.0,439231.0,439804.0,438390.0,276209.0
6.5,440815.0,422369.0,426115.0,429242.0,427833.0,436995.0,274609.0,455710.0,431508.0,428783.0,438359.0,438580.0,438674.0,274808.0,444039.0,425248.0,421573.0,420049.0,426516.0,427374.0,277226.0,467989.0,464219.0,465196.0,454263.0,450954.0,449884.0,274817.0
7.0,463103.0,443351.0,446880.0,446676.0,450127.0,452085.0,282432.0,474023.0,451981.0,440820.0,450472.0,463335.0,448924.0,275663.0,472018.0,448916.0,440631.0,445332.0,445329.0,451736.0,279898.0,492533.0,486407.0,491170.0,478861.0,474912.0,473759.0,278862.0
7.5,470422.0,453570.0,455004.0,455291.0,454853.0,462984.0,278028.0,487219.0,459040.0,457419.0,463519.0,466652.0,464024.0,273587.0,481263.0,460949.0,454609.0,459578.0,459094.0,470179.0,280238.0,515419.0,499166.0,508348.0,495973.0,491074.0,492401.0,276036.0
8.0,487299.0,468724.0,469003.0,471691.0,473820.0,488086.0,277658.0,506993.0,477135.0,474064.0,483345.0,480253.0,481648.0,271467.0,510451.0,479715.0,469447.0,476137.0,474538.0,487082.0,280821.0,538772.0,524125.0,532119.0,512305.0,516602.0,511491.0,273326.0
8.5,498794.0,479232.0,477416.0,481827.0,481459.0,490280.0,275312.0,517067.0,490533.0,480840.0,490837.0,491570.0,490600.0,272518.0,531588.0,502597.0,488476.0,494225.0,497124.0,499977.0,275431.0,548253.0,540208.0,541445.0,525833.0,524260.0,525514.0,270939.0
9.0,523804.0,493020.0,493140.0,506577.0,507977.0,519093.0,277937.0,545738.0,512925.0,506226.0,510509.0,517514.0,514768.0,271898.0,559896.0,545122.0,534753.0,529626.0,531520.0,540688.0,276478.0,557653.0,557138.0,563265.0,544985.0,549674.0,541369.0,274078.0
9.5,540857.0,514679.0,506535.0,513186.0,521060.0,528512.0,276853.0,563642.0,536546.0,522643.0,535612.0,540091.0,522893.0,272070.0,570133.0,557703.0,554434.0,553058.0,550012.0,562397.0,276349.0,574613.0,571288.0,575148.0,560921.0,556152.0,557125.0,275613.0
10.0,572012.0,541058.0,540725.0,535186.0,545354.0,551317.0,281959.0,587195.0,561178.0,546223.0,553542.0,559066.0,548164.0,272683.0,589246.0,586538.0,578276.0,576222.0,585141.0,573801.0,278562.0,594864.0,591779.0,595264.0,580458.0,582297.0,582028.0,275323.0
10.5,583118.0,550730.0,555232.0,547809.0,560031.0,561040.0,277609.0,597056.0,565325.0,557388.0,560145.0,584367.0,560326.0,274972.0,579987.0,584409.0,583584.0,582426.0,577687.0,577356.0,277652.0,610707.0,597766.0,597864.0,582764.0,585547.0,579957.0,273888.0
11.0,590007.0,569214.0,567652.0,570611.0,571719.0,582367.0,279281.0,607170.0,594523.0,574309.0,594464.0,591852.0,589393.0,275284.0,591966.0,591856.0,587075.0,588182.0,586185.0,591565.0,279604.0,621480.0,615461.0,619498.0,600095.0,595690.0,597676.0,277187.0
11.5,607567.0,570034.0,574201.0,573635.0,572600.0,586582.0,277924.0,600623.0,606087.0,593341.0,596220.0,587888.0,591837.0,270889.0,604882.0,589616.0,586239.0,580990.0,585251.0,585201.0,275282.0,615676.0,621003.0,627474.0,611371.0,605269.0,613786.0,276851.0
12.0,619430.0,581403.0,580066.0,587124.0,595780.0,610729.0,279958.0,608190.0,607034.0,606072.0,598476.0,592184.0,610248.0,275956.0,617652.0,591969.0,585581.0,587288.0,587435.0,592924.0,278171.0,623048.0,633027.0,636380.0,620724.0,614903.0,622336.0,276466.0
12.5,620473.0,586198.0,577750.0,587890.0,614187.0,612937.0,276032.0,604504.0,603549.0,598746.0,590729.0,588662.0,595171.0,273255.0,624204.0,581468.0,582241.0,576778.0,588565.0,605369.0,275717.0,616482.0,627868.0,626157.0,611687.0,610923.0,619664.0,272097.0
13.0,623183.0,615304.0,613917.0,616469.0,622273.0,622681.0,279631.0,616455.0,614497.0,603365.0,598322.0,598795.0,601428.0,272358.0,625905.0,607834.0,595684.0,595146.0,611932.0,628168.0,276361.0,632025.0,636863.0,637403.0,622017.0,618723.0,618209.0,276183.0
13.5,626914.0,621318.0,615165.0,623870.0,616951.0,619513.0,279925.0,604801.0,608176.0,600699.0,593773.0,598431.0,599050.0,268833.0,623966.0,606812.0,595748.0,604867.0,613986.0,613988.0,276444.0,620812.0,632124.0,635650.0,614900.0,619115.0,617720.0,274885.0
14.0,634121.0,624564.0,624404.0,632002.0,627546.0,624760.0,281321.0,617803.0,620582.0,610478.0,608067.0,608940.0,610859.0,269104.0,629459.0,623042.0,619931.0,624192.0,624421.0,629901.0,276968.0,632490.0,641030.0,642873.0,630380.0,624427.0,626833.0,277020.0
14.5,628029.0,622067.0,624408.0,625858.0,626288.0,626359.0,279191.0,617907.0,625976.0,610263.0,608115.0,608239.0,608419.0,267598.0,631320.0,626057.0,626007.0,629224.0,624881.0,628348.0,278911.0,632625.0,642584.0,640868.0,623042.0,621551.0,624298.0,273524.0
15.0,643014.0,636802.0,635529.0,637487.0,639292.0,637013.0,287221.0,632198.0,635049.0,623236.0,617885.0,619684.0,626173.0,275831.0,648939.0,638910.0,634480.0,635681.0,638520.0,640971.0,283629.0,648758.0,656649.0,660285.0,635760.0,633863.0,632901.0,274825.0
15.5,640199.0,630867.0,629000.0,636451.0,642346.0,635019.0,277604.0,631294.0,631671.0,617274.0,620889.0,614325.0,612848.0,273404.0,644120.0,628806.0,626979.0,627183.0,633758.0,633200.0,280314.0,638825.0,650110.0,654188.0,634189.0,635200.0,633486.0,277952.0
