,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4
0.0,949013.0,949009.0,943046.0,950205.0,942315.0,949515.0,1510362.0,1522808.0,1529765.0,1510914.0,1539916.0,1571486.0,1407675.0,1405782.0,1411812.0,1410728.0,1434659.0,1407244.0,244269.0,241669.0,243843.0,247058.0,249617.0,244533.0,246074.0,242660.0,244950.0,247534.0
0.5,893603,831861,950017,956001,957015,963860,1597061,1602820,1593777,1599810,1600586,1565526,1337841,1297196,1468652,1476328,1427140,1409019,245567,244525,248956,248440,251709,250005,246259,242035,245574,248261
1.0,861096,919003,912049,917052,904270,906584,1649911,1648593,1648082,1652522,1666258,1642702,1327775,1426148,1461545,1434145,1445305,1451757,246602,248442,247913,249818,251206,252284,248322,243867,246777,251737
1.5,859710.0,877687.0,875392.0,893280.0,888649.0,884513.0,1590771.0,1602625.0,1614156.0,1632802.0,1616658.0,1688950.0,1364195.0,1402174.0,1391521.0,1413117.0,1409647.0,1420501.0,248503.0,251277.0,250735.0,251169.0,254283.0,251846.0,247174.0,241180.0,243772.0,245539.0
2.0,882193.0,890703.0,868422.0,886609.0,873657.0,867870.0,1569336.0,1587843.0,1603813.0,1600073.0,1630469.0,1707014.0,1387021.0,1395339.0,1396266.0,1378561.0,1388849.0,1425799.0,249043.0,252596.0,255573.0,250937.0,251849.0,254687.0,247258.0,248960.0,244882.0,246311.0
2.5,926891.0,935884.0,906331.0,929209.0,907028.0,908413.0,1616227.0,1625067.0,1662028.0,1674155.0,1731762.0,1759932.0,1463544.0,1451905.0,1430776.0,1449942.0,1472153.0,1500433.0,252253.0,256397.0,254627.0,252215.0,253487.0,258980.0,247981.0,247939.0,246846.0,247732.0
3.0,972242.0,977796.0,958065.0,985910.0,959832.0,962585.0,1712618.0,1706455.0,1726445.0,1743391.0,1821348.0,1860602.0,1555265.0,1542133.0,1545738.0,1544279.0,1567710.0,1573528.0,248875.0,251917.0,259641.0,251130.0,254359.0,255361.0,249011.0,246476.0,245487.0,251062.0
3.5,1018827.0,1011157.0,999159.0,1026749.0,991550.0,990895.0,1793118.0,1779635.0,1800560.0,1824507.0,1872290.0,2003769.0,1670494.0,1623304.0,1613709.0,1607863.0,1623832.0,1631696.0,252046.0,254780.0,253408.0,254937.0,257071.0,257431.0,248948.0,248078.0,246590.0,248640.0
4.0,1070094.0,1064995.0,1056472.0,1071639.0,1036158.0,1034737.0,1895515.0,1888531.0,1899149.0,1912764.0,1993313.0,2157896.0,1762696.0,1721406.0,1720078.0,1703581.0,1737882.0,1734462.0,252841.0,251868.0,255474.0,253173.0,254808.0,260087.0,250432.0,248580.0,245225.0,245970.0
4.5,1122460.0,1154805.0,1132204.0,1141014.0,1107984.0,1112418.0,2043532.0,2041919.0,2041437.0,2055908.0,2126632.0,2272833.0,1891213.0,1869477.0,1854792.0,1840595.0,1858139.0,1863672.0,252808.0,250496.0,252934.0,253442.0,257050.0,255734.0,247237.0,244120.0,249152.0,247648.0
5.0,1188894.0,1231272.0,1220213.0,1234061.0,1187654.0,1194362.0,2204896.0,2194302.0,2226157.0,2228996.0,2274481.0,2433458.0,2025617.0,2030358.0,2020118.0,1993054.0,2004625.0,1993437.0,247703.0,251195.0,255756.0,252804.0,254380.0,257275.0,248896.0,244587.0,251482.0,248770.0
5.5,1267196.0,1311582.0,1315226.0,1321884.0,1278972.0,1267382.0,2385736.0,2379875.0,2380375.0,2395586.0,2459102.0,2586041.0,2192225.0,2224406.0,2199503.0,2165724.0,2165745.0,2143210.0,250729.0,253282.0,258789.0,255569.0,256332.0,258049.0,246198.0,247759.0,248297.0,253141.0
6.0,1328011.0,1398911.0,1378586.0,1399095.0,1356044.0,1344066.0,2587159.0,2561485.0,2579927.0,2567781.0,2613312.0,2761879.0,2358032.0,2395142.0,2368649.0,2339737.0,2331885.0,2316754.0,251469.0,254644.0,255649.0,254244.0,255706.0,256993.0,248396.0,245671.0,247013.0,248842.0
6.5,1397584.0,1469997.0,1445335.0,1477507.0,1432929.0,1422426.0,2734883.0,2736064.0,2752185.0,2738152.0,2785255.0,2859074.0,2541845.0,2594077.0,2563832.0,2536458.0,2522682.0,2500371.0,251490.0,255837.0,254497.0,249820.0,254101.0,256519.0,247101.0,249383.0,248646.0,249915.0
7.0,1476801.0,1561490.0,1522136.0,1533502.0,1499899.0,1515029.0,2897583.0,2906778.0,2880916.0,2880337.0,2953646.0,3025676.0,2769107.0,2821636.0,2768526.0,2756094.0,2746425.0,2696216.0,249515.0,254540.0,255693.0,253542.0,256706.0,257308.0,248003.0,244969.0,245329.0,250009.0
7.5,1576747.0,1642105.0,1630289.0,1651871.0,1596522.0,1605877.0,3103245.0,3104990.0,3120041.0,3072420.0,3165758.0,3203291.0,3039568.0,3079932.0,2978308.0,2968716.0,2999990.0,2960196.0,249309.0,254191.0,254578.0,251240.0,253917.0,256534.0,250618.0,243387.0,243693.0,249268.0
8.0,1725694.0,1761586.0,1731449.0,1765487.0,1722887.0,1720068.0,3382903.0,3335768.0,3374655.0,3357020.0,3415741.0,3460820.0,3364339.0,3266483.0,3310311.0,3267386.0,3257330.0,3249420.0,250618.0,251823.0,250864.0,254102.0,252835.0,256912.0,246479.0,244255.0,244096.0,249628.0
8.5,1881829.0,1907882.0,1882630.0,1914244.0,1854315.0,1859979.0,3774745.0,3662333.0,3683333.0,3667396.0,3774104.0,3830036.0,3682619.0,3587350.0,3604850.0,3553624.0,3537228.0,3581909.0,251586.0,253909.0,254602.0,252476.0,254305.0,255277.0,248732.0,243746.0,244189.0,246488.0
