,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12
0.0,0.216,0.218,0.22,0.22,0.219,0.223,0.215,0.223,0.217,0.223,0.221,0.22,0.217,0.217,0.216,0.22,0.217,0.214,0.217,0.213,0.216,0.212,0.216,0.215
0.5,0.203,0.201,0.215,0.216,0.216,0.221,0.214,0.221,0.212,0.218,0.213,0.21,0.202,0.211,0.213,0.216,0.209,0.205,0.2,0.199,0.196,0.197,0.196,0.194
1.0,0.187,0.201,0.195,0.195,0.195,0.202,0.206,0.214,0.207,0.213,0.207,0.2,0.186,0.198,0.202,0.201,0.202,0.198,0.192,0.188,0.189,0.186,0.187,0.181
1.5,0.183,0.186,0.191,0.19,0.192,0.193,0.193,0.199,0.199,0.204,0.2,0.196,0.183,0.193,0.194,0.196,0.196,0.189,0.181,0.175,0.177,0.177,0.179,0.176
2.0,0.182,0.182,0.185,0.184,0.183,0.187,0.188,0.196,0.19,0.195,0.193,0.193,0.183,0.181,0.181,0.181,0.183,0.183,0.176,0.172,0.175,0.171,0.175,0.173
2.5,0.186,0.187,0.188,0.187,0.185,0.192,0.187,0.194,0.191,0.2,0.199,0.193,0.188,0.184,0.182,0.184,0.19,0.19,0.181,0.176,0.179,0.177,0.179,0.177
3.0,0.197,0.196,0.199,0.202,0.199,0.204,0.196,0.204,0.197,0.205,0.206,0.2,0.196,0.192,0.191,0.193,0.198,0.198,0.192,0.185,0.188,0.187,0.188,0.188
3.5,0.213,0.21,0.211,0.213,0.211,0.215,0.207,0.212,0.205,0.211,0.214,0.213,0.207,0.204,0.203,0.202,0.209,0.209,0.204,0.2,0.201,0.202,0.201,0.2
4.0,0.231,0.229,0.23,0.23,0.226,0.232,0.217,0.224,0.217,0.224,0.226,0.226,0.226,0.219,0.217,0.216,0.222,0.222,0.22,0.215,0.215,0.215,0.217,0.216
4.5,0.252,0.25,0.25,0.25,0.247,0.254,0.236,0.241,0.234,0.241,0.241,0.239,0.247,0.243,0.237,0.237,0.24,0.24,0.238,0.232,0.231,0.233,0.232,0.232
5.0,0.272,0.272,0.274,0.271,0.269,0.274,0.255,0.26,0.253,0.26,0.258,0.255,0.266,0.264,0.26,0.258,0.259,0.259,0.258,0.251,0.25,0.251,0.25,0.249
5.5,0.292,0.294,0.296,0.294,0.29,0.296,0.276,0.279,0.272,0.279,0.278,0.276,0.291,0.288,0.282,0.278,0.281,0.282,0.279,0.271,0.269,0.271,0.27,0.269
6.0,0.313,0.316,0.32,0.316,0.313,0.32,0.298,0.299,0.293,0.298,0.296,0.291,0.315,0.311,0.307,0.302,0.305,0.305,0.3,0.291,0.291,0.293,0.289,0.288
6.5,0.338,0.34,0.342,0.338,0.336,0.345,0.319,0.32,0.313,0.317,0.316,0.312,0.35,0.34,0.337,0.332,0.334,0.335,0.326,0.317,0.315,0.318,0.313,0.309
7.0,0.372,0.371,0.375,0.371,0.368,0.38,0.345,0.346,0.335,0.342,0.341,0.337,0.395,0.384,0.376,0.373,0.376,0.376,0.359,0.347,0.346,0.348,0.341,0.338
7.5,0.413,0.415,0.416,0.414,0.408,0.425,0.38,0.376,0.369,0.375,0.376,0.367,0.449,0.438,0.427,0.422,0.428,0.43,0.398,0.387,0.381,0.387,0.377,0.371
8.0,0.475,0.476,0.477,0.472,0.466,0.483,0.429,0.421,0.414,0.42,0.424,0.411,0.523,0.501,0.495,0.487,0.494,0.496,0.449,0.436,0.427,0.435,0.423,0.413
8.5,0.556,0.551,0.549,0.547,0.539,0.561,0.495,0.481,0.47,0.479,0.483,0.466,0.602,0.578,0.569,0.562,0.565,0.573,0.514,0.496,0.487,0.495,0.481,0.47
9.0,0.637,0.627,0.623,0.624,0.616,0.625,0.576,0.558,0.55,0.558,0.563,0.542,0.669,0.632,0.634,0.626,0.629,0.642,0.582,0.561,0.553,0.561,0.546,0.538
9.5,0.704,0.691,0.678,0.681,0.671,0.675,0.638,0.628,0.62,0.625,0.637,0.617,0.72,0.668,0.673,0.678,0.68,0.688,0.643,0.629,0.619,0.629,0.613,0.612
10.0,0.717,0.734,0.725,0.734,0.721,0.718,0.693,0.68,0.677,0.682,0.702,0.684,0.713,0.695,0.708,0.703,0.708,0.705,0.688,0.672,0.669,0.667,0.665,0.66
10.5,0.686,0.727,0.741,0.737,0.734,0.733,0.732,0.725,0.728,0.719,0.729,0.715,0.706,0.702,0.707,0.704,0.704,0.708,0.687,0.68,0.679,0.674,0.676,0.654
11.0,0.678,0.717,0.725,0.721,0.721,0.735,0.728,0.73,0.725,0.731,0.731,0.705,0.691,0.709,0.71,0.702,0.718,0.707,0.683,0.674,0.676,0.669,0.667,0.638
11.5,0.68,0.732,0.728,0.728,0.723,0.732,0.728,0.731,0.726,0.73,0.735,0.674,0.689,0.728,0.728,0.718,0.723,0.674,0.659,0.643,0.65,0.641,0.638,0.638
12.0,0.681,0.737,0.729,0.734,0.728,0.729,0.728,0.73,0.727,0.728,0.735,0.677,0.689,0.747,0.745,0.723,0.694,0.67,0.634,0.631,0.633,0.635,0.641,0.636
12.5,0.685,0.711,0.739,0.747,0.726,0.711,0.727,0.741,0.735,0.732,0.71,0.683,0.69,0.747,0.753,0.712,0.682,0.681,0.642,0.64,0.64,0.644,0.645,0.637
13.0,0.691,0.692,0.741,0.744,0.71,0.69,0.714,0.736,0.736,0.706,0.683,0.684,0.693,0.724,0.741,0.693,0.687,0.686,0.648,0.643,0.643,0.646,0.648,0.637
13.5,0.691,0.678,0.725,0.731,0.694,0.681,0.693,0.715,0.709,0.682,0.68,0.685,0.693,0.707,0.722,0.678,0.698,0.689,0.645,0.643,0.643,0.642,0.642,0.634
14.0,0.692,0.685,0.708,0.716,0.685,0.685,0.683,0.696,0.69,0.677,0.69,0.689,0.695,0.7,0.71,0.679,0.709,0.694,0.648,0.644,0.642,0.641,0.641,0.636
14.5,0.696,0.699,0.7,0.703,0.682,0.69,0.684,0.687,0.681,0.681,0.697,0.688,0.697,0.701,0.703,0.691,0.712,0.693,0.644,0.641,0.64,0.637,0.639,0.634
15.0,0.697,0.707,0.692,0.694,0.685,0.7,0.691,0.688,0.683,0.687,0.703,0.688,0.697,0.714,0.706,0.701,0.714,0.694,0.642,0.638,0.638,0.633,0.636,0.632
15.5,0.699,0.716,0.693,0.692,0.695,0.707,0.699,0.696,0.693,0.694,0.707,0.689,0.699,0.725,0.721,0.704,0.715,0.693,0.64,0.635,0.637,0.632,0.635,0.632
16.0,0.7,0.721,0.706,0.702,0.702,0.709,0.701,0.703,0.697,0.694,0.704,0.685,0.696,0.732,0.729,0.702,0.711,0.691,0.635,0.632,0.63,0.625,0.63,0.629
16.5,0.705,0.72,0.715,0.713,0.707,0.71,0.702,0.706,0.699,0.696,0.705,0.685,0.696,0.732,0.736,0.7,0.711,0.692,0.635,0.632,0.632,0.625,0.628,0.629
17.0,0.703,0.72,0.718,0.72,0.706,0.71,0.702,0.707,0.696,0.69,0.703,0.685,0.7,0.726,0.733,0.7,0.709,0.69,0.633,0.629,0.628,0.623,0.624,0.628
17.5,0.703,0.72,0.721,0.722,0.705,0.707,0.699,0.706,0.696,0.689,0.701,0.684,0.702,0.723,0.732,0.698,0.708,0.69,0.63,0.628,0.626,0.621,0.623,0.63
18.0,0.709,0.718,0.72,0.72,0.703,0.705,0.695,0.702,0.695,0.686,0.698,0.686,0.703,0.72,0.729,0.696,0.706,0.69,0.629,0.626,0.623,0.62,0.623,0.631
18.5,0.712,0.717,0.717,0.718,0.7,0.7,0.692,0.699,0.689,0.682,0.696,0.687,0.705,0.716,0.726,0.693,0.704,0.688,0.627,0.624,0.621,0.618,0.622,0.633
19.0,0.713,0.716,0.714,0.717,0.695,0.697,0.688,0.694,0.683,0.677,0.693,0.686,0.705,0.715,0.721,0.691,0.703,0.686,0.624,0.62,0.618,0.614,0.619,0.633
