,A2,A3,A4,A8,A10,A12,B7,B8,B9,C4,C5,C6,C7,C8,C9,D4,D5,D6,D7,D8,D9,D10,D11,D12,E4,E5,E6,E7,E8,E9,E10,E11,E12,F4,F5,F6,F7,F8,F9,F10,F11,F12,G4,G5,G6,G7,G8,G9,G10,G11,G12,H4,H5,H6,H7,H8,H9,H10,H11,H12
0.0,317417.0,320756.0,315855.0,293781.0,352309.0,270618.0,351589.0,345852.0,349535.0,283056.0,290242.0,288557.0,346570.0,351944.0,344933.0,280501.0,283016.0,288702.0,340617.0,342925.0,347146.0,268846.0,270943.0,268126.0,279080.0,284343.0,285090.0,339231.0,339151.0,345536.0,269232.0,275085.0,267251.0,277725.0,285204.0,280342.0,337261.0,336792.0,338347.0,268871.0,267659.0,266410.0,275028.0,278355.0,280786.0,332654.0,337960.0,335014.0,270366.0,269805.0,268881.0,265852.0,268320.0,279050.0,330120.0,327297.0,332430.0,260624.0,265179.0,266123.0
0.5,325240,322780,322983,289024,349088,269640,347273,345570,348536,284133,291007,285768,342795,344730,340135,296511,284402,288336,337341,338654,343274,270281,270322,270314,281522,282483,284855,332066,337924,339780,263173,273632,269640,275250,283399,279267,329476,331531,340484,269943,269924,264104,279414,280209,277624,329255,332975,332557,264062,271408,266199,264584,268895,275990,323049,326526,325411,261410,265632,265462
1.0,324285,322684,324854,294529,348640,270600,354732,353395,349371,289301,293956,292028,342212,345249,341239,305638,292263,296753,336925,339007,339921,276737,280322,271861,285632,287601,284785,328849,336577,333361,274921,275983,272097,281599,284054,280805,331776,329024,332777,271722,276498,272363,281043,283742,279569,329293,333518,328323,265996,272170,268773,268235,275272,276947,321119,320123,325849,260815,264542,261811
1.5,324097.0,324558.0,323229.0,297180.0,345723.0,269510.0,357466.0,354419.0,353608.0,295209.0,300921.0,296686.0,344591.0,348275.0,342812.0,309341.0,299549.0,300133.0,337531.0,337596.0,343619.0,280727.0,288314.0,283134.0,288416.0,289592.0,292089.0,332556.0,330107.0,332736.0,279797.0,285517.0,282692.0,286094.0,290270.0,284176.0,326435.0,331956.0,333525.0,274483.0,281831.0,276991.0,283423.0,282789.0,287489.0,326616.0,328942.0,328055.0,266265.0,271156.0,277852.0,275707.0,275793.0,280951.0,322118.0,325682.0,326570.0,260906.0,263976.0,265422.0
2.0,323899.0,322547.0,320979.0,310424.0,344152.0,271891.0,372126.0,360720.0,366791.0,306051.0,315482.0,308203.0,353519.0,355931.0,355429.0,321731.0,305879.0,309606.0,345198.0,345319.0,345577.0,288733.0,295376.0,293823.0,298420.0,294186.0,297192.0,331910.0,336281.0,338092.0,289275.0,293808.0,292417.0,285130.0,291274.0,286364.0,331294.0,329407.0,332157.0,282475.0,291527.0,286759.0,288103.0,285749.0,286836.0,323303.0,331112.0,326318.0,273844.0,279059.0,275941.0,275622.0,277467.0,290571.0,324151.0,322147.0,326060.0,260985.0,266375.0,265124.0
2.5,324289.0,319648.0,320527.0,313438.0,347495.0,276989.0,384842.0,381153.0,382649.0,328676.0,331165.0,326470.0,372230.0,373093.0,369786.0,337203.0,319729.0,324670.0,354891.0,355719.0,358819.0,296663.0,303360.0,308017.0,305372.0,304131.0,303976.0,330402.0,338072.0,337172.0,302396.0,310147.0,305785.0,291340.0,294157.0,289967.0,326921.0,327452.0,333768.0,291885.0,298240.0,295585.0,298205.0,288246.0,291635.0,323089.0,330682.0,327709.0,275659.0,282473.0,278047.0,277511.0,284667.0,291499.0,320202.0,318057.0,327658.0,264154.0,266405.0,265808.0
3.0,322256.0,324671.0,322498.0,323979.0,354925.0,273060.0,408091.0,397294.0,403519.0,349285.0,351956.0,352149.0,397667.0,397026.0,396046.0,358204.0,346921.0,345845.0,366616.0,367975.0,373401.0,315312.0,322319.0,321129.0,308904.0,313985.0,313872.0,331982.0,334846.0,336153.0,322917.0,329833.0,329519.0,292026.0,302417.0,288438.0,328703.0,323924.0,334119.0,305114.0,310301.0,304897.0,300964.0,287243.0,296249.0,323553.0,332703.0,326187.0,274377.0,281624.0,281191.0,278511.0,288362.0,295497.0,325528.0,320193.0,325874.0,263883.0,268097.0,265717.0
3.5,322770.0,321677.0,324587.0,331468.0,353000.0,270954.0,441258.0,426517.0,434977.0,375798.0,382394.0,378532.0,427738.0,426480.0,420179.0,391736.0,366937.0,369962.0,386454.0,385882.0,392776.0,332510.0,343933.0,338190.0,319168.0,327577.0,326956.0,331946.0,333158.0,340739.0,336634.0,354317.0,348199.0,297313.0,304403.0,290203.0,330934.0,324830.0,336259.0,318120.0,328043.0,315666.0,312107.0,288479.0,299008.0,326882.0,333513.0,327423.0,278207.0,283242.0,279628.0,285825.0,293123.0,298361.0,325853.0,320911.0,329408.0,260397.0,268294.0,265383.0
4.0,320990.0,323679.0,326155.0,341656.0,353400.0,272196.0,478414.0,459443.0,470554.0,416939.0,417662.0,413397.0,466851.0,468887.0,460231.0,421317.0,406391.0,406822.0,413992.0,409361.0,416679.0,353119.0,361113.0,366438.0,334027.0,335593.0,334579.0,333216.0,332743.0,342871.0,364983.0,376877.0,379021.0,297832.0,308824.0,291415.0,323287.0,327221.0,333256.0,338028.0,341591.0,335945.0,318664.0,292839.0,301136.0,326354.0,334811.0,328483.0,285557.0,287556.0,286437.0,286128.0,294581.0,299469.0,322148.0,317091.0,331445.0,261806.0,264862.0,265229.0
4.5,327177.0,321644.0,319636.0,352306.0,350503.0,268782.0,526554.0,508166.0,512269.0,462282.0,460883.0,457382.0,506919.0,512323.0,507950.0,463596.0,443484.0,447680.0,447829.0,444595.0,443719.0,383562.0,387499.0,394101.0,349264.0,351284.0,348121.0,328851.0,333350.0,348738.0,394446.0,408889.0,406319.0,298605.0,314807.0,290814.0,327755.0,333419.0,335136.0,350115.0,354162.0,351929.0,327483.0,293759.0,301366.0,323653.0,334717.0,323979.0,284211.0,292203.0,289940.0,288337.0,301922.0,300009.0,324045.0,312390.0,332602.0,261468.0,264617.0,265882.0
5.0,324634.0,322495.0,319492.0,368612.0,350335.0,271570.0,580609.0,557222.0,560933.0,510148.0,516652.0,514099.0,578386.0,583418.0,569845.0,519492.0,496367.0,501734.0,490148.0,486895.0,499122.0,414929.0,418461.0,423871.0,367304.0,369465.0,366097.0,332295.0,332251.0,349816.0,439792.0,449520.0,441498.0,305957.0,316389.0,292481.0,321872.0,328874.0,332555.0,376216.0,369887.0,376438.0,339359.0,296928.0,312027.0,321294.0,330616.0,324232.0,283161.0,295454.0,288340.0,293058.0,304619.0,306665.0,320654.0,318905.0,326137.0,260729.0,264044.0,261639.0
5.5,319064.0,325038.0,317945.0,381205.0,347827.0,269613.0,647444.0,616216.0,622313.0,567576.0,576828.0,570579.0,648125.0,653548.0,632282.0,576157.0,551078.0,554004.0,545579.0,542820.0,540745.0,455021.0,458585.0,465132.0,381511.0,384764.0,386392.0,337349.0,335004.0,355604.0,469637.0,479150.0,478711.0,308916.0,321345.0,292322.0,322815.0,325651.0,334088.0,389327.0,395839.0,392848.0,345568.0,299506.0,312994.0,323354.0,326342.0,329884.0,288171.0,288145.0,292372.0,295389.0,312125.0,315579.0,327733.0,318053.0,326805.0,255358.0,262761.0,263328.0
6.0,321040.0,322562.0,318114.0,398921.0,346583.0,270891.0,723558.0,684602.0,698208.0,637532.0,645807.0,626631.0,733624.0,729486.0,712523.0,652439.0,636412.0,617045.0,603376.0,592519.0,600689.0,493261.0,499749.0,515274.0,403997.0,406640.0,403832.0,337458.0,339753.0,361476.0,509621.0,519165.0,525052.0,315976.0,327992.0,292647.0,323548.0,322330.0,332189.0,411885.0,413757.0,408181.0,366147.0,301524.0,317558.0,321754.0,323590.0,328388.0,290791.0,294896.0,294912.0,301688.0,322445.0,322071.0,324555.0,318165.0,329700.0,253907.0,259937.0,255555.0
6.5,321894.0,319710.0,323991.0,419489.0,346106.0,268315.0,808318.0,761243.0,809310.0,730965.0,754305.0,704286.0,844772.0,845425.0,809252.0,749135.0,727843.0,703733.0,672858.0,655304.0,674983.0,541291.0,553727.0,566527.0,437304.0,443750.0,431546.0,341547.0,347403.0,375006.0,554075.0,566080.0,562817.0,327636.0,336270.0,297417.0,320708.0,324669.0,326226.0,427650.0,428474.0,421523.0,373120.0,307647.0,321223.0,321123.0,322611.0,325112.0,292162.0,298078.0,295979.0,304800.0,327699.0,326893.0,322280.0,322900.0,331030.0,254984.0,260443.0,257912.0
