,A6,A8,A10,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0.0,278438.0,337546.0,267309.0,333968.0,332198.0,324276.0,321105.0,275298.0,262924.0,269834.0,265168.0,317664.0,330012.0,331165.0,331888.0,269204.0,262579.0,265461.0,264282.0,325405.0,320000.0,331341.0,327696.0,267490.0,263932.0,271863.0,259378.0,290602.0,263790.0,266082.0,266589.0,327302.0,329104.0,328217.0,326588.0,266538.0,259344.0,265468.0,256655.0,270503.0,259319.0,265772.0,260030.0,325978.0,324082.0,322481.0,323544.0,264438.0,261105.0,263849.0,263274.0,263839.0,255096.0,263376.0,262086.0,325356.0,325278.0,320196.0,322228.0,262702.0,258334.0,267179.0,263588.0,263161.0,253213.0,256498.0,254102.0,313349.0,321766.0,318655.0,318300.0,250454.0,252633.0,260695.0,259110.0
0.5,281028,333025,274533,330699,332893,323883,322937,283678,268044,272357,273824,325167,333892,331092,335428,274337,269397,272967,269119,328023,323502,329474,333930,270066,268079,274609,259271,292807,266819,271524,268296,324649,329521,325478,324050,266017,263958,269686,260934,270477,266026,272445,264174,329794,325465,328974,325829,267560,259853,269130,262861,271600,259224,266554,261267,323202,323228,321685,321695,264837,261972,269607,266275,266333,261459,261666,255263,315334,318883,316880,317948,254400,254454,259773,264083
1.0,280777,333037,273952,336963,337796,329909,335329,286389,271931,277643,276694,329544,339766,336940,335600,286672,272198,276383,278715,331043,326304,328954,330746,271738,271937,280189,266358,296897,276637,276519,273196,323172,329655,323721,326755,273511,267623,270539,269387,274895,270134,275239,272760,326140,325447,323225,325684,271655,269606,272575,266384,272516,264254,269081,266441,325026,321540,322886,318922,269652,264617,271652,267415,270578,261297,261488,259135,312957,316631,314391,316369,256233,255488,260590,261708
1.5,280116.0,334858.0,273907.0,338716.0,343458.0,337723.0,344332.0,293632.0,279495.0,282854.0,288039.0,337705.0,337863.0,341206.0,344159.0,296249.0,287255.0,287761.0,280789.0,326116.0,327563.0,333331.0,333422.0,277661.0,280777.0,287997.0,276150.0,312610.0,288975.0,284823.0,281384.0,326407.0,327552.0,323073.0,323130.0,278211.0,276033.0,283492.0,274332.0,276632.0,273805.0,275426.0,272346.0,325661.0,321359.0,322681.0,326946.0,274395.0,272743.0,278164.0,273254.0,271422.0,266575.0,271410.0,270226.0,322205.0,324715.0,320108.0,317901.0,270608.0,268599.0,275876.0,265129.0,269004.0,264004.0,265489.0,260707.0,312921.0,319752.0,316373.0,316040.0,257660.0,256359.0,266539.0,262325.0
2.0,283287.0,333265.0,275644.0,350035.0,351582.0,351426.0,357922.0,309298.0,294932.0,293166.0,299486.0,352176.0,352578.0,353845.0,355357.0,306347.0,295942.0,295548.0,299234.0,333279.0,334286.0,338559.0,341457.0,287797.0,286107.0,294793.0,279684.0,315158.0,290742.0,291341.0,292366.0,326779.0,329175.0,329007.0,323770.0,288060.0,280600.0,291451.0,281959.0,280853.0,273975.0,278861.0,271392.0,319782.0,321860.0,325833.0,328803.0,283835.0,278131.0,281861.0,278546.0,273896.0,270188.0,272627.0,272912.0,321418.0,320875.0,320405.0,318471.0,270900.0,272729.0,275217.0,274221.0,271651.0,270205.0,266218.0,262715.0,311324.0,320529.0,314466.0,314927.0,260036.0,257820.0,264461.0,263644.0
2.5,285248.0,330031.0,277198.0,372172.0,369522.0,369001.0,379747.0,330626.0,312984.0,312642.0,319563.0,369152.0,372753.0,374100.0,382281.0,328352.0,320420.0,315015.0,315840.0,349845.0,346273.0,352193.0,355965.0,299913.0,291382.0,306860.0,297529.0,331781.0,300488.0,303697.0,300989.0,328338.0,332086.0,323092.0,322414.0,299131.0,293367.0,297313.0,298225.0,282936.0,273952.0,282639.0,276301.0,325471.0,323798.0,326292.0,331684.0,288039.0,285200.0,291531.0,289501.0,271869.0,269042.0,278300.0,273627.0,323597.0,320771.0,318938.0,322029.0,274786.0,272936.0,279285.0,274931.0,271615.0,267078.0,267504.0,262412.0,314172.0,318775.0,319838.0,321168.0,259748.0,261812.0,266933.0,263753.0
3.0,287136.0,335815.0,277903.0,400281.0,400027.0,392411.0,397189.0,361241.0,335990.0,341428.0,343612.0,398971.0,400532.0,401545.0,406697.0,353102.0,336044.0,336040.0,337668.0,364201.0,364745.0,372937.0,371809.0,312792.0,300429.0,321167.0,306659.0,335454.0,308459.0,313156.0,308160.0,328909.0,333595.0,327490.0,325841.0,314293.0,306631.0,313269.0,317938.0,281709.0,275623.0,285146.0,276913.0,326732.0,324279.0,321062.0,330270.0,299647.0,295975.0,302100.0,301187.0,276280.0,269131.0,277719.0,270458.0,326153.0,322260.0,322312.0,323728.0,275924.0,274025.0,278574.0,275227.0,271222.0,265724.0,266264.0,261459.0,313825.0,323315.0,320603.0,319611.0,257172.0,259161.0,263233.0,263176.0
3.5,287046.0,335461.0,277203.0,424341.0,428248.0,428620.0,422751.0,392797.0,369814.0,370913.0,377145.0,429941.0,435415.0,438862.0,444052.0,386097.0,364769.0,361975.0,366272.0,383821.0,381730.0,397900.0,394575.0,327201.0,318972.0,337803.0,326095.0,340703.0,318088.0,323264.0,318283.0,329851.0,334363.0,324425.0,326986.0,330704.0,329104.0,336759.0,336406.0,284812.0,279227.0,285237.0,275112.0,324011.0,323802.0,320432.0,330421.0,311800.0,304679.0,312231.0,311747.0,273640.0,274934.0,276685.0,271876.0,323352.0,320835.0,321604.0,321067.0,282580.0,275040.0,282474.0,279600.0,270905.0,265028.0,270239.0,268672.0,314085.0,321291.0,315839.0,318041.0,260607.0,258499.0,269148.0,263757.0
4.0,288135.0,332372.0,278279.0,458476.0,454917.0,471390.0,459677.0,436423.0,403724.0,406507.0,418190.0,465773.0,470818.0,479893.0,490327.0,423953.0,403596.0,393552.0,398166.0,408156.0,400663.0,422312.0,425788.0,343441.0,338302.0,359433.0,343520.0,356715.0,332112.0,333630.0,327881.0,328614.0,334986.0,326153.0,329758.0,356173.0,348576.0,362111.0,358353.0,286693.0,279525.0,288751.0,280474.0,325616.0,328712.0,326198.0,329456.0,321160.0,318349.0,328049.0,324154.0,277720.0,273830.0,275613.0,273235.0,323893.0,321769.0,316321.0,320306.0,283336.0,279673.0,285782.0,279626.0,271560.0,269636.0,267052.0,263396.0,314224.0,324735.0,315747.0,316884.0,263129.0,259200.0,264639.0,263609.0
4.5,286693.0,332414.0,274357.0,491675.0,499071.0,521312.0,503916.0,486567.0,451800.0,458627.0,463121.0,519289.0,527357.0,536415.0,544108.0,467446.0,437711.0,432941.0,445704.0,447649.0,433261.0,461661.0,461267.0,372691.0,367357.0,383462.0,365973.0,370910.0,344300.0,346382.0,344996.0,329169.0,341370.0,328198.0,332542.0,384734.0,380976.0,394531.0,390814.0,285078.0,281356.0,285146.0,280952.0,321910.0,326550.0,322568.0,325940.0,342282.0,334717.0,339418.0,345796.0,278220.0,273729.0,278165.0,276126.0,335918.0,318322.0,322624.0,319513.0,287231.0,284919.0,285296.0,280037.0,271429.0,268616.0,269375.0,266454.0,316562.0,322510.0,316007.0,316274.0,262960.0,256433.0,265209.0,262438.0
5.0,286697.0,335571.0,276204.0,548944.0,549557.0,581507.0,556655.0,542718.0,503696.0,519757.0,517957.0,571573.0,578498.0,598140.0,610328.0,508913.0,482184.0,482081.0,487202.0,481042.0,466347.0,504806.0,510111.0,401734.0,397022.0,425060.0,396514.0,387473.0,354469.0,359373.0,358027.0,331916.0,337339.0,326110.0,334205.0,418060.0,415619.0,423519.0,424648.0,287579.0,283239.0,287425.0,282155.0,318856.0,330450.0,321816.0,323923.0,355525.0,348934.0,356698.0,355515.0,276063.0,272657.0,280425.0,274863.0,332561.0,316526.0,318157.0,318761.0,281767.0,282910.0,289715.0,283282.0,271242.0,266816.0,270193.0,267210.0,313146.0,320260.0,317660.0,319329.0,255985.0,257126.0,263381.0,261766.0
5.5,290470.0,335928.0,276767.0,609168.0,608915.0,644829.0,624327.0,624491.0,579933.0,585821.0,598722.0,638503.0,643288.0,663467.0,678236.0,566235.0,537120.0,534290.0,547130.0,527217.0,512047.0,561829.0,553829.0,435894.0,431880.0,456836.0,425925.0,399569.0,372159.0,381020.0,374641.0,333575.0,338499.0,334467.0,337558.0,446575.0,448790.0,460631.0,471177.0,289909.0,284106.0,289486.0,281140.0,321328.0,326161.0,318971.0,322176.0,372536.0,363963.0,377314.0,377311.0,273933.0,269981.0,276934.0,272128.0,336531.0,315602.0,321461.0,313042.0,287351.0,282414.0,289707.0,285873.0,272038.0,270254.0,268805.0,264787.0,312053.0,321531.0,317101.0,316078.0,257347.0,255531.0,261269.0,260390.0
