,E7,E8,E11,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0.0,265991.0,268794.0,270484.0,622872.0,622699.0,619037.0,627998.0,634741.0,673280.0,469320.0,464614.0,476106.0,481441.0,480576.0,468998.0,366097.0,312085.0,362054.0,364013.0,366243.0,361616.0,534730.0,547196.0,560626.0,553781.0,569414.0,557737.0,577003.0,559796.0,560906.0,578310.0,586020.0,566580.0,474514.0,483364.0,481600.0,485155.0,490494.0,486248.0
0.5,265328,269384,274841,655545,664881,683070,704966,715755,760482,505907,513916,517128,500500,517566,490451,375126,322275,373225,377652,374553,371024,549304,560289,568918,560154,583201,563942,661966,655634,658374,665178,663172,656051,503367,516531,506812,507614,521739,499081
1.0,262342,268737,269500,693898,694601,754629,716573,719080,748858,482066,497714,496782,512354,515572,515792,413478,363958,416912,418240,410518,412135,599159,613943,623364,615929,631790,630419,750832,757927,750143,748452,757093,748787,518772,532800,517292,525333,539494,534500
1.5,262392.0,266953.0,271613.0,720963.0,698843.0,715552.0,723663.0,757798.0,785606.0,522292.0,529318.0,538392.0,549811.0,538041.0,542539.0,444255.0,383836.0,431774.0,444983.0,439309.0,438211.0,643878.0,656580.0,662728.0,661241.0,677398.0,659859.0,789223.0,779526.0,789976.0,789430.0,796615.0,791032.0,525847.0,527427.0,529367.0,535560.0,538837.0,549344.0
2.0,262636.0,266024.0,267337.0,768885.0,774122.0,753678.0,751402.0,763772.0,801800.0,541450.0,549940.0,558443.0,571903.0,578229.0,560052.0,448172.0,395866.0,452675.0,467010.0,446878.0,451000.0,649866.0,662266.0,681281.0,660478.0,677676.0,664181.0,839844.0,803800.0,841963.0,838903.0,844961.0,839796.0,562533.0,562994.0,564206.0,574447.0,580229.0,581710.0
2.5,262985.0,264094.0,265353.0,894741.0,801070.0,771582.0,805365.0,817087.0,850710.0,557140.0,562554.0,574196.0,590273.0,631895.0,603198.0,487571.0,426583.0,475785.0,497074.0,475049.0,475674.0,687593.0,697217.0,714380.0,714302.0,726728.0,707937.0,954113.0,897952.0,959532.0,944457.0,967188.0,951392.0,625492.0,613613.0,620288.0,635847.0,622118.0,660724.0
3.0,253249.0,263820.0,265679.0,957435.0,874503.0,815348.0,876997.0,884615.0,907267.0,587905.0,598070.0,606724.0,629973.0,669443.0,660097.0,527317.0,452687.0,505185.0,534240.0,503987.0,507614.0,744986.0,745592.0,755259.0,778256.0,801599.0,755510.0,1074734.0,989699.0,1073456.0,1072776.0,1096201.0,1065499.0,677431.0,672076.0,676750.0,707098.0,682668.0,729146.0
3.5,258549.0,263619.0,270655.0,1050599.0,964320.0,889101.0,966883.0,985083.0,1009839.0,653252.0,651994.0,665115.0,691289.0,718916.0,720283.0,581139.0,491661.0,543016.0,585386.0,544715.0,556676.0,821011.0,839868.0,834784.0,856528.0,889526.0,845213.0,1232045.0,1110944.0,1207849.0,1205083.0,1228145.0,1180202.0,754631.0,730407.0,742719.0,773459.0,745414.0,818076.0
4.0,258162.0,264156.0,265539.0,1151567.0,1059116.0,961583.0,1055748.0,1073909.0,1107410.0,724158.0,715014.0,730839.0,749316.0,792593.0,784729.0,625412.0,529972.0,586812.0,625789.0,584806.0,601337.0,901160.0,909121.0,907162.0,925455.0,961165.0,920416.0,1383478.0,1221741.0,1332539.0,1340591.0,1363824.0,1320516.0,829201.0,807397.0,808883.0,843160.0,819802.0,896704.0
4.5,263399.0,262953.0,268773.0,1288244.0,1184158.0,1060953.0,1191607.0,1215706.0,1240628.0,800635.0,812024.0,828048.0,830477.0,858942.0,849102.0,678417.0,592273.0,637593.0,685169.0,638781.0,659102.0,1013377.0,1006948.0,1020956.0,1031636.0,1065988.0,1026586.0,1571557.0,1387950.0,1503912.0,1517436.0,1541544.0,1480940.0,908816.0,875144.0,888036.0,926752.0,893913.0,966213.0
