,E7,E8,E11,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0.0,0.086,0.084,0.083,0.22,0.221,0.224,0.223,0.227,0.224,0.219,0.215,0.218,0.226,0.225,0.225,0.214,0.236,0.216,0.226,0.217,0.218,0.223,0.227,0.236,0.233,0.232,0.232,0.221,0.223,0.226,0.228,0.23,0.221,0.225,0.226,0.232,0.227,0.228,0.239
0.5,0.085,0.084,0.083,0.2,0.195,0.212,0.214,0.216,0.215,0.204,0.203,0.203,0.204,0.204,0.202,0.189,0.216,0.197,0.198,0.193,0.192,0.204,0.206,0.205,0.206,0.206,0.204,0.201,0.2,0.2,0.206,0.206,0.197,0.203,0.205,0.211,0.203,0.205,0.206
1.0,0.084,0.083,0.084,0.179,0.185,0.204,0.193,0.194,0.193,0.178,0.178,0.18,0.186,0.179,0.181,0.171,0.194,0.181,0.182,0.178,0.179,0.185,0.19,0.19,0.191,0.187,0.188,0.181,0.183,0.182,0.187,0.189,0.18,0.184,0.187,0.191,0.18,0.18,0.187
1.5,0.086,0.084,0.083,0.171,0.17,0.179,0.183,0.189,0.186,0.178,0.179,0.18,0.186,0.183,0.178,0.164,0.191,0.176,0.178,0.18,0.175,0.183,0.186,0.187,0.186,0.186,0.185,0.173,0.177,0.179,0.182,0.182,0.175,0.17,0.17,0.178,0.172,0.173,0.184
2.0,0.085,0.084,0.084,0.181,0.179,0.177,0.185,0.189,0.187,0.178,0.179,0.181,0.192,0.194,0.183,0.165,0.186,0.173,0.174,0.173,0.172,0.182,0.187,0.19,0.185,0.181,0.181,0.177,0.174,0.179,0.182,0.183,0.175,0.178,0.177,0.187,0.179,0.179,0.184
2.5,0.087,0.084,0.085,0.194,0.188,0.179,0.189,0.194,0.19,0.173,0.174,0.176,0.193,0.195,0.189,0.167,0.187,0.171,0.171,0.17,0.172,0.182,0.183,0.187,0.186,0.182,0.181,0.189,0.182,0.196,0.192,0.196,0.192,0.193,0.191,0.202,0.194,0.191,0.197
3.0,0.087,0.084,0.086,0.21,0.202,0.189,0.201,0.207,0.202,0.18,0.179,0.185,0.202,0.203,0.203,0.172,0.191,0.174,0.178,0.173,0.178,0.187,0.187,0.188,0.192,0.192,0.182,0.208,0.198,0.212,0.208,0.211,0.209,0.211,0.207,0.218,0.21,0.211,0.223
3.5,0.087,0.084,0.085,0.235,0.225,0.202,0.222,0.23,0.224,0.199,0.196,0.203,0.219,0.219,0.219,0.184,0.204,0.185,0.194,0.185,0.193,0.202,0.202,0.202,0.203,0.204,0.191,0.233,0.22,0.236,0.23,0.233,0.231,0.233,0.226,0.239,0.233,0.232,0.249
4.0,0.087,0.084,0.085,0.26,0.248,0.218,0.246,0.254,0.249,0.223,0.22,0.225,0.237,0.235,0.24,0.201,0.22,0.202,0.211,0.201,0.21,0.22,0.219,0.22,0.219,0.218,0.208,0.257,0.244,0.261,0.254,0.256,0.254,0.255,0.245,0.26,0.256,0.255,0.274
4.5,0.086,0.085,0.085,0.286,0.276,0.24,0.275,0.282,0.276,0.245,0.244,0.249,0.258,0.255,0.26,0.223,0.241,0.222,0.23,0.219,0.231,0.241,0.237,0.239,0.236,0.237,0.226,0.283,0.271,0.282,0.279,0.281,0.274,0.273,0.265,0.277,0.274,0.276,0.291
5.0,0.086,0.083,0.084,0.309,0.303,0.258,0.299,0.306,0.299,0.265,0.266,0.266,0.278,0.272,0.279,0.242,0.259,0.24,0.248,0.236,0.25,0.261,0.255,0.258,0.255,0.256,0.243,0.298,0.293,0.298,0.301,0.302,0.29,0.292,0.284,0.297,0.291,0.295,0.311
5.5,0.086,0.085,0.085,0.333,0.329,0.286,0.328,0.334,0.327,0.292,0.294,0.293,0.306,0.298,0.302,0.266,0.282,0.264,0.269,0.258,0.273,0.285,0.278,0.281,0.279,0.278,0.264,0.313,0.318,0.317,0.329,0.329,0.311,0.317,0.306,0.318,0.314,0.316,0.334
6.0,0.086,0.084,0.085,0.36,0.356,0.321,0.358,0.362,0.356,0.323,0.322,0.322,0.335,0.327,0.325,0.29,0.309,0.293,0.297,0.286,0.3,0.312,0.304,0.305,0.302,0.302,0.287,0.335,0.343,0.342,0.357,0.355,0.335,0.343,0.335,0.344,0.343,0.34,0.364
6.5,0.086,0.084,0.084,0.398,0.387,0.363,0.398,0.401,0.394,0.363,0.36,0.359,0.376,0.362,0.359,0.321,0.337,0.325,0.331,0.319,0.332,0.343,0.334,0.336,0.333,0.331,0.313,0.372,0.381,0.373,0.394,0.392,0.368,0.383,0.372,0.376,0.379,0.374,0.402
