,E7,E8,E11,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0.0,288522.0,290838.0,293694.0,291876.0,284015.0,291433.0,279333.0,293180.0,298114.0,297997.0,293423.0,304245.0,308742.0,298629.0,292427.0,295307.0,233985.0,292476.0,296772.0,294705.0,295072.0,291901.0,295593.0,304150.0,301306.0,304902.0,295581.0,291375.0,287581.0,279952.0,282434.0,290187.0,292780.0,287642.0,290079.0,290028.0,287697.0,289890.0,290085.0
0.5,284860,291737,293724,293146,290339,293617,285698,298025,303095,299924,299748,307166,301398,299190,298257,303326,235684,294668,295536,298998,298551,292794,302555,306512,304794,310285,305231,290977,290048,283480,289500,295507,292357,287121,289205,291127,286383,295863,293855
1.0,284733,284163,292839,306355,290626,298718,290466,299768,305407,304052,305295,312676,319541,309924,299053,304665,241579,300907,301671,301947,300485,301221,306468,316792,308309,314980,307625,304858,297707,296116,294776,301860,300680,294102,292717,298118,296104,298115,298454
1.5,285456.0,287614.0,290709.0,305155.0,297022.0,303128.0,296818.0,307046.0,311595.0,312741.0,312288.0,315711.0,329190.0,311927.0,309807.0,308567.0,246121.0,305302.0,307489.0,307706.0,308946.0,310655.0,313671.0,325226.0,316973.0,324523.0,316464.0,307753.0,302445.0,300371.0,301819.0,308336.0,307601.0,295506.0,297987.0,301063.0,301249.0,304455.0,303388.0
2.0,287153.0,284243.0,294198.0,309649.0,299019.0,303315.0,295993.0,303937.0,309733.0,311940.0,313866.0,318830.0,331477.0,314777.0,308214.0,315758.0,248841.0,311776.0,307747.0,309293.0,310011.0,308553.0,314629.0,325272.0,320097.0,329115.0,318895.0,316627.0,307441.0,306383.0,306035.0,313727.0,310587.0,303599.0,304650.0,304430.0,304040.0,310913.0,307028.0
2.5,285628.0,281855.0,291714.0,313885.0,298271.0,306823.0,299388.0,310136.0,312631.0,312126.0,307921.0,322456.0,332816.0,317830.0,313932.0,318108.0,250849.0,310372.0,310913.0,316059.0,314837.0,314872.0,320446.0,328423.0,322311.0,331559.0,322950.0,314967.0,310294.0,312827.0,310906.0,315588.0,318489.0,307385.0,306630.0,311411.0,308527.0,314749.0,310719.0
3.0,283358.0,284004.0,294205.0,320886.0,298189.0,311669.0,300869.0,313950.0,318260.0,318233.0,320821.0,325667.0,336391.0,322288.0,312697.0,320790.0,259489.0,315447.0,317257.0,315374.0,319249.0,317188.0,323225.0,331937.0,326232.0,334835.0,323165.0,326653.0,314396.0,316521.0,316918.0,323500.0,322229.0,311270.0,311991.0,315584.0,310576.0,315399.0,317274.0
3.5,283545.0,282277.0,291137.0,319131.0,308088.0,309085.0,305143.0,317498.0,320073.0,320463.0,319085.0,327947.0,335361.0,323211.0,315709.0,321288.0,258891.0,319365.0,320540.0,318502.0,318924.0,321003.0,333558.0,335940.0,330356.0,337128.0,325680.0,331977.0,320491.0,328453.0,322378.0,330661.0,327569.0,313303.0,316925.0,319237.0,317171.0,321482.0,322655.0
4.0,284360.0,287981.0,297035.0,328572.0,312978.0,321683.0,315853.0,327455.0,332314.0,332031.0,333932.0,342312.0,346274.0,334996.0,325018.0,336078.0,262123.0,330293.0,330361.0,331068.0,333255.0,332399.0,340471.0,346664.0,340313.0,348514.0,331649.0,344075.0,331103.0,337058.0,335273.0,341330.0,341710.0,328504.0,325065.0,329567.0,328862.0,329073.0,331972.0
4.5,287759.0,291261.0,294936.0,334736.0,315745.0,327204.0,318880.0,327814.0,331031.0,335733.0,335423.0,344534.0,348329.0,337379.0,330433.0,339682.0,271413.0,333100.0,333300.0,334624.0,335772.0,339790.0,343534.0,356441.0,348004.0,357481.0,340626.0,353706.0,335078.0,347441.0,342347.0,353199.0,344515.0,330960.0,327689.0,332419.0,329983.0,337362.0,342627.0
