,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,E1
0.0,318999.0,308744.0,310499.0,305294.0,311509.0,304649.0,321892.0,325723.0,324254.0,322374.0,321223.0,312688.0,333184.0,326613.0,327053.0,327535.0,323594.0,320374.0,333455.0,329434.0,330255.0,334426.0,331046.0,313393.0,334007.0,325954.0,321728.0,321361.0,327857.0,323274.0,317348.0,322062.0,326461.0,320385.0,324004.0,310364.0,295659.0,295917.0
0.5,316379,305587,307275,300270,310558,306736,317139,318279,322175,315703,318987,300677,334269,324462,318765,317898,323199,321338,326543,327989,331900,326338,325961,309934,333804,321451,324331,322855,329245,323028,317152,317907,322065,315418,321568,303415,294078,295251
1.0,320289,304187,303989,302749,308995,297923,320293,325168,323106,320846,320931,306202,334574,322114,317527,316222,320415,318336,327598,328783,333311,326715,330327,309680,334331,322346,323539,321504,324186,325420,314794,318723,322011,319441,319240,306504,293685,291006
1.5,324864.0,304571.0,309059.0,305705.0,315186.0,301744.0,319104.0,324325.0,325223.0,321912.0,321289.0,305751.0,338937.0,330689.0,318765.0,320042.0,321451.0,322262.0,330537.0,327478.0,330542.0,328262.0,333312.0,309494.0,341841.0,324522.0,331869.0,319934.0,329241.0,325456.0,315373.0,316092.0,322139.0,316821.0,318405.0,305489.0,294696.0,293570.0
2.0,324998.0,310140.0,312796.0,310232.0,317346.0,305807.0,326438.0,325223.0,326268.0,323812.0,324097.0,307012.0,340894.0,332765.0,326832.0,320806.0,326349.0,326286.0,331619.0,330768.0,337380.0,333429.0,335222.0,316881.0,344299.0,327964.0,332075.0,328419.0,329386.0,326558.0,320575.0,317257.0,325672.0,325589.0,325145.0,311716.0,292915.0,293084.0
2.5,332345.0,321849.0,318218.0,319282.0,322429.0,315191.0,334468.0,335241.0,334140.0,337939.0,332081.0,318560.0,349778.0,337297.0,331344.0,327981.0,334471.0,333472.0,344717.0,338408.0,347697.0,344521.0,342082.0,315839.0,354734.0,330741.0,341844.0,338058.0,335341.0,336065.0,324166.0,326767.0,334085.0,324143.0,334719.0,312768.0,302969.0,295629.0
3.0,337472.0,320056.0,321717.0,323619.0,327524.0,312427.0,340807.0,343032.0,340736.0,338022.0,339021.0,322698.0,353106.0,345047.0,338738.0,336221.0,340602.0,335676.0,343479.0,346781.0,349612.0,348661.0,352134.0,326985.0,360245.0,343960.0,348822.0,343826.0,345385.0,342281.0,330374.0,333616.0,335085.0,334918.0,336186.0,324420.0,298790.0,296379.0
3.5,343226.0,328008.0,325225.0,323561.0,330604.0,322810.0,342971.0,349398.0,347187.0,345895.0,345698.0,328313.0,356201.0,349250.0,345098.0,342225.0,343996.0,341131.0,349600.0,349238.0,357039.0,357021.0,355675.0,329569.0,368642.0,347659.0,356677.0,344973.0,350904.0,349844.0,334891.0,334173.0,339077.0,333150.0,339312.0,330067.0,304794.0,300599.0
4.0,349444.0,332624.0,330593.0,328317.0,335598.0,323331.0,349903.0,353859.0,353591.0,348288.0,346407.0,337718.0,364011.0,350762.0,349304.0,347497.0,348450.0,343772.0,356092.0,355216.0,359022.0,358624.0,356688.0,339790.0,369693.0,353986.0,360421.0,355471.0,351637.0,351801.0,338883.0,339867.0,342360.0,341544.0,343006.0,335182.0,301695.0,298363.0
4.5,356033.0,336948.0,337973.0,333652.0,343059.0,329687.0,352315.0,358625.0,356816.0,357866.0,356502.0,339599.0,366580.0,361290.0,355441.0,355693.0,355104.0,351419.0,363091.0,366046.0,367693.0,371141.0,368219.0,337036.0,376775.0,359165.0,366329.0,357504.0,359171.0,357926.0,347474.0,340867.0,353622.0,347723.0,346375.0,342653.0,305340.0,299067.0
5.0,355013.0,340793.0,336013.0,338093.0,339769.0,328582.0,361313.0,359955.0,358984.0,360092.0,357956.0,341759.0,368953.0,364423.0,354446.0,351160.0,352137.0,356161.0,367532.0,363344.0,364959.0,370336.0,368729.0,343775.0,380698.0,360952.0,368730.0,359470.0,363614.0,360155.0,344080.0,344543.0,350617.0,347296.0,348045.0,340288.0,301922.0,299223.0
5.5,358914.0,343171.0,343176.0,338546.0,343306.0,333154.0,362080.0,370667.0,362360.0,361254.0,363764.0,349458.0,374320.0,365965.0,355675.0,356803.0,356504.0,353556.0,373255.0,374186.0,370666.0,372714.0,375949.0,339883.0,387556.0,366292.0,372059.0,366939.0,368481.0,361713.0,349509.0,345750.0,355134.0,347658.0,357878.0,343106.0,301458.0,297941.0
6.0,358278.0,347622.0,343960.0,336127.0,343696.0,335475.0,365695.0,369499.0,368492.0,369695.0,368940.0,350810.0,374508.0,371071.0,360452.0,358161.0,357489.0,359046.0,372238.0,374278.0,371615.0,373734.0,370621.0,345880.0,389239.0,369522.0,376614.0,370174.0,366799.0,368939.0,350330.0,350209.0,350931.0,351627.0,352299.0,347946.0,295174.0,295544.0
6.5,365729.0,347108.0,348261.0,342763.0,350497.0,338128.0,373263.0,377311.0,375843.0,374427.0,373798.0,354062.0,385875.0,373821.0,369695.0,363032.0,366465.0,366426.0,382679.0,381726.0,379020.0,381787.0,382527.0,349236.0,394308.0,382027.0,378247.0,375985.0,376128.0,376957.0,360258.0,361029.0,354956.0,357701.0,360856.0,353004.0,297023.0,296170.0
7.0,370265.0,357216.0,352025.0,349588.0,355234.0,346594.0,374779.0,380698.0,380762.0,378558.0,377371.0,367632.0,385352.0,381559.0,374743.0,374461.0,372930.0,370003.0,387506.0,391095.0,392605.0,387177.0,387822.0,354020.0,403837.0,388863.0,388902.0,380185.0,384536.0,385124.0,366385.0,366366.0,371173.0,363085.0,368727.0,360479.0,294608.0,293588.0
7.5,381281.0,364575.0,360855.0,358807.0,362091.0,356516.0,387159.0,392860.0,390863.0,392875.0,388296.0,372831.0,400691.0,397492.0,385422.0,381503.0,384302.0,380392.0,406149.0,400751.0,405997.0,408113.0,400981.0,367552.0,415749.0,407034.0,405078.0,393543.0,398070.0,397659.0,376040.0,381226.0,381020.0,370917.0,374757.0,363538.0,299760.0,299503.0
8.0,383942.0,371171.0,369359.0,368331.0,374209.0,362790.0,395552.0,400410.0,399674.0,400227.0,394282.0,381316.0,408884.0,399439.0,396919.0,394315.0,390882.0,393238.0,415254.0,409250.0,414923.0,415811.0,409525.0,382176.0,416695.0,416435.0,412661.0,404852.0,408913.0,403333.0,384316.0,385648.0,386908.0,381923.0,391154.0,373207.0,295086.0,297189.0
8.5,398969.0,381545.0,375815.0,376085.0,380755.0,371305.0,413100.0,415894.0,418855.0,413372.0,412387.0,399393.0,427609.0,412511.0,413738.0,405957.0,415112.0,409716.0,432924.0,422787.0,427542.0,434563.0,428968.0,394959.0,435530.0,432678.0,427788.0,423768.0,424393.0,421821.0,401328.0,407486.0,403866.0,396832.0,404744.0,379372.0,303840.0,300453.0
9.0,407789.0,386896.0,388131.0,386206.0,398083.0,385768.0,425074.0,425282.0,427675.0,424581.0,422986.0,408493.0,435774.0,431980.0,420293.0,415281.0,419387.0,419074.0,440830.0,437670.0,440732.0,443625.0,439188.0,409165.0,446022.0,447435.0,433644.0,435184.0,437114.0,439426.0,408281.0,408883.0,412737.0,407352.0,411192.0,394192.0,300641.0,296419.0
9.5,425803.0,403418.0,406724.0,405482.0,414985.0,409991.0,442191.0,448033.0,441939.0,442876.0,443363.0,432339.0,456481.0,440973.0,437487.0,425695.0,431429.0,426618.0,455107.0,454482.0,455359.0,449954.0,458187.0,423764.0,472512.0,459629.0,458129.0,455510.0,453747.0,459653.0,422174.0,426852.0,428730.0,414439.0,423562.0,410542.0,299651.0,300451.0
10.0,437381.0,421930.0,419505.0,416286.0,430365.0,422966.0,465719.0,475580.0,468363.0,465938.0,464765.0,460381.0,478673.0,455222.0,457155.0,451625.0,451668.0,443147.0,481639.0,476564.0,484162.0,478610.0,485925.0,462582.0,503900.0,477794.0,475130.0,474766.0,476585.0,477784.0,443970.0,446111.0,443488.0,432578.0,435088.0,428141.0,298284.0,295737.0
10.5,461349.0,437786.0,437754.0,440458.0,455687.0,442293.0,493035.0,498423.0,491249.0,486471.0,489126.0,480207.0,494617.0,483182.0,480901.0,475675.0,472985.0,472887.0,505240.0,506752.0,509244.0,515005.0,514232.0,477364.0,522170.0,514302.0,507777.0,494180.0,499853.0,497168.0,468998.0,471610.0,466983.0,460407.0,465643.0,445829.0,302534.0,298478.0
11.0,483101.0,456301.0,450233.0,449841.0,459937.0,448525.0,514541.0,515669.0,515202.0,510987.0,507216.0,497800.0,517783.0,510792.0,502858.0,491157.0,489986.0,490598.0,533751.0,529942.0,531213.0,525197.0,543662.0,491590.0,547702.0,522291.0,526827.0,521173.0,520465.0,525393.0,486663.0,496018.0,487018.0,478396.0,487153.0,476344.0,297570.0,291469.0
11.5,515887.0,474035.0,463152.0,465552.0,476806.0,455410.0,546974.0,552604.0,551031.0,532736.0,532183.0,535568.0,557467.0,536270.0,528908.0,520461.0,514690.0,516043.0,557935.0,560887.0,553985.0,552775.0,573712.0,511022.0,588523.0,554286.0,553476.0,551123.0,544779.0,540183.0,505870.0,505911.0,509869.0,496795.0,510832.0,492209.0,298839.0,293925.0
12.0,545870.0,487106.0,481611.0,478536.0,494897.0,474351.0,582618.0,577595.0,581254.0,557306.0,553049.0,579691.0,591434.0,569094.0,543722.0,539679.0,534045.0,535645.0,585083.0,578767.0,580577.0,575504.0,583253.0,530277.0,632026.0,576651.0,570551.0,574085.0,570475.0,560237.0,520692.0,534395.0,525868.0,513361.0,536458.0,515320.0,293215.0,291258.0
12.5,585808.0,508240.0,511402.0,508869.0,529935.0,505400.0,634827.0,630541.0,628790.0,598628.0,597534.0,634275.0,646904.0,596944.0,583295.0,568177.0,567378.0,563434.0,603161.0,609962.0,614357.0,599109.0,613792.0,571303.0,691348.0,612071.0,605198.0,596165.0,597855.0,589622.0,547170.0,557009.0,548213.0,539366.0,564011.0,544256.0,297428.0,299446.0
13.0,618347.0,530301.0,525836.0,535311.0,550482.0,517846.0,674627.0,668288.0,673443.0,626512.0,636078.0,688029.0,694125.0,616870.0,600121.0,592366.0,589757.0,597116.0,638871.0,640444.0,635660.0,616834.0,636081.0,604542.0,744185.0,633901.0,627309.0,619388.0,608256.0,612595.0,570709.0,577492.0,560334.0,554295.0,584663.0,577769.0,298548.0,291961.0
13.5,659342.0,565997.0,552794.0,566198.0,585095.0,551726.0,731696.0,733905.0,725733.0,679581.0,689017.0,760141.0,759123.0,651196.0,632153.0,626008.0,621836.0,624357.0,661806.0,673701.0,661632.0,648269.0,668179.0,660186.0,810989.0,671400.0,659196.0,646471.0,643710.0,639320.0,596481.0,600341.0,593599.0,586356.0,613932.0,619912.0,302542.0,296688.0
14.0,689030.0,593819.0,580923.0,595219.0,614355.0,586601.0,788283.0,775613.0,770665.0,727470.0,736807.0,828063.0,802918.0,667138.0,659860.0,646827.0,649050.0,644632.0,680153.0,694667.0,682801.0,672982.0,692924.0,716450.0,862617.0,691137.0,686414.0,672138.0,664532.0,658480.0,606404.0,616318.0,610319.0,606774.0,621712.0,656974.0,304151.0,302169.0
14.5,717827.0,623595.0,609835.0,622385.0,650160.0,623140.0,844956.0,832947.0,827796.0,774913.0,796440.0,890151.0,869424.0,699849.0,676938.0,675111.0,676253.0,672677.0,705140.0,715462.0,708000.0,698154.0,721897.0,785306.0,924801.0,712289.0,711284.0,701549.0,692908.0,690620.0,637328.0,638042.0,632394.0,624306.0,644213.0,693927.0,302591.0,303967.0
15.0,726212.0,639068.0,643579.0,648137.0,668587.0,642080.0,884385.0,872610.0,864237.0,820804.0,847581.0,951370.0,915195.0,714574.0,702258.0,693574.0,698614.0,691281.0,708894.0,730302.0,724979.0,702494.0,745087.0,831640.0,966198.0,719124.0,734084.0,718777.0,707336.0,712886.0,657791.0,645910.0,634126.0,634168.0,651891.0,729929.0,300398.0,297767.0
15.5,755441.0,677811.0,665800.0,675309.0,696154.0,683156.0,942135.0,926251.0,914525.0,875852.0,905882.0,1016424.0,963187.0,745665.0,737341.0,725848.0,735892.0,729711.0,740700.0,757319.0,763608.0,736897.0,786451.0,903283.0,1012298.0,756801.0,760107.0,749975.0,741929.0,738402.0,688255.0,667129.0,650150.0,665725.0,681005.0,763669.0,304337.0,304939.0
