,E11,E12,F9,F10,F11,G3,G4,G5,G6,G7,G8
0.0,0.098,0.099,0.243,0.24,0.248,0.241,0.242,0.243,0.244,0.244,0.243
0.5,0.098,0.1,0.235,0.234,0.241,0.237,0.236,0.235,0.239,0.243,0.24
1.0,0.098,0.098,0.23,0.227,0.234,0.233,0.23,0.232,0.234,0.239,0.236
1.5,0.098,0.098,0.225,0.225,0.23,0.23,0.229,0.228,0.232,0.235,0.233
2.0,0.099,0.098,0.227,0.224,0.227,0.231,0.229,0.229,0.233,0.236,0.234
2.5,0.099,0.1,0.228,0.227,0.228,0.234,0.23,0.231,0.234,0.236,0.237
3.0,0.099,0.099,0.234,0.231,0.233,0.239,0.235,0.237,0.238,0.241,0.239
3.5,0.099,0.098,0.24,0.239,0.243,0.248,0.242,0.246,0.244,0.247,0.244
4.0,0.099,0.099,0.247,0.247,0.254,0.259,0.252,0.254,0.252,0.255,0.253
4.5,0.101,0.1,0.255,0.254,0.265,0.27,0.262,0.269,0.262,0.266,0.265
5.0,0.099,0.099,0.266,0.267,0.275,0.284,0.276,0.284,0.273,0.274,0.272
5.5,0.099,0.099,0.28,0.282,0.291,0.3,0.29,0.297,0.283,0.282,0.281
6.0,0.099,0.099,0.294,0.297,0.308,0.313,0.304,0.31,0.295,0.296,0.297
6.5,0.099,0.099,0.304,0.308,0.32,0.321,0.314,0.317,0.313,0.313,0.314
7.0,0.099,0.099,0.317,0.318,0.328,0.336,0.324,0.327,0.324,0.321,0.325
7.5,0.098,0.098,0.328,0.331,0.342,0.345,0.336,0.341,0.335,0.333,0.333
8.0,0.098,0.098,0.339,0.344,0.358,0.36,0.346,0.355,0.346,0.345,0.346
8.5,0.099,0.099,0.354,0.357,0.374,0.373,0.36,0.368,0.361,0.358,0.36
9.0,0.099,0.098,0.366,0.373,0.389,0.386,0.372,0.382,0.375,0.37,0.37
9.5,0.099,0.099,0.38,0.388,0.403,0.399,0.387,0.396,0.391,0.384,0.384
10.0,0.099,0.099,0.394,0.402,0.417,0.411,0.401,0.411,0.406,0.398,0.398
10.5,0.098,0.099,0.409,0.416,0.431,0.422,0.414,0.421,0.42,0.41,0.411
11.0,0.099,0.099,0.424,0.431,0.444,0.434,0.426,0.431,0.433,0.423,0.425
11.5,0.099,0.099,0.437,0.441,0.458,0.444,0.435,0.442,0.442,0.434,0.437
