,E11,E12,F9,F10,F11,G3,G4,G5,G6,G7,G8
0.0,227845.0,238817.0,380889.0,381578.0,389245.0,2382345.0,2329397.0,2437570.0,3316836.0,3285629.0,3362480.0
0.5,232879,245223,386416,386171,397332,2515071,2476107,2566517,3471735,3443885,3517283
1.0,234686,243512,416100,422279,438847,2934875,2870642,2971629,4035301,4013760,4112848
1.5,232220.0,247258.0,426990.0,425080.0,442992.0,3010461.0,2985457.0,3056832.0,4178159.0,4138552.0,4252320.0
2.0,233943.0,247255.0,426308.0,429405.0,437233.0,3017787.0,2967394.0,3068782.0,4175104.0,4101382.0,4207538.0
2.5,234515.0,249111.0,425122.0,428674.0,435606.0,3005467.0,2967023.0,3066180.0,4111028.0,4075900.0,4185545.0
3.0,232036.0,242969.0,425609.0,437432.0,440247.0,2987044.0,2951972.0,3087056.0,4096912.0,4044543.0,4122124.0
3.5,235949.0,244527.0,436026.0,433312.0,450062.0,3040322.0,3028740.0,3100765.0,4117250.0,4073989.0,4137785.0
4.0,232347.0,245477.0,435726.0,436171.0,450349.0,3091547.0,3032741.0,3141169.0,4129988.0,4098758.0,4147198.0
4.5,232133.0,247687.0,442215.0,444191.0,458762.0,3156354.0,3087310.0,3214091.0,4222346.0,4137159.0,4199036.0
5.0,237178.0,247419.0,445032.0,452454.0,468446.0,3230703.0,3176153.0,3306873.0,4291245.0,4190672.0,4256928.0
5.5,238095.0,244386.0,455385.0,464410.0,479879.0,3381888.0,3285774.0,3427011.0,4382858.0,4309494.0,4391543.0
6.0,235703.0,246881.0,469199.0,477335.0,493307.0,3486412.0,3417219.0,3531571.0,4459480.0,4415134.0,4516184.0
6.5,234285.0,245432.0,480683.0,487451.0,504764.0,3517674.0,3486470.0,3521808.0,4649287.0,4577567.0,4657907.0
7.0,233778.0,248569.0,489605.0,493748.0,511434.0,3593366.0,3500118.0,3573112.0,4777302.0,4665064.0,4792635.0
7.5,234097.0,247633.0,495013.0,507826.0,529692.0,3684527.0,3666530.0,3730419.0,4929439.0,4787276.0,4912270.0
8.0,235156.0,244887.0,507543.0,516784.0,538312.0,3785389.0,3696239.0,3841529.0,5037495.0,4960356.0,5095228.0
8.5,235755.0,247321.0,517580.0,528255.0,553758.0,3931436.0,3845902.0,3954580.0,5197408.0,5122926.0,5170882.0
9.0,233693.0,246596.0,535847.0,544910.0,560537.0,4087122.0,3974729.0,4092780.0,5331669.0,5285455.0,5362461.0
