,B8,B9,B10,C2,C3,C4,C5,C6,C7,D2,D3,D4,D5,D6,D7
0.0,528039.0,530587.0,505011.0,688386.0,723863.0,695091.0,6135252.0,6218489.0,6006178.0,3922730.0,3745847.0,4118696.0,203349.0,207044.0,203890.0
0.5,507592,506942,479133,669307,710434,677117,5853507,5893692,5712573,3681984,3528757,3850716,213590,213178,216716
1.0,509328,506810,479918,685709,722502,690443,5769674,5809675,5608945,3627597,3512411,3876431,216979,215214,218412
1.5,504712.0,504067.0,480808.0,702880.0,738389.0,700649.0,5755902.0,5823857.0,5591298.0,3611180.0,3463380.0,3864972.0,215224.0,213049.0,216902.0
2.0,503516.0,502883.0,482058.0,722186.0,745823.0,715302.0,5747131.0,5810817.0,5609161.0,3577016.0,3476774.0,3790308.0,217328.0,215977.0,218232.0
2.5,510068.0,507333.0,482747.0,724935.0,763535.0,730865.0,5771324.0,5879974.0,5641464.0,3561586.0,3459737.0,3819552.0,217323.0,215753.0,218537.0
3.0,516653.0,513994.0,497020.0,734408.0,775370.0,750512.0,5825565.0,5926458.0,5726774.0,3580186.0,3552660.0,3906750.0,218614.0,215095.0,216675.0
3.5,520908.0,524875.0,501278.0,749535.0,788960.0,754454.0,5881812.0,5970314.0,5792744.0,3681271.0,3655031.0,3969391.0,218411.0,217107.0,215063.0
4.0,531455.0,532369.0,508701.0,758651.0,803204.0,777547.0,6001542.0,6112558.0,5862443.0,3723948.0,3736575.0,4086947.0,218514.0,218076.0,220061.0
4.5,542556.0,544815.0,527268.0,784594.0,829590.0,791991.0,6119801.0,6219616.0,5967101.0,3861767.0,3849513.0,4118763.0,217932.0,214405.0,216909.0
5.0,548010.0,557448.0,538302.0,799764.0,845849.0,812731.0,6232800.0,6301592.0,6093991.0,3991081.0,3927566.0,4258635.0,215023.0,216745.0,218457.0
5.5,563508.0,571212.0,550202.0,827510.0,858999.0,824722.0,6355163.0,6447536.0,6222221.0,4060875.0,3975029.0,4362025.0,215891.0,213391.0,216607.0
6.0,569812.0,579950.0,565549.0,851373.0,881598.0,851662.0,6487750.0,6572340.0,6344091.0,4171826.0,4183406.0,4438476.0,219418.0,213359.0,220546.0
6.5,591070.0,598147.0,586292.0,868964.0,903406.0,857910.0,6523751.0,6718547.0,6414920.0,4340478.0,4266719.0,4540401.0,216142.0,214825.0,216176.0
7.0,597205.0,610755.0,599495.0,886187.0,914419.0,869600.0,6728762.0,6902305.0,6586906.0,4465163.0,4406726.0,4710006.0,219726.0,217568.0,218988.0
