,E9,E10,E11,F3,F4,F5,G3,G4,G5,G6,G7,G8,H1
0.0,982977.0,989977.0,977520.0,828607.0,817148.0,816254.0,251573.0,265828.0,250608.0,243043.0,272325.0,247516.0,203076.0
0.5,954969,957053,941426,819924,808788,802692,260591,272613,255241,246477,278729,252716,206346
1.0,990851,1001744,996364,880148,865668,862023,281412,290736,272491,267481,300351,272895,208843
1.5,1029999.0,1037869.0,1022451.0,896418.0,879526.0,875087.0,285604.0,297508.0,274976.0,272534.0,303168.0,275248.0,209226.0
2.0,1055036.0,1070735.0,1055126.0,916315.0,896521.0,894694.0,284882.0,293649.0,276608.0,272836.0,300630.0,273385.0,210845.0
2.5,1091819.0,1087357.0,1085225.0,934375.0,916073.0,903970.0,282112.0,297470.0,278208.0,272584.0,299294.0,274844.0,207540.0
3.0,1108240.0,1112566.0,1104571.0,951437.0,934949.0,921805.0,284988.0,302065.0,277790.0,269553.0,303325.0,273643.0,209066.0
3.5,1127621.0,1124220.0,1120242.0,967101.0,955304.0,950415.0,288327.0,304657.0,277606.0,274254.0,306414.0,276343.0,209845.0
4.0,1158673.0,1154778.0,1149896.0,990653.0,980456.0,977140.0,287106.0,304361.0,283425.0,275188.0,306761.0,280294.0,211248.0
4.5,1177492.0,1181138.0,1162939.0,1000731.0,1004208.0,989304.0,289831.0,307962.0,287613.0,277783.0,307107.0,286104.0,210425.0
5.0,1204723.0,1203915.0,1175259.0,1027485.0,1020908.0,1009609.0,296754.0,310973.0,291816.0,281177.0,313412.0,286766.0,210534.0
5.5,1209742.0,1210370.0,1201290.0,1051664.0,1042027.0,1032050.0,295859.0,317118.0,291368.0,285716.0,313620.0,292338.0,211087.0
6.0,1218969.0,1233401.0,1222169.0,1063919.0,1062134.0,1058861.0,301572.0,318664.0,296685.0,293284.0,318583.0,295596.0,208630.0
6.5,1223364.0,1236203.0,1233801.0,1095156.0,1078299.0,1074151.0,307774.0,326553.0,296541.0,295504.0,326780.0,298024.0,209283.0
7.0,1235375.0,1240443.0,1236879.0,1115274.0,1080181.0,1080394.0,313636.0,326095.0,307177.0,302767.0,329117.0,305323.0,210734.0
7.5,1245792.0,1259151.0,1253317.0,1147538.0,1119939.0,1097851.0,316461.0,336464.0,308955.0,304051.0,330756.0,310824.0,210757.0
8.0,1250981.0,1274148.0,1276849.0,1177527.0,1151326.0,1130087.0,321811.0,336222.0,317498.0,311236.0,338821.0,313553.0,210354.0
8.5,1275094.0,1302789.0,1307024.0,1216719.0,1166906.0,1133535.0,330166.0,352072.0,324058.0,311738.0,348906.0,315700.0,215715.0
