,E6,E7,E8,E9,E10,E11,F3,F4,F5,F9,F10,F11,G3,G4,G5,G6,G7,G8
0.0,169863.0,165697.0,177183.0,982977.0,989977.0,977520.0,828607.0,817148.0,816254.0,171005.0,171892.0,182863.0,251573.0,265828.0,250608.0,243043.0,272325.0,247516.0
0.5,167087,161310,178842,954969,957053,941426,819924,808788,802692,171039,172538,183864,260591,272613,255241,246477,278729,252716
1.0,168322,161759,177799,990851,1001744,996364,880148,865668,862023,174444,175519,188602,281412,290736,272491,267481,300351,272895
1.5,164240.0,159835.0,176672.0,1029999.0,1037869.0,1022451.0,896418.0,879526.0,875087.0,176227.0,177799.0,187288.0,285604.0,297508.0,274976.0,272534.0,303168.0,275248.0
2.0,168097.0,160805.0,174450.0,1055036.0,1070735.0,1055126.0,916315.0,896521.0,894694.0,177137.0,179577.0,188913.0,284882.0,293649.0,276608.0,272836.0,300630.0,273385.0
2.5,165413.0,159702.0,177600.0,1091819.0,1087357.0,1085225.0,934375.0,916073.0,903970.0,172683.0,175148.0,185337.0,282112.0,297470.0,278208.0,272584.0,299294.0,274844.0
3.0,163559.0,158527.0,176830.0,1108240.0,1112566.0,1104571.0,951437.0,934949.0,921805.0,173328.0,175622.0,187712.0,284988.0,302065.0,277790.0,269553.0,303325.0,273643.0
3.5,163444.0,159297.0,174722.0,1127621.0,1124220.0,1120242.0,967101.0,955304.0,950415.0,173140.0,176162.0,187792.0,288327.0,304657.0,277606.0,274254.0,306414.0,276343.0
4.0,161275.0,158472.0,172569.0,1158673.0,1154778.0,1149896.0,990653.0,980456.0,977140.0,172358.0,175257.0,185842.0,287106.0,304361.0,283425.0,275188.0,306761.0,280294.0
4.5,160863.0,158254.0,173291.0,1177492.0,1181138.0,1162939.0,1000731.0,1004208.0,989304.0,173031.0,175627.0,186664.0,289831.0,307962.0,287613.0,277783.0,307107.0,286104.0
5.0,164605.0,158920.0,177105.0,1204723.0,1203915.0,1175259.0,1027485.0,1020908.0,1009609.0,172937.0,175241.0,185988.0,296754.0,310973.0,291816.0,281177.0,313412.0,286766.0
5.5,160903.0,158315.0,176738.0,1209742.0,1210370.0,1201290.0,1051664.0,1042027.0,1032050.0,171468.0,172675.0,184068.0,295859.0,317118.0,291368.0,285716.0,313620.0,292338.0
6.0,165436.0,155458.0,176525.0,1218969.0,1233401.0,1222169.0,1063919.0,1062134.0,1058861.0,171854.0,175816.0,187747.0,301572.0,318664.0,296685.0,293284.0,318583.0,295596.0
6.5,164735.0,154379.0,175514.0,1223364.0,1236203.0,1233801.0,1095156.0,1078299.0,1074151.0,172298.0,174347.0,186843.0,307774.0,326553.0,296541.0,295504.0,326780.0,298024.0
7.0,168572.0,159382.0,175047.0,1235375.0,1240443.0,1236879.0,1115274.0,1080181.0,1080394.0,175479.0,175592.0,186177.0,313636.0,326095.0,307177.0,302767.0,329117.0,305323.0
7.5,168586.0,157551.0,172913.0,1245792.0,1259151.0,1253317.0,1147538.0,1119939.0,1097851.0,172614.0,177260.0,187902.0,316461.0,336464.0,308955.0,304051.0,330756.0,310824.0
8.0,167814.0,157490.0,176110.0,1250981.0,1274148.0,1276849.0,1177527.0,1151326.0,1130087.0,174720.0,177833.0,185696.0,321811.0,336222.0,317498.0,311236.0,338821.0,313553.0
8.5,167908.0,159515.0,176409.0,1275094.0,1302789.0,1307024.0,1216719.0,1166906.0,1133535.0,174154.0,180507.0,186262.0,330166.0,352072.0,324058.0,311738.0,348906.0,315700.0
9.0,166413.0,155589.0,175862.0,1307341.0,1319746.0,1332756.0,1252478.0,1192832.0,1163465.0,177330.0,178590.0,186871.0,338682.0,357445.0,326843.0,317642.0,354501.0,325904.0
9.5,167626.0,155598.0,175490.0,1308315.0,1330162.0,1365380.0,1290470.0,1228678.0,1182767.0,176610.0,178782.0,189654.0,344254.0,361343.0,335800.0,326885.0,357548.0,329141.0
10.0,170069.0,159220.0,178327.0,1319813.0,1364976.0,1400064.0,1330111.0,1251987.0,1203421.0,174705.0,179651.0,188766.0,349226.0,367985.0,339930.0,326949.0,364391.0,338532.0
10.5,167520.0,154205.0,177814.0,1341331.0,1384061.0,1430379.0,1347368.0,1282544.0,1219043.0,176056.0,179194.0,188697.0,356196.0,375081.0,344136.0,332265.0,366303.0,339805.0
11.0,171032.0,156867.0,175375.0,1356807.0,1408714.0,1465951.0,1374163.0,1307818.0,1242397.0,179126.0,179597.0,192454.0,359035.0,383628.0,351942.0,344045.0,372642.0,343929.0
11.5,167381.0,156388.0,176224.0,1385234.0,1434570.0,1495890.0,1403058.0,1331891.0,1269134.0,179690.0,179048.0,188903.0,370866.0,391330.0,361540.0,348767.0,382603.0,353158.0
12.0,172532.0,157499.0,176587.0,1409516.0,1480424.0,1536970.0,1426062.0,1361282.0,1289194.0,178165.0,180844.0,193517.0,375100.0,397528.0,363123.0,354383.0,385970.0,360666.0
12.5,173278.0,158778.0,177848.0,1441930.0,1505295.0,1574255.0,1458200.0,1388345.0,1326571.0,181507.0,181968.0,194353.0,377738.0,407572.0,374573.0,360075.0,396200.0,361932.0
13.0,172345.0,158990.0,178242.0,1464030.0,1544658.0,1598792.0,1486561.0,1407780.0,1360020.0,179685.0,179697.0,194905.0,388735.0,412936.0,378350.0,366123.0,400022.0,372706.0
13.5,171424.0,156090.0,180379.0,1493531.0,1579826.0,1635340.0,1508651.0,1436626.0,1389749.0,180275.0,183993.0,197422.0,397210.0,422667.0,388482.0,377550.0,410498.0,379182.0
14.0,173129.0,159073.0,178654.0,1531108.0,1616481.0,1670211.0,1524032.0,1470059.0,1406132.0,182372.0,184038.0,198310.0,408528.0,429079.0,392121.0,384929.0,417456.0,388750.0
14.5,172679.0,157075.0,179896.0,1574499.0,1654375.0,1705001.0,1564417.0,1500753.0,1441169.0,184024.0,186036.0,195957.0,410378.0,435763.0,403469.0,388806.0,424766.0,390527.0
15.0,169158.0,157013.0,178144.0,1597086.0,1670368.0,1733841.0,1601944.0,1522197.0,1475541.0,183040.0,186583.0,197699.0,417857.0,442847.0,410303.0,396759.0,431579.0,398773.0
15.5,175633.0,157445.0,179270.0,1637551.0,1720534.0,1764626.0,1630031.0,1555119.0,1506175.0,182218.0,186806.0,198198.0,431066.0,452724.0,416826.0,402441.0,441184.0,404063.0
16.0,173837.0,159993.0,182417.0,1653416.0,1750564.0,1809971.0,1666681.0,1590202.0,1527907.0,186493.0,188862.0,199414.0,436961.0,457608.0,423349.0,414268.0,446269.0,413440.0
16.5,174095.0,158515.0,179969.0,1697915.0,1777368.0,1832747.0,1711870.0,1613367.0,1559567.0,189782.0,190913.0,202921.0,450100.0,467445.0,429668.0,416986.0,450852.0,419698.0
17.0,176851.0,157942.0,181970.0,1710410.0,1811994.0,1879086.0,1765382.0,1648278.0,1581383.0,185864.0,188802.0,203621.0,455437.0,475919.0,433066.0,424345.0,458634.0,429551.0
17.5,177468.0,161196.0,179144.0,1744285.0,1836811.0,1918982.0,1797968.0,1686126.0,1625355.0,185566.0,190358.0,203613.0,465386.0,484660.0,446224.0,436732.0,471834.0,433492.0
18.0,176348.0,160494.0,183130.0,1788547.0,1875900.0,1963520.0,1845398.0,1727551.0,1647182.0,190387.0,193710.0,205154.0,474124.0,494823.0,452952.0,443765.0,474942.0,443920.0
18.5,172658.0,159517.0,182201.0,1804211.0,1913541.0,2009050.0,1885020.0,1759223.0,1673862.0,191609.0,192562.0,209025.0,483841.0,504286.0,456631.0,453538.0,485480.0,453986.0
19.0,174908.0,158874.0,183721.0,1845003.0,1952666.0,2045169.0,1921107.0,1792038.0,1708551.0,190143.0,189829.0,212620.0,496392.0,516040.0,468884.0,459368.0,491330.0,460199.0
