,B8,B9,B10,C8,C9,C10,D8,D9,D10,F9
0.0,0.237,0.238,0.25,0.24,0.252,0.246,0.241,0.242,0.239,0.098
0.5,0.232,0.234,0.238,0.234,0.249,0.243,0.234,0.238,0.236,0.1
1.0,0.228,0.228,0.231,0.227,0.235,0.237,0.227,0.232,0.232,0.098
1.5,0.225,0.227,0.234,0.226,0.232,0.236,0.227,0.23,0.225,0.098
2.0,0.229,0.228,0.238,0.231,0.237,0.24,0.229,0.232,0.233,0.1
2.5,0.23,0.232,0.24,0.233,0.249,0.239,0.231,0.232,0.232,0.098
3.0,0.236,0.24,0.245,0.238,0.243,0.243,0.238,0.237,0.237,0.099
3.5,0.245,0.249,0.252,0.246,0.264,0.249,0.247,0.246,0.243,0.099
4.0,0.254,0.257,0.26,0.253,0.261,0.256,0.253,0.254,0.251,0.1
4.5,0.265,0.269,0.273,0.262,0.272,0.265,0.262,0.263,0.263,0.099
5.0,0.278,0.284,0.286,0.275,0.282,0.272,0.275,0.274,0.276,0.1
5.5,0.292,0.295,0.303,0.286,0.294,0.282,0.286,0.289,0.291,0.1
6.0,0.303,0.307,0.312,0.296,0.312,0.297,0.293,0.295,0.301,0.099
6.5,0.313,0.319,0.325,0.301,0.323,0.31,0.305,0.308,0.311,0.098
7.0,0.322,0.331,0.339,0.31,0.322,0.318,0.312,0.313,0.322,0.098
7.5,0.333,0.344,0.349,0.321,0.342,0.328,0.325,0.322,0.334,0.099
8.0,0.347,0.356,0.36,0.333,0.343,0.339,0.336,0.335,0.341,0.098
8.5,0.358,0.372,0.372,0.348,0.355,0.353,0.349,0.347,0.359,0.098
9.0,0.367,0.382,0.384,0.358,0.368,0.367,0.357,0.355,0.368,0.098
9.5,0.379,0.394,0.396,0.37,0.379,0.379,0.368,0.366,0.382,0.098
10.0,0.391,0.406,0.407,0.38,0.391,0.393,0.38,0.374,0.398,0.1
10.5,0.4,0.413,0.418,0.389,0.399,0.404,0.389,0.385,0.406,0.099
11.0,0.409,0.423,0.428,0.399,0.41,0.411,0.401,0.393,0.416,0.099
11.5,0.417,0.431,0.439,0.409,0.42,0.422,0.412,0.404,0.426,0.098
12.0,0.426,0.439,0.449,0.42,0.433,0.431,0.422,0.416,0.436,0.098
12.5,0.436,0.448,0.46,0.432,0.447,0.44,0.434,0.426,0.445,0.099
13.0,0.445,0.457,0.471,0.443,0.46,0.45,0.445,0.441,0.456,0.101
13.5,0.454,0.465,0.482,0.452,0.469,0.459,0.457,0.451,0.464,0.099
14.0,0.463,0.476,0.493,0.464,0.478,0.47,0.468,0.461,0.475,0.099
14.5,0.473,0.486,0.504,0.474,0.487,0.481,0.479,0.473,0.484,0.099
15.0,0.483,0.496,0.517,0.486,0.499,0.492,0.485,0.482,0.497,0.1
15.5,0.492,0.507,0.528,0.499,0.509,0.502,0.5,0.492,0.508,0.099
16.0,0.505,0.517,0.54,0.509,0.519,0.512,0.512,0.502,0.518,0.098
16.5,0.513,0.527,0.552,0.519,0.53,0.523,0.521,0.511,0.53,0.098
17.0,0.523,0.538,0.564,0.53,0.54,0.535,0.528,0.521,0.54,0.098
17.5,0.535,0.55,0.578,0.542,0.551,0.547,0.538,0.53,0.554,0.099
18.0,0.545,0.562,0.591,0.552,0.561,0.557,0.546,0.54,0.564,0.099
18.5,0.554,0.572,0.604,0.563,0.572,0.569,0.557,0.549,0.577,0.098
19.0,0.567,0.583,0.616,0.575,0.58,0.58,0.566,0.56,0.589,0.099
19.5,0.578,0.597,0.63,0.586,0.593,0.593,0.576,0.569,0.603,0.099
20.0,0.588,0.607,0.643,0.598,0.6,0.603,0.585,0.576,0.615,0.099
20.5,0.599,0.62,0.658,0.609,0.613,0.616,0.594,0.588,0.627,0.099
21.0,0.61,0.633,0.671,0.619,0.624,0.627,0.604,0.597,0.64,0.099
21.5,0.621,0.642,0.684,0.628,0.632,0.638,0.612,0.603,0.652,0.098
22.0,0.631,0.654,0.694,0.639,0.647,0.65,0.623,0.612,0.663,0.098
22.5,0.642,0.667,0.707,0.648,0.655,0.663,0.63,0.623,0.676,0.098
23.0,0.653,0.676,0.718,0.657,0.661,0.674,0.637,0.63,0.686,0.098
23.5,0.663,0.688,0.731,0.666,0.677,0.686,0.647,0.64,0.699,0.099
24.0,0.674,0.701,0.742,0.678,0.682,0.697,0.659,0.649,0.709,0.098
24.5,0.683,0.712,0.756,0.685,0.689,0.707,0.665,0.656,0.719,0.099
25.0,0.696,0.724,0.758,0.692,0.7,0.718,0.673,0.665,0.728,0.099
25.5,0.709,0.736,0.759,0.702,0.705,0.729,0.684,0.673,0.74,0.099
26.0,0.715,0.746,0.76,0.711,0.714,0.739,0.691,0.679,0.753,0.099
26.5,0.727,0.759,0.76,0.718,0.726,0.747,0.698,0.689,0.758,0.098
27.0,0.74,0.759,0.766,0.727,0.736,0.749,0.708,0.695,0.758,0.1
27.5,0.74,0.756,0.801,0.734,0.742,0.749,0.714,0.702,0.758,0.099
28.0,0.737,0.758,0.808,0.737,0.75,0.752,0.722,0.711,0.757,0.099
28.5,0.739,0.759,0.805,0.738,0.75,0.75,0.728,0.716,0.763,0.099
29.0,0.738,0.762,0.801,0.739,0.753,0.754,0.737,0.724,0.769,0.1
29.5,0.741,0.774,0.797,0.738,0.753,0.769,0.744,0.733,0.798,0.1
30.0,0.744,0.804,0.792,0.74,0.753,0.788,0.747,0.737,0.799,0.1
30.5,0.772,0.803,0.79,0.741,0.754,0.786,0.745,0.736,0.793,0.099
