,B8,B9,B10,C8,C9,C10,D8,D9,D10,F9
0.0,264350.0,267256.0,262704.0,265072.0,265119.0,260989.0,182226.0,191053.0,186324.0,221116.0
0.5,275269,276686,276155,275426,272759,274489,192446,197551,192994,237723
1.0,291464,293554,293008,290245,291823,294889,195548,201919,199597,239953
1.5,290789.0,297889.0,295871.0,294938.0,297784.0,299420.0,199129.0,201517.0,200938.0,239877.0
2.0,294974.0,299747.0,298825.0,296610.0,299355.0,295324.0,193744.0,198639.0,200495.0,239534.0
2.5,297436.0,302498.0,301331.0,294915.0,299354.0,290417.0,196393.0,203339.0,202142.0,242519.0
3.0,297656.0,305776.0,302307.0,294364.0,300419.0,294817.0,197533.0,200278.0,196947.0,239239.0
3.5,302812.0,309196.0,304820.0,298160.0,306756.0,297298.0,197242.0,201731.0,200047.0,239750.0
4.0,306740.0,308378.0,309784.0,297359.0,301345.0,295869.0,196061.0,200019.0,199284.0,240815.0
4.5,308046.0,313082.0,313310.0,303380.0,309468.0,296749.0,195410.0,201276.0,198779.0,243106.0
5.0,314100.0,316323.0,310293.0,312241.0,312285.0,302550.0,193664.0,199691.0,200650.0,242487.0
5.5,316346.0,318674.0,319426.0,311057.0,317235.0,306859.0,196590.0,197720.0,197056.0,243106.0
6.0,322395.0,324306.0,323416.0,312546.0,318074.0,309141.0,195167.0,204116.0,196764.0,239809.0
6.5,321196.0,323294.0,327316.0,316197.0,320500.0,313999.0,195792.0,200847.0,198151.0,239978.0
7.0,322939.0,328391.0,330463.0,320302.0,327248.0,317902.0,197102.0,201434.0,199432.0,241809.0
7.5,325860.0,329306.0,334393.0,323299.0,327202.0,322960.0,195029.0,198236.0,198843.0,244513.0
8.0,326627.0,333415.0,341153.0,331687.0,333392.0,324308.0,193777.0,201966.0,195840.0,244418.0
8.5,332698.0,340247.0,343167.0,333028.0,335421.0,333488.0,193215.0,202556.0,197485.0,242099.0
9.0,340033.0,341547.0,347117.0,335675.0,337070.0,337013.0,196629.0,201703.0,199099.0,242873.0
9.5,344467.0,348006.0,352965.0,340363.0,340660.0,343456.0,196414.0,199133.0,201513.0,242382.0
10.0,344284.0,350898.0,358867.0,345290.0,344381.0,344716.0,196856.0,201110.0,197956.0,241602.0
10.5,350654.0,351999.0,362825.0,345296.0,353404.0,349520.0,196068.0,200365.0,200144.0,241230.0
11.0,358074.0,360964.0,363942.0,351272.0,353061.0,351706.0,196314.0,202693.0,199675.0,241562.0
11.5,361845.0,365833.0,377074.0,355595.0,359297.0,360108.0,197508.0,203628.0,201283.0,241114.0
12.0,364090.0,371218.0,380420.0,357707.0,363139.0,362422.0,198269.0,201173.0,202588.0,242135.0
12.5,368521.0,375682.0,382738.0,366191.0,371453.0,370294.0,198335.0,200262.0,201904.0,240841.0
13.0,376590.0,379303.0,389624.0,369187.0,369559.0,373498.0,199296.0,203447.0,204644.0,240377.0
13.5,379699.0,381609.0,396711.0,374454.0,373156.0,377789.0,197385.0,205622.0,201705.0,242952.0
14.0,383532.0,387951.0,400626.0,379003.0,384399.0,386846.0,200037.0,205600.0,206330.0,240283.0
14.5,387229.0,397758.0,409486.0,381184.0,386240.0,394056.0,197458.0,205893.0,207117.0,241515.0
15.0,393398.0,402764.0,413770.0,388707.0,391459.0,392758.0,200690.0,206352.0,206977.0,241105.0
15.5,402438.0,409583.0,422043.0,390512.0,398575.0,397340.0,200773.0,205406.0,207569.0,239944.0
16.0,408701.0,415512.0,430195.0,396266.0,396823.0,403787.0,204462.0,204726.0,206640.0,241283.0
16.5,413911.0,419910.0,437718.0,400319.0,409761.0,412327.0,204216.0,207182.0,211149.0,243437.0
17.0,418917.0,426681.0,443787.0,403453.0,413214.0,418493.0,205109.0,207272.0,212974.0,239286.0
17.5,428000.0,432675.0,449579.0,410744.0,418723.0,422237.0,206069.0,209597.0,212980.0,243637.0
18.0,431342.0,435957.0,457740.0,412612.0,422693.0,426967.0,205951.0,212064.0,214022.0,240067.0
18.5,441667.0,448709.0,465007.0,420039.0,428643.0,437600.0,207297.0,208530.0,215632.0,243470.0
19.0,446721.0,452290.0,479232.0,423254.0,431480.0,446641.0,205836.0,213042.0,214852.0,242533.0
19.5,453608.0,458033.0,487081.0,427899.0,438075.0,448003.0,206798.0,212242.0,216424.0,241969.0
20.0,460581.0,460770.0,494797.0,434674.0,441812.0,453395.0,209943.0,209726.0,217423.0,240104.0
20.5,465175.0,469678.0,504596.0,441284.0,451022.0,465210.0,206571.0,215141.0,216657.0,243317.0
21.0,470731.0,481651.0,520976.0,448903.0,456070.0,471379.0,210630.0,215323.0,222611.0,237815.0
21.5,479972.0,494223.0,526155.0,452760.0,458246.0,480075.0,210748.0,216415.0,223406.0,239102.0
22.0,483887.0,498945.0,538756.0,455493.0,466768.0,487986.0,212367.0,216019.0,225222.0,239811.0
22.5,495736.0,503007.0,546030.0,467924.0,478692.0,495191.0,212378.0,218188.0,228983.0,239140.0
23.0,501099.0,512175.0,555723.0,469974.0,479012.0,498306.0,214478.0,219291.0,229012.0,242873.0
23.5,511234.0,526092.0,569104.0,474761.0,484923.0,515031.0,216159.0,222217.0,232003.0,237330.0
24.0,517248.0,530088.0,584711.0,479565.0,489167.0,520714.0,216495.0,222534.0,230760.0,239697.0
24.5,525667.0,541002.0,594040.0,483761.0,495385.0,528540.0,217422.0,221489.0,237430.0,240023.0
25.0,534360.0,549637.0,616658.0,493328.0,503791.0,535646.0,218000.0,227150.0,237174.0,237735.0
25.5,537795.0,558839.0,638340.0,498966.0,512668.0,550878.0,218417.0,226191.0,242112.0,242007.0
26.0,547774.0,567382.0,663231.0,501186.0,517908.0,558881.0,219538.0,228327.0,243471.0,241871.0
26.5,558203.0,589292.0,676959.0,518015.0,522343.0,568569.0,220193.0,227420.0,245392.0,237070.0
27.0,572487.0,602940.0,693218.0,520831.0,533194.0,593321.0,220794.0,229259.0,252132.0,238312.0
27.5,595761.0,631535.0,722502.0,529372.0,537257.0,614409.0,224946.0,231546.0,256172.0,243507.0
28.0,611529.0,642139.0,763309.0,539305.0,546665.0,629015.0,225047.0,231513.0,255869.0,240819.0
28.5,636995.0,661186.0,833149.0,558212.0,561234.0,644566.0,229499.0,232727.0,264135.0,240420.0
29.0,650558.0,684383.0,906122.0,562930.0,578020.0,655373.0,230574.0,239136.0,262794.0,241023.0
29.5,661117.0,697927.0,957211.0,572755.0,593952.0,675406.0,230593.0,235400.0,270532.0,238846.0
30.0,672094.0,721185.0,969921.0,590231.0,600244.0,699353.0,231569.0,237711.0,281114.0,241321.0
30.5,689850.0,772788.0,988004.0,598203.0,615364.0,750765.0,234722.0,243488.0,289939.0,238854.0
31.0,726189.0,850022.0,1010651.0,607650.0,628698.0,810527.0,238741.0,243356.0,300312.0,238706.0
31.5,788745.0,911226.0,1014143.0,623960.0,638960.0,864298.0,241425.0,250263.0,313698.0,237268.0
32.0,856876.0,942631.0,1014504.0,629701.0,650336.0,889654.0,244495.0,251389.0,322789.0,242040.0
32.5,905741.0,974725.0,1030535.0,642028.0,660522.0,909044.0,247100.0,251663.0,328683.0,239898.0
