,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E11,E12
0.0,0.212,0.208,0.206,0.208,0.215,0.21,0.209,0.208,0.206,0.209,0.21,0.221,0.084,0.085
0.5,0.207,0.206,0.205,0.205,0.212,0.204,0.207,0.205,0.205,0.207,0.205,0.225,0.083,0.084
1.0,0.216,0.204,0.205,0.209,0.215,0.204,0.202,0.203,0.202,0.228,0.203,0.221,0.084,0.084
1.5,0.206,0.206,0.205,0.209,0.217,0.205,0.201,0.202,0.2,0.227,0.201,0.22,0.083,0.084
2.0,0.207,0.207,0.207,0.212,0.218,0.205,0.203,0.206,0.203,0.231,0.204,0.227,0.084,0.085
2.5,0.21,0.212,0.211,0.217,0.225,0.21,0.205,0.208,0.206,0.228,0.205,0.229,0.084,0.084
3.0,0.214,0.216,0.215,0.221,0.231,0.212,0.208,0.212,0.207,0.233,0.207,0.235,0.083,0.084
3.5,0.227,0.222,0.216,0.226,0.24,0.214,0.212,0.216,0.211,0.244,0.211,0.24,0.084,0.084
4.0,0.224,0.226,0.22,0.234,0.245,0.218,0.218,0.221,0.217,0.246,0.215,0.248,0.084,0.085
4.5,0.237,0.236,0.225,0.238,0.254,0.219,0.227,0.227,0.222,0.253,0.22,0.253,0.084,0.085
5.0,0.237,0.239,0.23,0.247,0.265,0.226,0.237,0.236,0.23,0.269,0.23,0.263,0.084,0.084
5.5,0.254,0.252,0.238,0.257,0.273,0.233,0.248,0.246,0.24,0.278,0.24,0.269,0.084,0.083
6.0,0.261,0.263,0.246,0.267,0.283,0.245,0.261,0.26,0.252,0.289,0.257,0.282,0.084,0.085
6.5,0.265,0.273,0.256,0.278,0.295,0.259,0.279,0.278,0.269,0.309,0.273,0.298,0.084,0.084
7.0,0.275,0.282,0.264,0.288,0.305,0.275,0.292,0.294,0.283,0.331,0.294,0.318,0.084,0.085
7.5,0.291,0.298,0.28,0.302,0.322,0.294,0.312,0.314,0.303,0.343,0.315,0.342,0.084,0.084
8.0,0.309,0.314,0.293,0.318,0.338,0.314,0.329,0.326,0.312,0.366,0.327,0.356,0.083,0.085
8.5,0.327,0.334,0.307,0.33,0.349,0.329,0.345,0.337,0.32,0.367,0.338,0.37,0.083,0.086
9.0,0.343,0.346,0.322,0.346,0.363,0.345,0.361,0.348,0.332,0.358,0.351,0.385,0.084,0.084
9.5,0.358,0.36,0.335,0.361,0.376,0.359,0.375,0.362,0.346,0.357,0.362,0.391,0.083,0.085
10.0,0.371,0.374,0.347,0.374,0.391,0.375,0.391,0.374,0.356,0.362,0.373,0.398,0.083,0.084
10.5,0.386,0.388,0.36,0.386,0.402,0.39,0.406,0.387,0.368,0.403,0.384,0.408,0.084,0.084
11.0,0.401,0.4,0.372,0.398,0.417,0.406,0.42,0.403,0.38,0.435,0.398,0.42,0.084,0.085
11.5,0.416,0.415,0.384,0.411,0.429,0.42,0.434,0.421,0.393,0.452,0.41,0.436,0.083,0.085
12.0,0.43,0.428,0.397,0.421,0.445,0.435,0.447,0.438,0.409,0.447,0.426,0.457,0.084,0.084
12.5,0.444,0.442,0.413,0.435,0.458,0.449,0.462,0.454,0.422,0.458,0.442,0.459,0.083,0.086
13.0,0.461,0.455,0.43,0.449,0.473,0.464,0.477,0.473,0.437,0.474,0.457,0.47,0.084,0.086
13.5,0.476,0.468,0.445,0.465,0.488,0.48,0.492,0.491,0.453,0.494,0.473,0.493,0.084,0.085
14.0,0.492,0.482,0.458,0.482,0.5,0.493,0.504,0.504,0.466,0.497,0.487,0.506,0.083,0.084
14.5,0.508,0.495,0.472,0.494,0.517,0.508,0.518,0.519,0.482,0.497,0.503,0.517,0.083,0.085
15.0,0.523,0.508,0.486,0.509,0.53,0.525,0.532,0.536,0.496,0.506,0.519,0.531,0.084,0.084
