,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E11,E12
0.0,399154.0,401952.0,405625.0,404805.0,399996.0,404704.0,287077.0,277572.0,282139.0,277512.0,281373.0,274923.0,271687.0,268944.0,280553.0,273954.0,276920.0,272994.0,287701.0,286011.0
0.5,416355,414443,422008,420229,412877,423076,274554,279154,279033,279256,278519,274931,274285,272641,279536,269436,272723,271873,292293,292565
1.0,441962,437286,446899,445159,440630,452435,277064,278038,282541,279196,277721,276679,272589,271715,277465,272647,269590,271805,294890,288952
1.5,454868.0,452244.0,454482.0,460155.0,454897.0,467937.0,281050.0,281311.0,279054.0,277801.0,280625.0,274898.0,277630.0,273073.0,278203.0,272171.0,274024.0,269755.0,291700.0,286235.0
2.0,459024.0,458511.0,463709.0,462168.0,465012.0,480791.0,274815.0,277318.0,281223.0,272811.0,283022.0,275965.0,279512.0,271356.0,276237.0,270224.0,270829.0,266292.0,284827.0,291387.0
2.5,454638.0,457793.0,462468.0,465641.0,473591.0,497418.0,271555.0,277158.0,279721.0,277635.0,277604.0,272024.0,276624.0,275212.0,275166.0,269585.0,269264.0,273209.0,288447.0,287089.0
3.0,457611.0,463382.0,474149.0,469346.0,480627.0,514210.0,279457.0,278806.0,275052.0,276579.0,282710.0,278401.0,274566.0,269512.0,277335.0,267716.0,269328.0,271129.0,287806.0,288492.0
3.5,461130.0,463833.0,477163.0,474049.0,498846.0,530174.0,279827.0,278267.0,278367.0,275987.0,279303.0,273082.0,273152.0,270833.0,273744.0,266543.0,263121.0,268191.0,290617.0,287279.0
4.0,467760.0,475929.0,478779.0,478728.0,508593.0,554036.0,274440.0,279387.0,276387.0,278030.0,282511.0,273240.0,275395.0,266391.0,274983.0,267799.0,269698.0,267268.0,290733.0,290824.0
4.5,473533.0,476987.0,481880.0,482047.0,524973.0,583449.0,280922.0,275107.0,277656.0,281262.0,280561.0,274217.0,272923.0,270658.0,273633.0,268592.0,268298.0,273752.0,288782.0,291864.0
5.0,477353.0,487687.0,483977.0,487499.0,549708.0,590675.0,279254.0,280517.0,278923.0,275764.0,278153.0,274768.0,272476.0,269515.0,274590.0,268320.0,267368.0,267977.0,291305.0,288521.0
5.5,488068.0,507829.0,488791.0,494749.0,565137.0,603958.0,278742.0,274579.0,278724.0,276368.0,280697.0,270916.0,271290.0,269727.0,273822.0,264827.0,266761.0,271631.0,289019.0,289874.0
6.0,508314.0,511811.0,494399.0,506952.0,586672.0,615120.0,277144.0,276302.0,277690.0,274480.0,274996.0,272841.0,273989.0,267560.0,270351.0,262136.0,264855.0,267457.0,290881.0,290940.0
6.5,536045.0,564065.0,502693.0,522198.0,597883.0,628398.0,277757.0,277040.0,275620.0,279196.0,276636.0,276777.0,271204.0,263304.0,271898.0,264540.0,265235.0,269375.0,289312.0,290482.0
7.0,521929.0,581736.0,510945.0,520519.0,580975.0,644103.0,274072.0,272308.0,277969.0,273956.0,274443.0,274416.0,269926.0,267228.0,268169.0,263585.0,263444.0,265841.0,289997.0,292665.0
7.5,521393.0,607672.0,511918.0,529448.0,572047.0,655520.0,275329.0,274190.0,275864.0,274599.0,279137.0,271835.0,270836.0,266401.0,270270.0,264318.0,263861.0,264047.0,294140.0,291630.0
8.0,526774.0,597815.0,521671.0,526176.0,572140.0,667520.0,274999.0,273910.0,275287.0,276840.0,274507.0,274033.0,268099.0,260518.0,273671.0,262063.0,263229.0,265645.0,286203.0,292177.0
8.5,535512.0,589955.0,526694.0,532798.0,562431.0,674418.0,278086.0,276022.0,278396.0,277073.0,279942.0,275128.0,267075.0,264811.0,271220.0,258604.0,262567.0,262129.0,290585.0,294043.0
9.0,537624.0,577179.0,526870.0,530413.0,558630.0,683329.0,275486.0,271418.0,277057.0,274959.0,277021.0,276402.0,265204.0,265660.0,268841.0,256972.0,262373.0,263357.0,294267.0,288526.0
9.5,544576.0,579354.0,525368.0,539130.0,559310.0,687234.0,276367.0,274804.0,276065.0,275963.0,275202.0,272433.0,265515.0,263823.0,268808.0,261607.0,263620.0,261063.0,291504.0,293545.0
10.0,548717.0,577179.0,540315.0,544644.0,568495.0,706629.0,272242.0,273157.0,278799.0,272555.0,272503.0,270429.0,265932.0,258873.0,272308.0,255235.0,263490.0,260177.0,292283.0,293210.0
10.5,561690.0,589865.0,552411.0,551770.0,579419.0,712620.0,274451.0,271005.0,270175.0,274324.0,274042.0,269871.0,265304.0,260288.0,271654.0,258138.0,262117.0,260035.0,288983.0,292630.0
11.0,569949.0,597170.0,561635.0,565157.0,582585.0,715052.0,273365.0,270903.0,271565.0,270937.0,276432.0,274715.0,264599.0,262064.0,266894.0,266695.0,261587.0,261303.0,290699.0,291314.0
11.5,581428.0,609150.0,578633.0,577751.0,596284.0,720506.0,271897.0,272851.0,273503.0,276549.0,277246.0,272004.0,262133.0,263075.0,262659.0,265070.0,261309.0,263175.0,294324.0,295466.0
12.0,596333.0,624021.0,590991.0,591389.0,613300.0,733498.0,274537.0,274644.0,272845.0,271422.0,274569.0,271799.0,261095.0,259158.0,261231.0,262038.0,264212.0,262297.0,290209.0,295229.0
12.5,616898.0,643707.0,601533.0,601747.0,625675.0,748839.0,274439.0,270443.0,276678.0,270581.0,272491.0,270607.0,262372.0,259887.0,266129.0,257700.0,258150.0,261334.0,292803.0,297337.0
13.0,635201.0,663422.0,622035.0,619492.0,640089.0,756695.0,273974.0,274835.0,273018.0,274122.0,271386.0,270009.0,262142.0,259112.0,266611.0,261016.0,260203.0,260331.0,292898.0,293522.0
13.5,659830.0,686405.0,633421.0,632110.0,649188.0,768979.0,273551.0,275142.0,272498.0,270722.0,276578.0,268446.0,259373.0,258130.0,263321.0,260922.0,262288.0,257054.0,294756.0,297739.0
