,B2,B3,B4,B8,B9,B10,B11,C2,C3,C4
0.0,0.245,0.243,0.245,0.242,0.245,0.243,0.089,0.246,0.247,0.249
0.5,0.239,0.237,0.239,0.238,0.239,0.238,0.089,0.239,0.241,0.24
1.0,0.234,0.235,0.234,0.232,0.233,0.234,0.089,0.237,0.238,0.238
1.5,0.234,0.233,0.234,0.232,0.233,0.231,0.089,0.236,0.238,0.24
2.0,0.234,0.234,0.235,0.232,0.236,0.232,0.088,0.238,0.238,0.242
2.5,0.24,0.238,0.243,0.238,0.241,0.238,0.088,0.244,0.243,0.248
3.0,0.25,0.248,0.253,0.248,0.25,0.245,0.089,0.254,0.254,0.258
3.5,0.259,0.258,0.265,0.26,0.26,0.254,0.089,0.265,0.265,0.27
4.0,0.272,0.268,0.281,0.272,0.271,0.264,0.09,0.28,0.278,0.284
4.5,0.289,0.284,0.297,0.289,0.285,0.275,0.087,0.294,0.293,0.297
5.0,0.306,0.301,0.311,0.304,0.303,0.292,0.088,0.309,0.31,0.31
5.5,0.319,0.315,0.324,0.318,0.317,0.309,0.09,0.32,0.322,0.323
6.0,0.329,0.326,0.333,0.325,0.325,0.321,0.089,0.328,0.331,0.333
6.5,0.339,0.335,0.344,0.335,0.338,0.327,0.088,0.337,0.339,0.343
7.0,0.35,0.345,0.353,0.351,0.351,0.343,0.088,0.351,0.351,0.356
7.5,0.363,0.358,0.366,0.364,0.363,0.359,0.088,0.364,0.364,0.369
8.0,0.375,0.371,0.379,0.377,0.378,0.371,0.09,0.378,0.381,0.384
8.5,0.391,0.385,0.392,0.388,0.39,0.384,0.09,0.392,0.396,0.398
9.0,0.405,0.398,0.406,0.401,0.403,0.394,0.089,0.404,0.409,0.411
9.5,0.418,0.412,0.421,0.413,0.415,0.41,0.09,0.417,0.42,0.427
10.0,0.432,0.425,0.435,0.423,0.424,0.424,0.091,0.431,0.433,0.443
10.5,0.445,0.438,0.446,0.433,0.434,0.436,0.089,0.444,0.446,0.455
11.0,0.457,0.452,0.457,0.444,0.446,0.447,0.089,0.454,0.455,0.467
11.5,0.472,0.465,0.473,0.457,0.456,0.46,0.089,0.467,0.468,0.48
12.0,0.485,0.479,0.478,0.466,0.466,0.473,0.089,0.482,0.482,0.491
12.5,0.497,0.49,0.49,0.478,0.479,0.486,0.09,0.496,0.496,0.502
13.0,0.512,0.502,0.502,0.49,0.491,0.5,0.09,0.508,0.509,0.513
13.5,0.522,0.516,0.513,0.503,0.503,0.511,0.089,0.522,0.524,0.527
14.0,0.532,0.525,0.525,0.513,0.515,0.521,0.089,0.533,0.534,0.54
14.5,0.546,0.539,0.539,0.53,0.532,0.535,0.09,0.548,0.548,0.552
15.0,0.558,0.551,0.551,0.541,0.544,0.548,0.089,0.559,0.561,0.564
15.5,0.571,0.564,0.562,0.553,0.556,0.561,0.09,0.571,0.572,0.578
16.0,0.583,0.575,0.572,0.564,0.568,0.57,0.09,0.583,0.581,0.59
16.5,0.595,0.588,0.584,0.574,0.58,0.583,0.09,0.595,0.595,0.604
17.0,0.605,0.599,0.596,0.587,0.592,0.595,0.09,0.608,0.607,0.617
17.5,0.615,0.608,0.607,0.598,0.603,0.606,0.088,0.619,0.618,0.628
18.0,0.627,0.618,0.619,0.609,0.616,0.619,0.089,0.632,0.631,0.641
18.5,0.634,0.63,0.628,0.619,0.626,0.627,0.089,0.643,0.641,0.654
19.0,0.646,0.641,0.639,0.63,0.635,0.638,0.09,0.655,0.652,0.667
19.5,0.655,0.651,0.651,0.644,0.649,0.65,0.09,0.669,0.665,0.678
20.0,0.666,0.66,0.661,0.654,0.662,0.661,0.09,0.68,0.676,0.691
20.5,0.676,0.67,0.671,0.666,0.67,0.671,0.089,0.691,0.687,0.703
21.0,0.685,0.679,0.68,0.678,0.682,0.683,0.09,0.703,0.699,0.715
21.5,0.695,0.689,0.687,0.689,0.694,0.692,0.089,0.717,0.709,0.725
22.0,0.704,0.7,0.699,0.702,0.707,0.703,0.088,0.727,0.721,0.738
22.5,0.715,0.709,0.709,0.714,0.718,0.715,0.09,0.74,0.732,0.748
23.0,0.724,0.719,0.719,0.726,0.732,0.726,0.09,0.751,0.744,0.76
23.5,0.733,0.727,0.73,0.737,0.741,0.737,0.089,0.764,0.752,0.773
24.0,0.742,0.735,0.738,0.749,0.754,0.747,0.089,0.768,0.763,0.777
24.5,0.75,0.742,0.748,0.756,0.761,0.758,0.089,0.768,0.763,0.778
25.0,0.758,0.748,0.751,0.755,0.761,0.762,0.089,0.768,0.763,0.777
25.5,0.762,0.751,0.754,0.756,0.763,0.763,0.09,0.771,0.762,0.779
26.0,0.761,0.749,0.76,0.759,0.765,0.763,0.09,0.771,0.765,0.779
26.5,0.761,0.749,0.756,0.761,0.769,0.764,0.09,0.78,0.767,0.787
27.0,0.76,0.752,0.759,0.762,0.77,0.766,0.089,0.805,0.779,0.812
27.5,0.761,0.749,0.764,0.776,0.78,0.768,0.09,0.811,0.802,0.821
28.0,0.764,0.75,0.772,0.802,0.804,0.79,0.089,0.81,0.805,0.819
28.5,0.776,0.764,0.787,0.804,0.813,0.812,0.089,0.81,0.805,0.819
29.0,0.787,0.777,0.801,0.803,0.81,0.811,0.089,0.81,0.802,0.819
29.5,0.8,0.785,0.802,0.804,0.81,0.809,0.09,0.81,0.802,0.819
30.0,0.801,0.779,0.801,0.805,0.811,0.81,0.089,0.81,0.801,0.819
30.5,0.795,0.775,0.798,0.806,0.811,0.812,0.09,0.813,0.801,0.819
31.0,0.792,0.772,0.796,0.806,0.81,0.812,0.088,0.813,0.8,0.82
31.5,0.788,0.767,0.797,0.808,0.813,0.813,0.09,0.815,0.801,0.822
32.0,0.785,0.764,0.795,0.808,0.812,0.814,0.089,0.815,0.801,0.822
32.5,0.783,0.76,0.794,0.808,0.811,0.814,0.088,0.815,0.801,0.819
33.0,0.784,0.758,0.795,0.808,0.813,0.816,0.09,0.817,0.8,0.819
33.5,0.781,0.756,0.795,0.809,0.815,0.815,0.089,0.816,0.801,0.818
34.0,0.781,0.756,0.794,0.811,0.814,0.816,0.09,0.816,0.8,0.819
34.5,0.783,0.756,0.795,0.809,0.812,0.815,0.09,0.815,0.8,0.818
35.0,0.782,0.755,0.795,0.81,0.812,0.816,0.089,0.816,0.8,0.817
35.5,0.78,0.754,0.796,0.81,0.811,0.815,0.089,0.815,0.799,0.815
36.0,0.781,0.756,0.797,0.811,0.813,0.814,0.09,0.814,0.801,0.813
36.5,0.78,0.755,0.795,0.812,0.812,0.815,0.09,0.814,0.799,0.813
37.0,0.779,0.756,0.794,0.812,0.809,0.815,0.089,0.814,0.799,0.811
37.5,0.782,0.759,0.797,0.812,0.809,0.813,0.089,0.813,0.798,0.81
38.0,0.779,0.759,0.795,0.811,0.807,0.813,0.089,0.811,0.799,0.808
38.5,0.779,0.762,0.797,0.811,0.807,0.813,0.089,0.812,0.799,0.805
39.0,0.779,0.762,0.796,0.81,0.806,0.812,0.089,0.81,0.797,0.806
39.5,0.782,0.763,0.795,0.81,0.804,0.812,0.089,0.808,0.796,0.803
40.0,0.783,0.765,0.796,0.81,0.806,0.811,0.089,0.808,0.796,0.803
40.5,0.783,0.764,0.795,0.809,0.804,0.81,0.09,0.806,0.796,0.801
41.0,0.783,0.767,0.795,0.809,0.804,0.81,0.09,0.805,0.795,0.8
41.5,0.784,0.768,0.794,0.808,0.803,0.807,0.089,0.803,0.794,0.801
42.0,0.785,0.769,0.793,0.807,0.802,0.808,0.089,0.803,0.794,0.797
42.5,0.784,0.771,0.791,0.807,0.8,0.806,0.089,0.801,0.793,0.795
43.0,0.785,0.774,0.794,0.807,0.802,0.809,0.09,0.801,0.795,0.795
43.5,0.786,0.774,0.793,0.806,0.801,0.806,0.089,0.801,0.793,0.795
44.0,0.788,0.776,0.796,0.809,0.802,0.807,0.088,0.801,0.795,0.796
44.5,0.787,0.776,0.796,0.809,0.802,0.807,0.089,0.801,0.794,0.796
45.0,0.784,0.776,0.794,0.808,0.801,0.807,0.089,0.8,0.794,0.794
45.5,0.785,0.778,0.795,0.809,0.802,0.807,0.089,0.801,0.795,0.796
46.0,0.786,0.778,0.796,0.807,0.804,0.807,0.089,0.8,0.794,0.796
46.5,0.785,0.779,0.794,0.808,0.803,0.806,0.088,0.799,0.794,0.796
47.0,0.786,0.78,0.794,0.808,0.803,0.806,0.089,0.8,0.794,0.794
47.5,0.787,0.782,0.794,0.808,0.802,0.805,0.089,0.799,0.795,0.793
48.0,0.788,0.783,0.795,0.808,0.804,0.806,0.088,0.799,0.796,0.793
