,B2,B3,B4,B8,B9,B10,B11,C2,C3,C4
0.0,559385.0,557401.0,555288.0,758111.0,765217.0,758866.0,210247.0,796774.0,799264.0,800733.0
0.5,587194,580586,580386,788761,791612,799632,214249,796676,812350,806362
1.0,648874,643422,639630,853818,859999,867737,212052,876357,874517,879919
1.5,676954.0,676118.0,674158.0,896224.0,906884.0,891586.0,211902.0,916924.0,914282.0,941614.0
2.0,690943.0,686909.0,698346.0,924832.0,922554.0,911877.0,212298.0,954871.0,948293.0,976249.0
2.5,714474.0,699215.0,716025.0,951781.0,960850.0,943346.0,211566.0,1004136.0,993599.0,1022114.0
3.0,738067.0,724752.0,737312.0,981920.0,978329.0,965263.0,212617.0,1055188.0,1029452.0,1060260.0
3.5,757296.0,740610.0,766577.0,1003489.0,998886.0,993272.0,212022.0,1081715.0,1059807.0,1096820.0
4.0,777097.0,764915.0,787916.0,1034212.0,1031030.0,1007999.0,212323.0,1117703.0,1096159.0,1133750.0
4.5,809265.0,779706.0,817336.0,1067754.0,1053059.0,1039306.0,211740.0,1142867.0,1124173.0,1157268.0
5.0,831442.0,809940.0,830776.0,1096774.0,1091260.0,1073481.0,211468.0,1162934.0,1138825.0,1170503.0
5.5,844314.0,829271.0,846423.0,1110637.0,1124379.0,1101517.0,210138.0,1184866.0,1165553.0,1195861.0
6.0,852686.0,837685.0,849961.0,1122521.0,1134639.0,1125572.0,208756.0,1199192.0,1181669.0,1208176.0
6.5,874082.0,845476.0,865784.0,1142877.0,1166947.0,1144339.0,213539.0,1211262.0,1188326.0,1217176.0
7.0,888484.0,863197.0,867316.0,1161487.0,1177394.0,1169907.0,209883.0,1222683.0,1206286.0,1241078.0
7.5,903343.0,877472.0,888825.0,1192970.0,1200035.0,1198895.0,211852.0,1255438.0,1231968.0,1251013.0
8.0,919240.0,895228.0,909761.0,1222794.0,1229966.0,1215453.0,210826.0,1276371.0,1260401.0,1280353.0
8.5,944116.0,918559.0,931852.0,1242113.0,1242525.0,1249607.0,208200.0,1299010.0,1286640.0,1313642.0
