,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B9,B10,B11,C1,C2,C3,C4,C5,C6,C7,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H11,H12
0.0,256486.0,255314.0,256437.0,246925.0,234284.0,233916.0,236263.0,251054.0,234761.0,235111.0,235466.0,248263.0,257937.0,253757.0,252913.0,246419.0,232340.0,234488.0,238511.0,234378.0,236330.0,234868.0,258044.0,253266.0,251041.0,245471.0,234144.0,230612.0,234312.0,232155.0,230255.0,233870.0,250095.0,247117.0,248587.0,254134.0,243734.0,227647.0,232056.0,230519.0,246360.0,230711.0,232887.0,230818.0,245892.0,250680.0,250349.0,250087.0,242857.0,230590.0,227168.0,229324.0,246355.0,230967.0,231696.0,231343.0,246369.0,249075.0,245859.0,251272.0,243191.0,229765.0,234075.0,229474.0,245389.0,228998.0,236222.0,229798.0,246279.0,245158.0,243658.0,247467.0,241495.0,227744.0,226817.0,227661.0,243137.0,248423.0,218143.0,211717.0,213961.0,210764.0,212848.0,215859.0,219084.0,213168.0,214619.0,214493.0,218750.0
0.5,258431,254971,254936,245696,236761,239107,240028,252938,236612,235432,234442,252744,259028,252957,254194,249059,237814,235121,238958,237158,236990,239824,258844,259196,257832,246044,235159,232692,232210,231317,235692,233334,248867,252508,249373,256947,241988,230502,229119,228208,249479,234215,233281,235790,251698,255016,252048,256281,247975,234591,232117,229920,243313,233677,231602,232638,248268,249731,251388,252383,239164,231373,231245,231204,245436,232280,232966,235488,249007,250124,242487,248410,241696,229343,227299,229913,242906,243609,218598,214557,215198,214666,213516,219437,218494,215289,217384,221225,222860
1.0,263017,260993,262558,247861,237064,240192,237358,250075,242447,235562,237406,252865,263386,256681,260643,247408,237007,235554,241335,238589,234522,238374,266159,262867,258295,245233,236298,233907,234872,232366,233310,236861,248704,272112,266734,265419,240292,234923,234213,233941,248126,235970,230093,233888,249428,271358,272207,265752,243012,235661,237406,235429,244641,231883,236221,235301,249071,273191,261744,263966,239889,234063,241765,242267,244069,230474,233227,237075,250417,260708,254279,256621,240141,230582,230134,229064,245284,244095,217623,215174,215512,216904,214281,218933,218159,216146,219041,215867,220722
1.5,264821.0,267135.0,262372.0,247996.0,240653.0,238670.0,234724.0,251673.0,236825.0,239519.0,239045.0,253039.0,265961.0,259691.0,262609.0,246310.0,239594.0,236640.0,243623.0,237285.0,239048.0,238707.0,274724.0,270670.0,269558.0,248036.0,255570.0,240765.0,244410.0,230842.0,232131.0,232251.0,249988.0,301856.0,283379.0,287727.0,242081.0,237376.0,242096.0,246131.0,244467.0,230637.0,234983.0,233623.0,251677.0,306529.0,284841.0,283300.0,245889.0,250534.0,254367.0,252426.0,242175.0,234340.0,236467.0,234216.0,247203.0,298482.0,277817.0,278335.0,244684.0,252996.0,258353.0,257203.0,245115.0,237170.0,237977.0,236722.0,247754.0,290357.0,278300.0,271559.0,240260.0,243003.0,250861.0,257173.0,242698.0,249797.0,219430.0,213349.0,213111.0,212385.0,209847.0,220197.0,219342.0,215080.0,217708.0,220957.0,220995.0
2.0,267131.0,265985.0,265145.0,246214.0,239826.0,236758.0,239694.0,248600.0,237661.0,236884.0,240859.0,252311.0,269110.0,263406.0,264609.0,245759.0,244684.0,241106.0,249705.0,235141.0,239786.0,236959.0,289837.0,279601.0,274200.0,248285.0,263984.0,247836.0,255864.0,228524.0,229970.0,233461.0,247408.0,335112.0,296231.0,302050.0,243076.0,248062.0,257071.0,262585.0,246955.0,233880.0,232972.0,232436.0,248800.0,341933.0,296864.0,301553.0,245699.0,269705.0,276337.0,273372.0,240687.0,235678.0,236680.0,235403.0,252655.0,334404.0,286926.0,295638.0,239738.0,273184.0,278721.0,271515.0,246628.0,241800.0,244106.0,243328.0,251194.0,327041.0,319599.0,314712.0,240981.0,270519.0,269538.0,276533.0,242829.0,247782.0,218116.0,213373.0,214115.0,215729.0,209895.0,218390.0,223217.0,213857.0,216978.0,216938.0,221408.0
2.5,268980.0,267940.0,265557.0,249552.0,236912.0,239003.0,239282.0,251179.0,239767.0,236898.0,239337.0,251073.0,272214.0,264977.0,265916.0,247865.0,245583.0,243088.0,248756.0,236491.0,234461.0,236327.0,304968.0,292760.0,287903.0,245512.0,267936.0,254389.0,257985.0,233636.0,233516.0,230972.0,252203.0,371538.0,311821.0,332042.0,241494.0,267067.0,270976.0,272430.0,244605.0,230266.0,232923.0,233959.0,252384.0,379268.0,310087.0,309899.0,242247.0,297883.0,306840.0,308341.0,246858.0,238516.0,240326.0,239287.0,248132.0,379095.0,299203.0,307166.0,241823.0,299603.0,305721.0,299864.0,247385.0,245475.0,246044.0,242297.0,252678.0,381495.0,379841.0,367415.0,240074.0,299844.0,308699.0,308787.0,245260.0,248802.0,216331.0,212754.0,212074.0,213371.0,208541.0,217534.0,217372.0,213632.0,214672.0,217415.0,224032.0
3.0,267571.0,273028.0,265661.0,246966.0,240916.0,240307.0,236516.0,250880.0,237470.0,234086.0,238645.0,252060.0,278120.0,267832.0,269290.0,249945.0,242399.0,246286.0,252195.0,237099.0,233772.0,232984.0,321726.0,303236.0,301450.0,244776.0,268647.0,257203.0,260830.0,231154.0,232081.0,232150.0,254261.0,406633.0,341936.0,365420.0,241687.0,287017.0,283956.0,288606.0,246119.0,232752.0,232112.0,233803.0,247759.0,420658.0,336906.0,338760.0,246004.0,323010.0,353160.0,352155.0,243052.0,238308.0,242506.0,236221.0,249367.0,430321.0,333068.0,335201.0,241361.0,336061.0,346013.0,332889.0,245066.0,247152.0,247952.0,247825.0,249192.0,451777.0,456297.0,436199.0,242950.0,348879.0,357721.0,356070.0,244983.0,247710.0,218455.0,213120.0,213086.0,211200.0,213691.0,218499.0,214209.0,212107.0,216843.0,217278.0,222090.0
3.5,275531.0,272522.0,273912.0,248817.0,236226.0,237923.0,237517.0,250876.0,235129.0,233129.0,238261.0,250491.0,278119.0,272575.0,271618.0,248317.0,248810.0,242596.0,250275.0,233136.0,234818.0,234209.0,334828.0,319635.0,313655.0,246017.0,267285.0,260917.0,263012.0,232126.0,231811.0,233219.0,253402.0,456522.0,394690.0,397045.0,243294.0,291366.0,291331.0,293405.0,248065.0,232189.0,231468.0,235234.0,250417.0,474889.0,386798.0,378590.0,246315.0,360166.0,378700.0,379595.0,247800.0,244156.0,240572.0,239906.0,247338.0,501095.0,378597.0,375510.0,240098.0,380634.0,394543.0,379521.0,247505.0,246150.0,250015.0,247640.0,247228.0,530882.0,527560.0,512460.0,240091.0,413516.0,427171.0,419724.0,245210.0,248680.0,218088.0,210712.0,210707.0,215686.0,209182.0,219705.0,218460.0,218737.0,218882.0,216710.0,221734.0
4.0,278638.0,279018.0,278454.0,251409.0,240826.0,239577.0,236031.0,253556.0,235316.0,233279.0,235185.0,251152.0,281407.0,274681.0,279039.0,247551.0,245642.0,244492.0,248775.0,235599.0,232768.0,233497.0,359742.0,334556.0,331597.0,247266.0,268641.0,263436.0,261772.0,229002.0,230789.0,231455.0,251458.0,514287.0,441852.0,439678.0,242938.0,300610.0,298227.0,297557.0,246887.0,229379.0,230527.0,239137.0,251128.0,541168.0,442332.0,430418.0,245409.0,380980.0,390744.0,394111.0,247307.0,241959.0,241626.0,246729.0,245977.0,567271.0,444864.0,434260.0,242970.0,442375.0,443013.0,445494.0,245307.0,246851.0,250674.0,251535.0,249969.0,601475.0,603074.0,579749.0,241018.0,490808.0,504372.0,498367.0,243787.0,246883.0,218238.0,209662.0,215579.0,213393.0,211259.0,218280.0,216896.0,218067.0,215414.0,218402.0,219580.0
4.5,279561.0,279038.0,273380.0,250403.0,236983.0,239825.0,237234.0,249384.0,235366.0,232101.0,234779.0,250320.0,287106.0,281115.0,281768.0,245623.0,243342.0,243061.0,251274.0,230617.0,235299.0,232758.0,373269.0,350556.0,349340.0,247025.0,270843.0,259720.0,264318.0,228927.0,230789.0,231259.0,249728.0,579430.0,495006.0,486190.0,242122.0,302645.0,302805.0,301570.0,245673.0,233219.0,236630.0,234587.0,248042.0,598394.0,491963.0,474111.0,246392.0,398157.0,410252.0,410297.0,246389.0,246169.0,242353.0,244598.0,246577.0,630204.0,497367.0,482579.0,244807.0,505926.0,517906.0,517807.0,244483.0,254698.0,256688.0,254411.0,247747.0,668559.0,672002.0,642477.0,240707.0,552915.0,561469.0,563358.0,243892.0,249082.0,215952.0,211376.0,215181.0,212292.0,214078.0,216140.0,214557.0,211640.0,214546.0,214805.0,222620.0
