,A2,A4,A6,A8,A10,A12,B2,B3,B4,B5,B6,B7,B9,B10,B11,B12,C2,C3,C4,C5,C6,C7,D2,D3,D4,D5,D6,D7,D9,D10,D11,E2,E3,E4,E5,E6,E7,E9,E10,E11,F2,F3,F4,F5,F6,F7,F9,F10,F11,G2,G3,G4,G5,G6,G7,G9,G10,G11,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0.0,0.084,0.082,0.085,0.085,0.083,0.086,0.198,0.196,0.198,0.198,0.197,0.195,0.204,0.204,0.205,0.209,0.193,0.196,0.195,0.203,0.2,0.201,0.199,0.198,0.198,0.202,0.2,0.201,0.204,0.202,0.202,0.199,0.198,0.203,0.205,0.202,0.202,0.211,0.202,0.203,0.201,0.205,0.202,0.199,0.219,0.2,0.199,0.197,0.197,0.199,0.205,0.205,0.203,0.2,0.201,0.203,0.201,0.213,0.204,0.206,0.202,0.2,0.204,0.201,0.201,0.199,0.206,0.196,0.192
0.5,0.084,0.083,0.086,0.086,0.083,0.086,0.197,0.198,0.199,0.208,0.206,0.207,0.205,0.204,0.205,0.203,0.204,0.203,0.201,0.204,0.202,0.204,0.203,0.202,0.206,0.204,0.202,0.202,0.216,0.211,0.212,0.203,0.202,0.213,0.204,0.204,0.203,0.214,0.206,0.21,0.2,0.215,0.21,0.201,0.223,0.201,0.201,0.201,0.201,0.201,0.207,0.21,0.205,0.202,0.201,0.221,0.206,0.231,0.207,0.204,0.204,0.202,0.203,0.201,0.199,0.2,0.209,0.194,0.193
1.0,0.084,0.083,0.086,0.086,0.083,0.086,0.198,0.201,0.202,0.215,0.216,0.215,0.204,0.205,0.202,0.199,0.212,0.218,0.207,0.212,0.208,0.211,0.226,0.216,0.23,0.215,0.215,0.215,0.217,0.215,0.219,0.217,0.215,0.223,0.215,0.215,0.216,0.219,0.206,0.211,0.21,0.218,0.213,0.206,0.219,0.207,0.208,0.204,0.202,0.21,0.221,0.231,0.202,0.2,0.2,0.222,0.207,0.224,0.204,0.204,0.198,0.199,0.203,0.197,0.198,0.201,0.216,0.198,0.197
1.5,0.085,0.085,0.086,0.087,0.085,0.087,0.217,0.227,0.217,0.251,0.257,0.251,0.216,0.217,0.213,0.203,0.221,0.219,0.212,0.236,0.23,0.23,0.241,0.237,0.247,0.231,0.236,0.236,0.227,0.228,0.23,0.234,0.237,0.244,0.224,0.222,0.224,0.236,0.223,0.225,0.227,0.217,0.222,0.22,0.218,0.217,0.222,0.216,0.215,0.231,0.237,0.25,0.216,0.215,0.219,0.225,0.216,0.25,0.205,0.215,0.206,0.205,0.202,0.202,0.201,0.208,0.22,0.206,0.202
2.0,0.084,0.084,0.087,0.088,0.084,0.086,0.234,0.243,0.232,0.28,0.266,0.279,0.232,0.232,0.228,0.208,0.226,0.225,0.213,0.263,0.257,0.259,0.247,0.238,0.248,0.251,0.258,0.258,0.237,0.244,0.231,0.242,0.242,0.249,0.233,0.234,0.234,0.256,0.245,0.244,0.237,0.232,0.229,0.232,0.238,0.226,0.235,0.233,0.232,0.233,0.252,0.239,0.226,0.224,0.238,0.234,0.226,0.254,0.219,0.223,0.208,0.212,0.203,0.216,0.211,0.21,0.222,0.21,0.205
2.5,0.085,0.085,0.087,0.088,0.085,0.087,0.245,0.25,0.242,0.313,0.282,0.318,0.245,0.258,0.246,0.22,0.227,0.223,0.219,0.276,0.275,0.269,0.252,0.242,0.245,0.271,0.273,0.278,0.254,0.255,0.243,0.247,0.244,0.251,0.251,0.246,0.25,0.267,0.259,0.257,0.243,0.25,0.247,0.241,0.244,0.233,0.249,0.25,0.252,0.239,0.264,0.252,0.237,0.233,0.249,0.245,0.241,0.259,0.232,0.219,0.215,0.226,0.204,0.23,0.223,0.218,0.226,0.213,0.209
3.0,0.085,0.083,0.087,0.087,0.085,0.086,0.254,0.256,0.25,0.331,0.287,0.339,0.256,0.279,0.252,0.223,0.236,0.236,0.224,0.291,0.285,0.282,0.257,0.248,0.252,0.285,0.29,0.295,0.265,0.268,0.254,0.255,0.247,0.259,0.267,0.262,0.266,0.293,0.277,0.272,0.254,0.265,0.262,0.246,0.257,0.239,0.263,0.26,0.269,0.246,0.278,0.266,0.245,0.242,0.253,0.252,0.254,0.267,0.236,0.222,0.219,0.231,0.219,0.239,0.238,0.224,0.23,0.214,0.211
3.5,0.085,0.084,0.086,0.087,0.084,0.087,0.264,0.263,0.262,0.349,0.299,0.35,0.274,0.302,0.284,0.254,0.239,0.233,0.23,0.307,0.303,0.298,0.26,0.256,0.261,0.299,0.302,0.31,0.274,0.274,0.257,0.261,0.251,0.262,0.286,0.281,0.283,0.292,0.29,0.286,0.262,0.276,0.271,0.258,0.259,0.245,0.277,0.274,0.276,0.257,0.289,0.278,0.254,0.251,0.259,0.259,0.269,0.288,0.243,0.227,0.224,0.24,0.221,0.242,0.238,0.228,0.234,0.218,0.217
4.0,0.085,0.085,0.088,0.088,0.085,0.087,0.28,0.271,0.273,0.364,0.313,0.356,0.309,0.322,0.314,0.29,0.247,0.242,0.239,0.323,0.32,0.314,0.268,0.265,0.268,0.315,0.321,0.329,0.282,0.283,0.257,0.27,0.265,0.272,0.307,0.299,0.304,0.302,0.302,0.289,0.272,0.287,0.284,0.266,0.272,0.252,0.29,0.287,0.282,0.266,0.298,0.289,0.258,0.258,0.271,0.284,0.29,0.299,0.251,0.234,0.231,0.247,0.227,0.251,0.242,0.235,0.241,0.224,0.224
4.5,0.086,0.085,0.088,0.089,0.085,0.087,0.3,0.283,0.284,0.372,0.324,0.369,0.319,0.33,0.319,0.292,0.253,0.251,0.249,0.336,0.335,0.331,0.278,0.271,0.277,0.333,0.338,0.348,0.286,0.281,0.259,0.283,0.274,0.284,0.327,0.318,0.323,0.315,0.303,0.299,0.289,0.303,0.299,0.278,0.281,0.261,0.295,0.298,0.293,0.279,0.314,0.305,0.268,0.262,0.284,0.274,0.305,0.279,0.249,0.244,0.242,0.252,0.231,0.259,0.243,0.242,0.246,0.229,0.23
5.0,0.086,0.084,0.087,0.087,0.085,0.087,0.32,0.298,0.299,0.382,0.334,0.382,0.326,0.341,0.319,0.301,0.26,0.258,0.257,0.351,0.348,0.344,0.29,0.285,0.29,0.351,0.356,0.367,0.284,0.283,0.258,0.299,0.288,0.3,0.351,0.34,0.345,0.324,0.315,0.305,0.306,0.32,0.317,0.293,0.298,0.269,0.305,0.306,0.297,0.295,0.332,0.324,0.277,0.272,0.293,0.275,0.317,0.317,0.261,0.256,0.254,0.26,0.237,0.273,0.244,0.251,0.251,0.235,0.236
