,A2,A4,A6,A8,A10,A12,B2,B3,B4,B5,B6,B7,B9,B10,B11,B12,C2,C3,C4,C5,C6,C7,D2,D3,D4,D5,D6,D7,D9,D10,D11,E2,E3,E4,E5,E6,E7,E9,E10,E11,F2,F3,F4,F5,F6,F7,F9,F10,F11,G2,G3,G4,G5,G6,G7,G9,G10,G11,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0.0,310879.0,299343.0,310314.0,303759.0,304866.0,294632.0,330200.0,328447.0,325965.0,269000.0,270179.0,276557.0,273416.0,273941.0,276843.0,267291.0,316906.0,325874.0,315233.0,271062.0,265167.0,269377.0,319048.0,317926.0,314418.0,264412.0,265571.0,266338.0,270100.0,265079.0,269154.0,313553.0,314527.0,314700.0,265996.0,265369.0,266821.0,269228.0,260240.0,269187.0,314276.0,313947.0,315889.0,259875.0,263085.0,263890.0,266475.0,264160.0,266263.0,303340.0,317104.0,310794.0,266091.0,262966.0,258169.0,270803.0,266567.0,267561.0,301711.0,302792.0,307585.0,256048.0,254806.0,263369.0,261199.0,259820.0,260050.0,260937.0,268671.0
0.5,308235,303975,305892,308399,309080,295579,323332,323428,321778,271999,270345,273891,273939,271190,276170,262883,315322,320396,317682,271111,270100,270575,316931,318567,320208,268330,263484,267287,273497,264343,268598,314885,313529,312629,267868,267735,268390,265264,266494,274644,306718,317443,310481,264214,264830,262344,265921,262256,270249,301761,313846,308642,261686,260448,262979,268961,265401,268369,301461,302541,302741,259288,259614,264068,257702,259618,256478,263615,260996
1.0,312417,308800,305058,308103,310597,297913,326670,325306,327579,276388,279411,275699,273225,275010,275303,262945,333435,333035,329109,283034,283040,282534,341914,343415,339780,275384,275660,274927,276449,266114,275714,337607,336001,333598,274142,273234,276500,273290,265241,274103,335293,339546,330700,269246,269010,272750,264918,270781,273345,320433,323021,317480,262940,265839,262889,267881,265431,264686,297696,303518,301111,256093,256914,261756,258843,258392,256822,266265,261248
1.5,313644.0,305644.0,306788.0,308365.0,310201.0,295697.0,329540.0,336188.0,327080.0,306829.0,300795.0,305006.0,272982.0,275985.0,280549.0,260986.0,377164.0,373557.0,359851.0,289734.0,299332.0,300137.0,391368.0,375323.0,381928.0,285356.0,282579.0,292699.0,280872.0,275256.0,278471.0,390556.0,390800.0,384155.0,295570.0,293974.0,301789.0,276907.0,271871.0,279448.0,379830.0,378982.0,369713.0,291574.0,291957.0,291045.0,270543.0,268385.0,277756.0,341864.0,338202.0,336995.0,273074.0,270712.0,267712.0,265870.0,266478.0,269510.0,303215.0,307558.0,303617.0,257486.0,260677.0,259760.0,259384.0,262401.0,257371.0,263944.0,264496.0
2.0,309893.0,308721.0,309674.0,308387.0,314167.0,294567.0,329254.0,335010.0,333791.0,345226.0,353807.0,355664.0,271211.0,275913.0,274834.0,261670.0,448359.0,442922.0,415844.0,321852.0,322468.0,327686.0,443865.0,413986.0,428507.0,317338.0,318542.0,315355.0,287402.0,283923.0,281306.0,450401.0,437243.0,447407.0,320201.0,315327.0,323556.0,285579.0,272735.0,279741.0,451954.0,438977.0,427121.0,304769.0,306831.0,309670.0,272839.0,269017.0,275312.0,372021.0,367214.0,357889.0,274233.0,270849.0,275910.0,268889.0,263335.0,271408.0,311048.0,309652.0,306505.0,258375.0,258875.0,258305.0,260778.0,259408.0,261546.0,265923.0,264954.0
2.5,309636.0,305449.0,306854.0,311435.0,308776.0,296421.0,331265.0,333460.0,329934.0,414114.0,417192.0,421933.0,273921.0,271503.0,274472.0,263947.0,528721.0,523645.0,496471.0,371419.0,371043.0,371446.0,504546.0,453797.0,490605.0,353462.0,357268.0,357443.0,291816.0,284633.0,288654.0,518989.0,495404.0,522290.0,338330.0,330860.0,337432.0,281749.0,278236.0,284260.0,526637.0,525403.0,520149.0,309243.0,316252.0,316020.0,267202.0,272145.0,275489.0,410509.0,406580.0,398546.0,276135.0,271878.0,276515.0,267132.0,264412.0,267261.0,311190.0,316142.0,314595.0,256079.0,255484.0,260763.0,257031.0,259242.0,258531.0,264076.0,262291.0
3.0,307395.0,309035.0,311735.0,311856.0,308707.0,303111.0,336673.0,336016.0,332710.0,490533.0,494653.0,489316.0,273728.0,268322.0,270240.0,257314.0,620952.0,609191.0,581309.0,427479.0,428836.0,429071.0,585401.0,505456.0,565919.0,395157.0,397605.0,401955.0,297048.0,287584.0,291658.0,604536.0,556210.0,597655.0,355175.0,339290.0,351076.0,282457.0,280439.0,285131.0,619533.0,623587.0,619157.0,311480.0,318775.0,316659.0,272010.0,270192.0,272199.0,448384.0,452062.0,447226.0,274803.0,274485.0,274171.0,266451.0,264103.0,263636.0,316048.0,323654.0,319294.0,259217.0,256736.0,258277.0,258800.0,263466.0,260432.0,265829.0,262155.0
3.5,310806.0,305993.0,315549.0,309530.0,310287.0,297245.0,340362.0,338970.0,338777.0,553634.0,562167.0,558271.0,271781.0,273100.0,272467.0,259192.0,713402.0,695787.0,660716.0,495782.0,498116.0,493429.0,657568.0,568862.0,635286.0,432658.0,434759.0,444931.0,299085.0,293285.0,294259.0,678033.0,623428.0,670324.0,355722.0,344213.0,351130.0,289226.0,283551.0,287897.0,684917.0,702762.0,705712.0,315077.0,315290.0,315962.0,270002.0,270920.0,272727.0,488561.0,489723.0,483701.0,277202.0,274738.0,280343.0,264102.0,265870.0,268071.0,326382.0,330811.0,327564.0,259613.0,258557.0,259273.0,262348.0,259552.0,261012.0,265368.0,262862.0
4.0,310283.0,307089.0,309934.0,304183.0,315276.0,293631.0,347538.0,333923.0,348084.0,619929.0,624807.0,623008.0,270130.0,275147.0,272548.0,259084.0,795279.0,776598.0,752504.0,554912.0,565700.0,568537.0,718733.0,630655.0,709491.0,456679.0,467488.0,478737.0,302770.0,295250.0,295031.0,740037.0,684845.0,740506.0,361689.0,353373.0,359528.0,287795.0,282255.0,285106.0,748127.0,775635.0,788712.0,316040.0,317275.0,318192.0,274808.0,270955.0,278149.0,526292.0,521752.0,516317.0,276053.0,275819.0,278436.0,266275.0,269572.0,268713.0,334234.0,339492.0,339472.0,259671.0,257455.0,262488.0,260191.0,261161.0,257649.0,266557.0,261252.0
4.5,310630.0,311317.0,308161.0,309001.0,306783.0,301932.0,347317.0,332508.0,341373.0,682998.0,684891.0,675351.0,271768.0,268470.0,271748.0,259268.0,875223.0,860869.0,839278.0,612359.0,622242.0,626517.0,792235.0,706408.0,804408.0,485559.0,488558.0,504364.0,306730.0,300206.0,298135.0,822455.0,762121.0,821220.0,369428.0,353845.0,365691.0,290558.0,288097.0,287856.0,842473.0,875871.0,881627.0,317497.0,321722.0,319693.0,275730.0,276574.0,279980.0,565055.0,567504.0,563890.0,279324.0,275548.0,280042.0,268623.0,263924.0,268615.0,338307.0,346407.0,343040.0,257486.0,255720.0,262986.0,256702.0,260087.0,262584.0,263857.0,265113.0
5.0,309924.0,308566.0,306317.0,307000.0,310532.0,299908.0,349682.0,329224.0,342172.0,735890.0,744339.0,728682.0,269127.0,273182.0,271001.0,259232.0,940408.0,942847.0,901268.0,671114.0,681812.0,682473.0,871918.0,790616.0,904863.0,498927.0,511176.0,516369.0,311121.0,302134.0,296942.0,899272.0,831650.0,915927.0,371427.0,359457.0,369863.0,294923.0,291551.0,287698.0,940086.0,972399.0,976509.0,320917.0,324825.0,319133.0,276311.0,275456.0,278554.0,600597.0,609204.0,601694.0,275377.0,278274.0,279123.0,268079.0,263770.0,266108.0,342230.0,348211.0,346154.0,258345.0,259135.0,258765.0,261799.0,256416.0,259538.0,263628.0,266527.0
5.5,313179.0,305024.0,310439.0,306827.0,312837.0,297317.0,355248.0,335359.0,346365.0,780130.0,790305.0,771947.0,270438.0,269819.0,269982.0,260595.0,1017842.0,1020716.0,977956.0,716606.0,729574.0,728254.0,961648.0,878861.0,998795.0,507052.0,531979.0,535019.0,312600.0,302985.0,296387.0,978538.0,910172.0,1000258.0,378563.0,360745.0,377540.0,297188.0,288092.0,291483.0,1031857.0,1057417.0,1058883.0,319011.0,326600.0,320798.0,271700.0,270964.0,279548.0,636869.0,646648.0,629413.0,276788.0,272126.0,279787.0,265411.0,262593.0,266784.0,347639.0,359352.0,349149.0,257700.0,259333.0,260712.0,259870.0,259829.0,260476.0,266598.0,265262.0
