,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D3,D5
0.0,436138.0,428010.0,430937.0,427422.0,431623.0,428866.0,625889.0,634251.0,633410.0,630559.0,631187.0,621423.0,637801.0,625534.0,631321.0,619886.0,630823.0,629794.0,676559.0,680915.0,687799.0,682869.0,687985.0,673160.0,628204.0,627961.0,633906.0,624807.0,630807.0,635905.0,611724.0,615708.0,616764.0,615995.0,643800.0,601509.0,298418.0,293570.0,293361.0
0.5,465986,453052,453010,446049,455857,459522,668647,674383,669828,661805,668130,658093,657298,657744,661947,651187,658009,665293,727100,727963,729686,727409,718814,712922,674086,651773,666243,661950,671181,672976,647910,647050,645274,650809,671143,640136,301104,293602,288440
1.0,510869,499714,497448,498418,501148,499056,756024,740208,747221,752339,749616,755866,753560,735883,736899,737173,724733,746064,810299,823701,814982,829047,833048,803472,748228,741099,739337,747940,742991,741330,710323,730551,737213,733180,738120,717069,292363,287899,291612
1.5,540330.0,535079.0,530827.0,525744.0,528223.0,526316.0,817758.0,826311.0,820015.0,806557.0,805626.0,823619.0,858673.0,821986.0,804362.0,796221.0,796506.0,820146.0,911963.0,905045.0,903277.0,921473.0,912824.0,869875.0,842155.0,807911.0,812331.0,816134.0,815171.0,809132.0,761894.0,796379.0,796199.0,801655.0,804664.0,772403.0,295051.0,286276.0,289565.0
2.0,567894.0,572144.0,564386.0,560936.0,554551.0,549137.0,885395.0,886584.0,880382.0,883284.0,888141.0,892566.0,964720.0,918534.0,891952.0,864067.0,854377.0,911143.0,997424.0,974830.0,982384.0,994615.0,995676.0,928998.0,943716.0,868907.0,879948.0,870172.0,865075.0,863127.0,824842.0,850903.0,863649.0,859501.0,863959.0,831047.0,294348.0,284411.0,285997.0
2.5,600046.0,610238.0,604019.0,595591.0,594931.0,585069.0,959757.0,964357.0,950711.0,976885.0,970584.0,977889.0,1102693.0,1049921.0,1013320.0,971604.0,963856.0,1038201.0,1108954.0,1066158.0,1094562.0,1106532.0,1105047.0,1012797.0,1064708.0,938481.0,943423.0,932255.0,948735.0,957819.0,920627.0,917157.0,927290.0,936273.0,936860.0,892938.0,298656.0,288829.0,290381.0
3.0,627500.0,636174.0,630341.0,621673.0,620501.0,601776.0,1015583.0,1027657.0,1016448.0,1077206.0,1047920.0,1054997.0,1232617.0,1191315.0,1146299.0,1083850.0,1082371.0,1167260.0,1206048.0,1164464.0,1181713.0,1224864.0,1176780.0,1098512.0,1147479.0,1015013.0,1016512.0,987408.0,1009500.0,1048609.0,1000503.0,999534.0,1004988.0,1016444.0,1022855.0,978537.0,296843.0,288087.0,288244.0
3.5,661258.0,681277.0,674004.0,655502.0,653271.0,638390.0,1113714.0,1112321.0,1111635.0,1171457.0,1110973.0,1134988.0,1338431.0,1349356.0,1277648.0,1241076.0,1219397.0,1312145.0,1325819.0,1266149.0,1291151.0,1352876.0,1286421.0,1226245.0,1231928.0,1108617.0,1094902.0,1046269.0,1100964.0,1148305.0,1076581.0,1093482.0,1081349.0,1120199.0,1104313.0,1045339.0,296251.0,288995.0,285832.0
4.0,691964.0,700517.0,712507.0,682088.0,692785.0,670948.0,1217128.0,1213123.0,1177265.0,1249916.0,1174506.0,1213105.0,1472144.0,1466280.0,1393619.0,1351446.0,1347961.0,1443686.0,1452531.0,1382266.0,1410277.0,1489993.0,1396547.0,1333654.0,1282502.0,1212052.0,1148189.0,1085071.0,1186788.0,1255298.0,1162806.0,1175128.0,1173359.0,1199226.0,1200622.0,1145483.0,295950.0,287597.0,290463.0
4.5,715171.0,741612.0,753018.0,725954.0,736319.0,707350.0,1322575.0,1353328.0,1294425.0,1383907.0,1251534.0,1364644.0,1563422.0,1630944.0,1558522.0,1464823.0,1462366.0,1606965.0,1583416.0,1509259.0,1574136.0,1648891.0,1546535.0,1434308.0,1342598.0,1311918.0,1241775.0,1144581.0,1288761.0,1381620.0,1263743.0,1283641.0,1270524.0,1315995.0,1315537.0,1256469.0,300643.0,292260.0,294369.0
5.0,740816.0,786452.0,791109.0,752965.0,777291.0,759327.0,1463411.0,1490540.0,1418691.0,1506082.0,1347189.0,1459606.0,1634578.0,1728356.0,1663381.0,1566129.0,1566224.0,1707196.0,1688965.0,1612263.0,1679035.0,1728154.0,1625826.0,1513107.0,1415613.0,1403739.0,1344561.0,1206814.0,1357437.0,1468688.0,1358737.0,1388762.0,1341808.0,1411453.0,1417722.0,1360960.0,299140.0,291312.0,291618.0
5.5,766726.0,824071.0,829812.0,775903.0,796435.0,784047.0,1633340.0,1635953.0,1576173.0,1617657.0,1446233.0,1635657.0,1699203.0,1829802.0,1757196.0,1609077.0,1640542.0,1782289.0,1763107.0,1693991.0,1760342.0,1798453.0,1695553.0,1664646.0,1497153.0,1512585.0,1414999.0,1288460.0,1481139.0,1536210.0,1414328.0,1460260.0,1421091.0,1498014.0,1500680.0,1439221.0,306168.0,296970.0,292353.0
6.0,801768.0,865266.0,874572.0,810035.0,841093.0,839785.0,1762022.0,1752165.0,1722847.0,1693913.0,1453126.0,1755406.0,1791970.0,1866006.0,1829921.0,1687238.0,1725554.0,1843676.0,1853084.0,1773850.0,1794129.0,1862517.0,1739349.0,1780533.0,1569062.0,1627598.0,1495679.0,1372161.0,1559350.0,1594139.0,1471641.0,1522667.0,1483810.0,1556469.0,1568772.0,1512636.0,301476.0,295368.0,292864.0
6.5,857358.0,904475.0,902985.0,840992.0,861639.0,886197.0,1803229.0,1816288.0,1822431.0,1747828.0,1562995.0,1828159.0,1882132.0,1956528.0,1887950.0,1773034.0,1788290.0,1868295.0,1938282.0,1877876.0,1847036.0,1930691.0,1799902.0,1881944.0,1638053.0,1713725.0,1599412.0,1481406.0,1626854.0,1649723.0,1540543.0,1588208.0,1544109.0,1621146.0,1634660.0,1591859.0,303698.0,296383.0,294167.0
