,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H3,H5,H7,H9,H11
0.0,759533.0,764716.0,781184.0,769216.0,761415.0,752426.0,623668.0,636651.0,631321.0,630341.0,670367.0,640208.0,672705.0,676208.0,675860.0,677503.0,758896.0,687091.0,710157.0,712828.0,719971.0,713829.0,723447.0,775378.0,929635.0,924213.0,930009.0,911393.0,918509.0,916637.0,1952016.0,1968838.0,1961033.0,1948621.0,2015005.0,1968313.0,276642.0,282797.0,278919.0,279192.0,280802.0,281583.0
0.5,877779,868585,879513,886024,875056,865411,710883,710151,718284,704368,763259,714331,775717,781141,776889,763686,871181,783622,807260,812022,823925,824968,822511,893892,1111580,1110836,1125848,1101881,1101705,1090847,2152798,2135156,2102268,2140058,2216183,2180357,292910,299162,292336,291996,288513,295382
1.0,1200116,1196391,1249680,1257824,1210308,1155929,979826,981233,979123,1006539,1034831,990451,1060030,1096887,1114335,1079068,1256196,1098324,1068147,1065982,1064826,1097664,1081646,1195986,1653072,1683787,1665480,1613824,1628102,1628235,2786373,2790353,2841870,2796389,2851257,2858576,287980,295531,284094,293454,284865,297853
1.5,1556113.0,1566274.0,1607035.0,1640101.0,1625704.0,1497305.0,1279002.0,1301062.0,1289746.0,1349576.0,1351652.0,1264287.0,1351098.0,1453976.0,1527352.0,1456236.0,1761889.0,1513032.0,1444398.0,1458135.0,1403617.0,1496648.0,1397214.0,1538829.0,2130758.0,2246987.0,2258084.0,2161903.0,2265719.0,2251876.0,3578828.0,3496768.0,3514731.0,3494519.0,3437547.0,3382323.0,289097.0,296061.0,290440.0,292500.0,288582.0,296510.0
2.0,1780872.0,1823918.0,1878282.0,1980829.0,1954713.0,1731858.0,1501720.0,1529728.0,1551759.0,1684617.0,1680769.0,1467737.0,1588037.0,1775994.0,1909518.0,1792449.0,2231325.0,1880838.0,1757429.0,1799427.0,1710345.0,1863457.0,1613008.0,1779947.0,2575702.0,2754383.0,2832050.0,2575494.0,2830344.0,2776557.0,4183093.0,4159032.0,4213898.0,3959700.0,3950393.0,3791736.0,290590.0,297614.0,287263.0,289859.0,285335.0,292748.0
2.5,2048676.0,2087069.0,2173158.0,2288176.0,2312695.0,1968660.0,1757183.0,1811582.0,1816901.0,2080136.0,2006867.0,1669516.0,1825478.0,2142480.0,2317938.0,2164091.0,2692227.0,2238114.0,2138707.0,2167124.0,2055669.0,2260612.0,1879566.0,2031841.0,2915549.0,3264242.0,3426709.0,3000993.0,3455233.0,3358392.0,4945155.0,4810687.0,4916009.0,4464585.0,4392340.0,4186968.0,288619.0,293861.0,289364.0,285090.0,282384.0,295847.0
3.0,2222683.0,2320910.0,2320789.0,2550751.0,2562317.0,2145154.0,1975674.0,1988501.0,2020550.0,2397577.0,2216532.0,1769142.0,1989825.0,2472690.0,2690276.0,2383236.0,3017218.0,2504704.0,2397956.0,2375689.0,2232685.0,2478393.0,2165493.0,2255042.0,3190869.0,3654770.0,3886205.0,3413767.0,3831628.0,3663184.0,5408567.0,5348462.0,5375401.0,4836859.0,4707974.0,4529768.0,283564.0,293368.0,285763.0,284016.0,280842.0,290815.0
3.5,2457446.0,2549860.0,2497777.0,2845529.0,2836988.0,2335152.0,2188682.0,2139248.0,2287865.0,2743168.0,2432113.0,1879117.0,2163458.0,2684422.0,2985949.0,2619101.0,3279391.0,2701393.0,2537412.0,2498058.0,2320045.0,2705508.0,2466562.0,2557702.0,3551362.0,4131944.0,4412998.0,4066545.0,4219002.0,3967943.0,5791508.0,5831891.0,6076862.0,5195276.0,5000378.0,4839979.0,282103.0,292567.0,287246.0,284069.0,278081.0,292659.0
4.0,2642568.0,2739188.0,2599696.0,3051891.0,3008973.0,2487783.0,2388144.0,2270675.0,2460483.0,3060553.0,2569234.0,1920569.0,2290320.0,2979181.0,3265103.0,2849308.0,3555360.0,2895123.0,2593914.0,2540962.0,2447551.0,2915948.0,2632036.0,2701993.0,3837712.0,4459768.0,4853343.0,4609378.0,4526663.0,4162087.0,6018481.0,6161480.0,6646986.0,5398146.0,5262724.0,5042780.0,284177.0,292123.0,281418.0,283484.0,281633.0,283266.0
4.5,2881205.0,2925714.0,2778476.0,3280711.0,3247657.0,2625308.0,2539146.0,2406855.0,2708775.0,3384784.0,2675462.0,2056593.0,2473669.0,3338065.0,3547055.0,3101609.0,3765400.0,3068859.0,2770837.0,2663740.0,2527233.0,3131576.0,2821945.0,2914755.0,4268910.0,4958618.0,5378932.0,5088428.0,5007244.0,4565958.0,6374303.0,6688930.0,7121938.0,5684225.0,5578025.0,5366797.0,280986.0,289074.0,282900.0,284267.0,281624.0,285964.0
5.0,3156029.0,3072901.0,2877632.0,3504809.0,3438190.0,2775662.0,2698879.0,2484715.0,2970440.0,3627695.0,2790158.0,2135428.0,2669190.0,3464478.0,3742504.0,3273646.0,3780805.0,3191577.0,2942725.0,2824745.0,2679403.0,3281421.0,3152128.0,3116196.0,4654226.0,5223914.0,5723685.0,5551262.0,5280987.0,4759388.0,6602663.0,6853558.0,7831968.0,5910818.0,5923266.0,5680055.0,287658.0,290927.0,286312.0,283645.0,278872.0,289644.0
5.5,3410283.0,3209324.0,2961682.0,3660581.0,3617728.0,2879314.0,2762740.0,2599382.0,3166595.0,3772983.0,2889627.0,2178173.0,2952454.0,3394820.0,3853743.0,3380240.0,3753481.0,3350761.0,3124847.0,3020695.0,2882323.0,3487440.0,3266971.0,3462570.0,5022533.0,5431004.0,6056474.0,5916519.0,5593865.0,4939045.0,6892763.0,7337029.0,8266764.0,6127321.0,6208501.0,6034999.0,286267.0,292797.0,285530.0,283174.0,278061.0,291230.0
6.0,3505554.0,3268952.0,2984364.0,3801667.0,3676653.0,2917684.0,2815807.0,2606533.0,3290482.0,3955724.0,3040201.0,2189665.0,3112554.0,3339573.0,3775805.0,3306343.0,3848208.0,3356305.0,3205343.0,3131015.0,2969103.0,3644527.0,3440770.0,3647519.0,5199819.0,5911093.0,6114090.0,6133246.0,5718381.0,4994219.0,7032155.0,7532657.0,8369648.0,6249866.0,6393681.0,6401704.0,285219.0,291531.0,279120.0,283550.0,277462.0,290979.0
6.5,3694385.0,3433502.0,3137002.0,3952243.0,3839749.0,3080748.0,2862180.0,2652219.0,3534372.0,4041387.0,3334612.0,2294211.0,3345638.0,3394320.0,3864205.0,3467813.0,4155994.0,3506808.0,3490889.0,3428505.0,3271710.0,3792775.0,3661019.0,3893943.0,5499358.0,6195987.0,6141326.0,6374650.0,6034777.0,5129049.0,7665875.0,8045214.0,8915583.0,6533710.0,6813834.0,6972181.0,291758.0,296630.0,286812.0,288950.0,281955.0,292674.0
7.0,3829371.0,3609940.0,3350974.0,3971233.0,3885330.0,3227181.0,3059700.0,2681203.0,3700944.0,4380902.0,3742932.0,2396694.0,3337202.0,3611349.0,4064454.0,3701774.0,4279394.0,3674683.0,3655219.0,3588311.0,3433888.0,3888928.0,3841568.0,4223218.0,5436483.0,6394815.0,6247663.0,6681699.0,6178059.0,5255360.0,8030607.0,8729535.0,9299665.0,6546020.0,6981747.0,7279738.0,286789.0,294828.0,282645.0,284562.0,277838.0,294049.0
7.5,3926396.0,3970282.0,3664773.0,4186295.0,4075487.0,3362128.0,3127483.0,2753173.0,3722945.0,4519217.0,3853157.0,2403629.0,3424776.0,3746084.0,4144503.0,3858793.0,4509496.0,3823820.0,3837423.0,3756261.0,3609670.0,4042371.0,3908625.0,4414426.0,5841110.0,6384787.0,6451507.0,7116735.0,6445077.0,5443092.0,8349923.0,8980399.0,9630703.0,7329617.0,7745731.0,8220368.0,286877.0,295895.0,283293.0,285596.0,280937.0,291264.0
8.0,4025524.0,4088899.0,3855306.0,4251498.0,4163546.0,3459471.0,3193451.0,2902055.0,3697640.0,4617703.0,3979727.0,2487522.0,3436335.0,3835074.0,4252101.0,3973955.0,4621112.0,3925413.0,3935517.0,3914727.0,3737463.0,4135035.0,4042030.0,4442518.0,5941902.0,6268653.0,6524653.0,7444281.0,6605851.0,5576435.0,8685498.0,9317826.0,10001138.0,7692481.0,8021695.0,8810326.0,281145.0,291975.0,281333.0,283782.0,278287.0,290316.0
