,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H3,H5,H7,H9,H11
0.0,0.21,0.211,0.21,0.21,0.21,0.209,0.194,0.196,0.197,0.197,0.209,0.204,0.205,0.205,0.209,0.206,0.232,0.206,0.202,0.206,0.205,0.207,0.205,0.226,0.215,0.214,0.215,0.216,0.219,0.211,0.207,0.21,0.21,0.209,0.215,0.237,0.086,0.084,0.085,0.085,0.084,0.085
0.5,0.204,0.208,0.209,0.209,0.21,0.208,0.194,0.194,0.194,0.194,0.206,0.198,0.206,0.21,0.212,0.207,0.235,0.212,0.201,0.202,0.204,0.209,0.205,0.222,0.209,0.211,0.213,0.215,0.215,0.208,0.204,0.207,0.208,0.207,0.213,0.218,0.084,0.082,0.082,0.086,0.083,0.084
1.0,0.204,0.207,0.21,0.212,0.212,0.205,0.195,0.195,0.196,0.197,0.205,0.198,0.206,0.213,0.215,0.21,0.237,0.213,0.2,0.201,0.2,0.206,0.203,0.219,0.213,0.213,0.212,0.215,0.217,0.209,0.202,0.208,0.206,0.205,0.211,0.215,0.084,0.083,0.082,0.085,0.082,0.084
1.5,0.206,0.208,0.216,0.216,0.219,0.208,0.201,0.205,0.198,0.204,0.213,0.204,0.209,0.218,0.223,0.216,0.247,0.222,0.211,0.213,0.208,0.22,0.208,0.226,0.212,0.216,0.221,0.221,0.225,0.219,0.207,0.211,0.21,0.207,0.211,0.215,0.084,0.083,0.083,0.086,0.084,0.085
2.0,0.21,0.211,0.219,0.224,0.226,0.214,0.209,0.212,0.202,0.215,0.223,0.204,0.214,0.224,0.23,0.225,0.263,0.232,0.225,0.225,0.22,0.227,0.216,0.23,0.219,0.222,0.227,0.225,0.236,0.229,0.215,0.216,0.213,0.209,0.213,0.224,0.084,0.082,0.082,0.085,0.084,0.085
2.5,0.214,0.217,0.225,0.23,0.234,0.22,0.218,0.224,0.209,0.224,0.232,0.21,0.218,0.231,0.237,0.236,0.277,0.244,0.237,0.236,0.232,0.24,0.224,0.235,0.224,0.23,0.236,0.231,0.251,0.242,0.219,0.221,0.22,0.211,0.217,0.228,0.084,0.082,0.084,0.086,0.082,0.085
3.0,0.218,0.225,0.231,0.241,0.242,0.226,0.227,0.235,0.216,0.238,0.24,0.215,0.223,0.24,0.247,0.245,0.289,0.254,0.247,0.243,0.241,0.25,0.235,0.242,0.227,0.237,0.245,0.24,0.262,0.251,0.227,0.228,0.226,0.216,0.219,0.233,0.086,0.084,0.084,0.086,0.084,0.086
3.5,0.221,0.23,0.235,0.247,0.248,0.23,0.234,0.244,0.22,0.248,0.248,0.218,0.224,0.245,0.255,0.254,0.296,0.263,0.254,0.247,0.245,0.259,0.242,0.25,0.234,0.243,0.25,0.25,0.268,0.257,0.232,0.233,0.232,0.218,0.222,0.234,0.084,0.083,0.084,0.087,0.083,0.085
4.0,0.223,0.236,0.24,0.256,0.255,0.236,0.242,0.252,0.225,0.26,0.256,0.222,0.228,0.254,0.262,0.263,0.308,0.269,0.259,0.252,0.252,0.268,0.248,0.257,0.239,0.251,0.258,0.261,0.278,0.265,0.238,0.239,0.239,0.222,0.225,0.238,0.085,0.083,0.082,0.086,0.084,0.085
4.5,0.228,0.24,0.244,0.261,0.261,0.242,0.248,0.262,0.23,0.269,0.263,0.225,0.231,0.263,0.271,0.272,0.315,0.278,0.267,0.258,0.258,0.275,0.257,0.262,0.248,0.26,0.267,0.268,0.287,0.275,0.242,0.246,0.246,0.223,0.228,0.235,0.085,0.084,0.083,0.086,0.085,0.085
5.0,0.232,0.247,0.253,0.268,0.266,0.247,0.259,0.271,0.234,0.281,0.27,0.229,0.237,0.271,0.282,0.28,0.321,0.286,0.275,0.265,0.263,0.284,0.268,0.271,0.254,0.267,0.277,0.281,0.292,0.279,0.246,0.25,0.253,0.227,0.233,0.243,0.085,0.083,0.082,0.085,0.084,0.085
5.5,0.24,0.251,0.259,0.275,0.276,0.251,0.264,0.28,0.243,0.286,0.279,0.234,0.245,0.278,0.293,0.287,0.33,0.293,0.285,0.276,0.274,0.29,0.279,0.284,0.264,0.274,0.286,0.296,0.303,0.288,0.253,0.257,0.26,0.231,0.239,0.252,0.084,0.084,0.085,0.086,0.084,0.086
6.0,0.247,0.26,0.265,0.285,0.286,0.258,0.274,0.288,0.256,0.297,0.29,0.24,0.256,0.287,0.301,0.294,0.341,0.302,0.299,0.284,0.284,0.304,0.292,0.31,0.27,0.286,0.297,0.308,0.314,0.296,0.263,0.265,0.27,0.239,0.246,0.255,0.084,0.083,0.084,0.087,0.083,0.085
6.5,0.254,0.268,0.269,0.292,0.291,0.266,0.281,0.295,0.263,0.306,0.302,0.248,0.257,0.294,0.31,0.302,0.352,0.31,0.312,0.3,0.298,0.314,0.309,0.325,0.274,0.294,0.301,0.311,0.317,0.297,0.271,0.271,0.272,0.243,0.252,0.26,0.084,0.084,0.083,0.085,0.083,0.084
7.0,0.266,0.279,0.285,0.308,0.31,0.282,0.297,0.307,0.272,0.322,0.319,0.259,0.264,0.306,0.323,0.316,0.365,0.322,0.325,0.316,0.312,0.324,0.322,0.341,0.282,0.305,0.308,0.328,0.326,0.309,0.285,0.287,0.288,0.254,0.263,0.271,0.084,0.083,0.083,0.086,0.083,0.084
7.5,0.273,0.297,0.302,0.323,0.326,0.298,0.307,0.32,0.28,0.335,0.334,0.268,0.274,0.316,0.332,0.327,0.377,0.332,0.337,0.325,0.321,0.334,0.33,0.35,0.294,0.318,0.318,0.343,0.339,0.32,0.291,0.292,0.296,0.269,0.277,0.296,0.085,0.083,0.084,0.086,0.083,0.085
8.0,0.285,0.309,0.319,0.336,0.34,0.311,0.327,0.337,0.29,0.355,0.354,0.278,0.286,0.326,0.342,0.34,0.392,0.345,0.357,0.341,0.335,0.349,0.347,0.371,0.31,0.332,0.334,0.367,0.359,0.339,0.302,0.304,0.307,0.283,0.289,0.31,0.084,0.084,0.084,0.087,0.083,0.085
8.5,0.299,0.327,0.336,0.352,0.358,0.331,0.341,0.353,0.308,0.369,0.374,0.302,0.299,0.34,0.358,0.355,0.411,0.361,0.381,0.358,0.352,0.364,0.366,0.39,0.331,0.35,0.351,0.39,0.38,0.36,0.321,0.323,0.326,0.297,0.306,0.331,0.084,0.083,0.083,0.086,0.084,0.085
9.0,0.321,0.347,0.352,0.364,0.375,0.351,0.363,0.368,0.326,0.396,0.391,0.318,0.32,0.356,0.373,0.373,0.428,0.379,0.395,0.382,0.374,0.386,0.382,0.404,0.35,0.369,0.37,0.405,0.396,0.376,0.341,0.343,0.346,0.322,0.325,0.349,0.085,0.083,0.084,0.086,0.084,0.085
9.5,0.343,0.364,0.373,0.379,0.392,0.368,0.382,0.384,0.334,0.41,0.407,0.333,0.339,0.374,0.393,0.39,0.44,0.396,0.407,0.393,0.385,0.396,0.397,0.418,0.366,0.384,0.382,0.415,0.404,0.384,0.357,0.361,0.361,0.34,0.341,0.366,0.084,0.083,0.083,0.086,0.083,0.084
10.0,0.363,0.379,0.385,0.393,0.41,0.388,0.395,0.404,0.347,0.423,0.419,0.349,0.355,0.388,0.408,0.405,0.453,0.408,0.42,0.407,0.4,0.407,0.413,0.433,0.38,0.396,0.39,0.427,0.417,0.393,0.37,0.375,0.378,0.351,0.352,0.378,0.085,0.084,0.084,0.088,0.084,0.086
10.5,0.375,0.392,0.395,0.403,0.421,0.4,0.402,0.413,0.357,0.443,0.426,0.364,0.366,0.4,0.418,0.418,0.463,0.422,0.436,0.418,0.41,0.419,0.426,0.445,0.394,0.412,0.403,0.439,0.427,0.408,0.379,0.384,0.388,0.362,0.362,0.388,0.085,0.083,0.084,0.087,0.083,0.085
11.0,0.388,0.402,0.408,0.414,0.436,0.414,0.414,0.427,0.364,0.459,0.442,0.376,0.378,0.412,0.43,0.429,0.478,0.435,0.451,0.435,0.425,0.433,0.441,0.456,0.407,0.422,0.416,0.453,0.437,0.423,0.39,0.394,0.395,0.377,0.374,0.401,0.084,0.084,0.083,0.087,0.083,0.085
11.5,0.399,0.415,0.415,0.426,0.45,0.429,0.427,0.438,0.38,0.475,0.459,0.39,0.39,0.426,0.442,0.443,0.489,0.447,0.466,0.451,0.441,0.445,0.454,0.47,0.421,0.434,0.427,0.469,0.451,0.436,0.403,0.406,0.409,0.388,0.383,0.414,0.084,0.083,0.084,0.086,0.083,0.084
