,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H3,H5,H7,H9,H11
0.0,441743.0,426507.0,437883.0,430762.0,432556.0,428983.0,587741.0,592146.0,605692.0,590132.0,628032.0,597609.0,627391.0,617714.0,624230.0,624197.0,692620.0,631515.0,663774.0,666383.0,667841.0,657989.0,680401.0,718233.0,660156.0,643100.0,646259.0,634236.0,637370.0,642375.0,594046.0,610036.0,614982.0,603535.0,626580.0,602262.0,284724.0,280950.0,283873.0,279452.0,288093.0,290129.0
0.5,455881,449616,451057,447297,456573,453210,621623,617092,629842,609313,663225,612297,644948,637226,649243,643605,710275,639080,679946,689150,688325,685963,704675,750747,692237,675206,681998,668947,674295,680465,633029,636176,644656,633362,654915,634058,284596,279902,286157,284367,283633,289160
1.0,500811,486243,507835,504229,500736,490109,713625,713523,720302,725513,745488,697684,723055,720739,732949,708684,811819,723118,782036,773312,785402,786619,791587,846125,779165,777511,797713,761030,784524,769118,708232,702337,731915,725477,733803,721937,285671,280886,283305,281909,283168,286640
1.5,529114.0,519010.0,536874.0,533285.0,536494.0,518002.0,765444.0,777481.0,786932.0,808858.0,808259.0,750234.0,778964.0,797814.0,817985.0,788341.0,926419.0,815584.0,890837.0,894650.0,878547.0,902345.0,879469.0,930594.0,834085.0,842131.0,874118.0,836537.0,878425.0,864184.0,770802.0,762623.0,788365.0,776053.0,788741.0,758044.0,287507.0,279970.0,286046.0,281150.0,284242.0,289353.0
2.0,552916.0,549306.0,564047.0,565590.0,573813.0,539546.0,821316.0,843833.0,854002.0,907718.0,890953.0,801151.0,825185.0,888136.0,918684.0,881728.0,1047826.0,917762.0,973768.0,1005810.0,972020.0,1029667.0,931377.0,988306.0,929452.0,963147.0,995142.0,911581.0,988853.0,971108.0,846387.0,846288.0,867221.0,818309.0,819847.0,807035.0,284307.0,281759.0,280381.0,277696.0,281344.0,285952.0
2.5,569584.0,570903.0,582531.0,600324.0,605497.0,557064.0,886849.0,905130.0,913299.0,1008796.0,974460.0,830234.0,874410.0,960323.0,1028371.0,957830.0,1165225.0,994673.0,1093972.0,1116707.0,1075056.0,1143803.0,1004173.0,1058855.0,964180.0,1034537.0,1074649.0,982867.0,1085443.0,1060085.0,906919.0,899114.0,928876.0,860628.0,858283.0,823982.0,282792.0,282000.0,282271.0,279549.0,282073.0,285760.0
3.0,597393.0,595861.0,601849.0,632511.0,635494.0,570563.0,955528.0,963646.0,986350.0,1111456.0,1034622.0,867055.0,924171.0,1070564.0,1143459.0,1039204.0,1257394.0,1092236.0,1214511.0,1202011.0,1154777.0,1243711.0,1127201.0,1154547.0,1037268.0,1148787.0,1176740.0,1077189.0,1173928.0,1126897.0,972785.0,978218.0,988814.0,916135.0,891772.0,878132.0,288654.0,279594.0,282376.0,278253.0,281753.0,286088.0
3.5,627336.0,619537.0,623813.0,663421.0,662121.0,589131.0,1023863.0,1002911.0,1067459.0,1219017.0,1106905.0,903027.0,977545.0,1128406.0,1230892.0,1101042.0,1326956.0,1145190.0,1256365.0,1232662.0,1174195.0,1333824.0,1237720.0,1257410.0,1106047.0,1241866.0,1282458.0,1198307.0,1249917.0,1202388.0,1007822.0,1032402.0,1070516.0,946316.0,934694.0,912466.0,284399.0,280945.0,279616.0,277323.0,277654.0,284678.0
4.0,663328.0,654559.0,648085.0,698597.0,702380.0,622904.0,1103100.0,1068648.0,1155745.0,1352771.0,1171807.0,940710.0,1057190.0,1251840.0,1348417.0,1204847.0,1444030.0,1232446.0,1326472.0,1285742.0,1253685.0,1443745.0,1341065.0,1348510.0,1232300.0,1336906.0,1420978.0,1365131.0,1358739.0,1271862.0,1070631.0,1105359.0,1160393.0,1001155.0,992867.0,954368.0,284663.0,279313.0,279677.0,276969.0,278587.0,280736.0
4.5,690376.0,669647.0,656927.0,724881.0,725944.0,638327.0,1152497.0,1107230.0,1240063.0,1465241.0,1217558.0,984757.0,1100905.0,1372043.0,1449596.0,1306908.0,1506515.0,1284120.0,1400551.0,1341654.0,1298342.0,1530880.0,1417231.0,1430380.0,1330256.0,1461231.0,1545204.0,1498978.0,1460046.0,1370207.0,1113292.0,1168200.0,1224791.0,1029058.0,1029471.0,995088.0,281058.0,278153.0,274809.0,276357.0,273996.0,281135.0
5.0,737069.0,703894.0,692416.0,758444.0,765108.0,670235.0,1240864.0,1166847.0,1359922.0,1572404.0,1275592.0,1018215.0,1204733.0,1434891.0,1537119.0,1390907.0,1529966.0,1373190.0,1495144.0,1428576.0,1401450.0,1640311.0,1599229.0,1562246.0,1450335.0,1536640.0,1635221.0,1610004.0,1555466.0,1444963.0,1176530.0,1218747.0,1342971.0,1091041.0,1100376.0,1064472.0,283572.0,282385.0,281974.0,278229.0,279009.0,285387.0
5.5,774961.0,723360.0,696742.0,787978.0,791323.0,680516.0,1257552.0,1205414.0,1425369.0,1625626.0,1315722.0,1036164.0,1296292.0,1425587.0,1571041.0,1426860.0,1516257.0,1413924.0,1574238.0,1530225.0,1483765.0,1728461.0,1651938.0,1704168.0,1524556.0,1608394.0,1713775.0,1684785.0,1604262.0,1489103.0,1218108.0,1279372.0,1398908.0,1117558.0,1147264.0,1112344.0,283098.0,279660.0,276462.0,275775.0,281622.0,283394.0
6.0,797103.0,735674.0,714370.0,815343.0,815466.0,699878.0,1301751.0,1236195.0,1497512.0,1698049.0,1384285.0,1066531.0,1393135.0,1439553.0,1581862.0,1433312.0,1589698.0,1437575.0,1630649.0,1617335.0,1559501.0,1785668.0,1723790.0,1812304.0,1615221.0,1750249.0,1762497.0,1764622.0,1684792.0,1519738.0,1264761.0,1337440.0,1445580.0,1163229.0,1194893.0,1166327.0,288043.0,284635.0,283565.0,278909.0,284451.0,290282.0
6.5,829466.0,775863.0,733629.0,825580.0,819818.0,711353.0,1308277.0,1240735.0,1572528.0,1744185.0,1512148.0,1091337.0,1464551.0,1454206.0,1602311.0,1474420.0,1677107.0,1486055.0,1761530.0,1717504.0,1661497.0,1862319.0,1819444.0,1895068.0,1646057.0,1759335.0,1761805.0,1804659.0,1744133.0,1529637.0,1338153.0,1404932.0,1498258.0,1187385.0,1238245.0,1238840.0,288735.0,284747.0,285524.0,277810.0,281490.0,292341.0
7.0,842981.0,801642.0,771882.0,845089.0,852155.0,745532.0,1416170.0,1278070.0,1659266.0,1890650.0,1666381.0,1148973.0,1491875.0,1544212.0,1687831.0,1579894.0,1764735.0,1564613.0,1851992.0,1805612.0,1766855.0,1934024.0,1919486.0,2079424.0,1685017.0,1846974.0,1828842.0,1918299.0,1823664.0,1597832.0,1384721.0,1499064.0,1573995.0,1203500.0,1274394.0,1274024.0,286679.0,286803.0,282817.0,283302.0,284117.0,286335.0
7.5,839828.0,838601.0,800910.0,869554.0,859324.0,761473.0,1423598.0,1288052.0,1658517.0,1935564.0,1717466.0,1151487.0,1485415.0,1589980.0,1718035.0,1616490.0,1841428.0,1609981.0,1919294.0,1887976.0,1817843.0,1993381.0,1940960.0,2143671.0,1731147.0,1843511.0,1866762.0,2005841.0,1871423.0,1641573.0,1438033.0,1510279.0,1586274.0,1303069.0,1365085.0,1395012.0,284249.0,283288.0,282497.0,279028.0,279357.0,288666.0
8.0,855344.0,853926.0,837546.0,880661.0,883145.0,775862.0,1468124.0,1364176.0,1677424.0,2005031.0,1788879.0,1220751.0,1504957.0,1621611.0,1768059.0,1699103.0,1923913.0,1680438.0,2005660.0,1998732.0,1912537.0,2079811.0,2041950.0,2222555.0,1768888.0,1866497.0,1939842.0,2124523.0,1964330.0,1715567.0,1491175.0,1588578.0,1655633.0,1351992.0,1416050.0,1515105.0,281329.0,279267.0,278612.0,276348.0,277199.0,284192.0
